epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1684348137904,2023-05-17T13:28:57.904,0.000,-7.744,1.997,-0.301
1684348137924,2023-05-17T13:28:57.924,0.020,-7.816,1.936,-0.640
1684348137944,2023-05-17T13:28:57.944,0.040,-6.925,1.951,-0.564
1684348137964,2023-05-17T13:28:57.964,0.060,-5.850,1.803,-0.488
1684348137984,2023-05-17T13:28:57.984,0.080,-5.137,1.540,-0.473
1684348138004,2023-05-17T13:28:58.004,0.100,-3.861,1.212,-0.522
1684348138024,2023-05-17T13:28:58.024,0.120,-1.982,0.880,-0.156
1684348138044,2023-05-17T13:28:58.044,0.140,-0.183,0.564,0.263
1684348138064,2023-05-17T13:28:58.064,0.160,1.315,0.114,0.282
1684348138084,2023-05-17T13:28:58.084,0.180,2.591,-0.149,0.252
1684348138104,2023-05-17T13:28:58.104,0.200,3.952,-0.332,0.343
1684348138124,2023-05-17T13:28:58.124,0.220,5.015,-0.492,0.522
1684348138144,2023-05-17T13:28:58.144,0.240,4.939,-0.972,0.507
1684348138164,2023-05-17T13:28:58.164,0.260,4.588,-1.913,0.332
1684348138184,2023-05-17T13:28:58.184,0.280,4.573,-2.058,0.282
1684348138204,2023-05-17T13:28:58.204,0.300,4.375,-1.399,0.347
1684348138224,2023-05-17T13:28:58.224,0.320,3.639,-0.918,0.526
1684348138244,2023-05-17T13:28:58.244,0.340,2.908,-0.941,0.614
1684348138264,2023-05-17T13:28:58.264,0.360,2.210,-0.751,0.396
1684348138284,2023-05-17T13:28:58.284,0.380,1.193,-0.396,0.091
1684348138304,2023-05-17T13:28:58.304,0.400,-0.354,-0.095,-0.141
1684348138324,2023-05-17T13:28:58.324,0.420,-1.441,-0.137,-0.274
1684348138344,2023-05-17T13:28:58.344,0.440,-1.509,-0.271,-0.141
1684348138364,2023-05-17T13:28:58.364,0.460,-1.246,0.042,0.339
1684348138384,2023-05-17T13:28:58.384,0.480,-1.292,0.316,0.827
1684348138404,2023-05-17T13:28:58.404,0.500,-0.804,0.625,1.242
1684348138424,2023-05-17T13:28:58.424,0.520,0.030,0.488,1.376
