epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1684348137439,2023-05-17T13:28:57.439,0.000,9.779,-23.662,-41.364
1684348137459,2023-05-17T13:28:57.459,0.020,10.507,-22.165,-42.172
1684348137479,2023-05-17T13:28:57.479,0.040,16.059,-11.128,-48.704
1684348137499,2023-05-17T13:28:57.499,0.060,21.570,6.559,-55.122
1684348137519,2023-05-17T13:28:57.519,0.080,25.412,25.099,-59.173
1684348137539,2023-05-17T13:28:57.539,0.100,28.571,41.311,-61.463
1684348137559,2023-05-17T13:28:57.559,0.120,31.143,52.188,-62.146
1684348137579,2023-05-17T13:28:57.579,0.140,32.275,59.017,-61.334
1684348137599,2023-05-17T13:28:57.599,0.160,31.490,63.133,-58.967
1684348137619,2023-05-17T13:28:57.619,0.180,29.257,63.548,-54.901
1684348137639,2023-05-17T13:28:57.639,0.200,26.284,58.003,-49.394
1684348137659,2023-05-17T13:28:57.659,0.220,23.064,45.583,-42.588
1684348137679,2023-05-17T13:28:57.679,0.240,20.004,28.788,-34.710
1684348137699,2023-05-17T13:28:57.699,0.260,17.275,10.953,-26.418
1684348137719,2023-05-17T13:28:57.719,0.280,14.722,-3.205,-18.346
1684348137739,2023-05-17T13:28:57.739,0.300,12.039,-10.774,-11.200
1684348137759,2023-05-17T13:28:57.759,0.320,9.867,-14.535,-5.320
1684348137779,2023-05-17T13:28:57.779,0.340,8.445,-16.944,-0.617
1684348137799,2023-05-17T13:28:57.799,0.360,7.679,-18.655,3.159
1684348137819,2023-05-17T13:28:57.819,0.380,7.492,-18.986,6.067
1684348137839,2023-05-17T13:28:57.839,0.400,7.359,-17.565,8.186
1684348137859,2023-05-17T13:28:57.859,0.420,6.738,-14.760,9.337
1684348137879,2023-05-17T13:28:57.879,0.440,5.777,-10.877,9.630
1684348137899,2023-05-17T13:28:57.899,0.460,4.558,-6.696,9.245
1684348137919,2023-05-17T13:28:57.919,0.480,3.148,-2.885,7.999
1684348137939,2023-05-17T13:28:57.939,0.500,1.829,0.800,6.795
1684348137959,2023-05-17T13:28:57.959,0.520,0.156,6.307,7.344
1684348137979,2023-05-17T13:28:57.979,0.540,-1.463,10.610,7.626
1684348137999,2023-05-17T13:28:57.999,0.560,-1.917,10.949,7.176
1684348138019,2023-05-17T13:28:58.019,0.580,-2.355,10.057,7.546
1684348138039,2023-05-17T13:28:58.039,0.600,-2.767,8.087,9.112
1684348138059,2023-05-17T13:28:58.059,0.620,-4.009,7.222,11.955
1684348138079,2023-05-17T13:28:58.079,0.640,-5.008,5.732,13.304
1684348138099,2023-05-17T13:28:58.099,0.660,-5.766,4.192,14.200
1684348138119,2023-05-17T13:28:58.119,0.680,-6.147,2.016,14.745
1684348138139,2023-05-17T13:28:58.139,0.700,-6.402,-0.511,14.539
1684348138159,2023-05-17T13:28:58.159,0.720,-6.593,-2.367,13.476
1684348138179,2023-05-17T13:28:58.179,0.740,-6.909,-2.317,11.521
1684348138199,2023-05-17T13:28:58.199,0.760,-6.780,-0.191,8.834
1684348138219,2023-05-17T13:28:58.219,0.780,-5.861,1.738,5.465
1684348138239,2023-05-17T13:28:58.239,0.800,-4.402,3.216,1.505
1684348138259,2023-05-17T13:28:58.259,0.820,-2.717,4.451,-2.530
1684348138279,2023-05-17T13:28:58.279,0.840,-1.288,5.175,-6.120
1684348138299,2023-05-17T13:28:58.299,0.860,-0.118,5.553,-9.139
1684348138319,2023-05-17T13:28:58.319,0.880,1.094,5.758,-11.486
1684348138339,2023-05-17T13:28:58.339,0.900,2.268,6.292,-13.011
1684348138359,2023-05-17T13:28:58.359,0.920,3.152,7.248,-13.239
1684348138379,2023-05-17T13:28:58.379,0.940,3.270,8.712,-11.921
1684348138399,2023-05-17T13:28:58.399,0.960,2.771,10.434,-9.474
1684348138419,2023-05-17T13:28:58.419,0.980,2.317,10.347,-6.231
1684348138439,2023-05-17T13:28:58.439,1.000,2.336,7.980,-2.992
1684348138459,2023-05-17T13:28:58.459,1.020,2.538,4.760,-0.461
1684348138479,2023-05-17T13:28:58.479,1.040,2.351,2.111,1.048
1684348138499,2023-05-17T13:28:58.499,1.060,2.092,0.297,1.079
1684348138519,2023-05-17T13:28:58.519,1.080,1.864,-0.560,-0.088
1684348138539,2023-05-17T13:28:58.539,1.100,2.332,-0.930,-1.974
1684348138559,2023-05-17T13:28:58.559,1.120,3.136,-0.202,-4.386
1684348138579,2023-05-17T13:28:58.579,1.140,4.070,2.024,-7.184
1684348138599,2023-05-17T13:28:58.599,1.160,4.840,5.259,-9.840
1684348138619,2023-05-17T13:28:58.619,1.180,5.274,8.815,-11.875
1684348138639,2023-05-17T13:28:58.639,1.200,5.343,11.692,-13.159
1684348138659,2023-05-17T13:28:58.659,1.220,4.783,13.948,-13.540
1684348138679,2023-05-17T13:28:58.679,1.240,3.963,15.427,-12.927
1684348138699,2023-05-17T13:28:58.699,1.260,2.744,15.675,-11.193
1684348138719,2023-05-17T13:28:58.719,1.280,1.204,14.790,-8.902
1684348138739,2023-05-17T13:28:58.739,1.300,-0.351,13.236,-6.212
1684348138759,2023-05-17T13:28:58.759,1.320,-1.757,11.109,-3.697
1684348138779,2023-05-17T13:28:58.779,1.340,-2.755,8.091,-1.521
1684348138799,2023-05-17T13:28:58.799,1.360,-3.243,4.394,0.480
1684348138819,2023-05-17T13:28:58.819,1.380,-3.373,1.014,2.416
1684348138839,2023-05-17T13:28:58.839,1.400,-3.434,-1.494,4.287
1684348138859,2023-05-17T13:28:58.859,1.420,-3.377,-3.304,5.903
1684348138879,2023-05-17T13:28:58.879,1.440,-2.858,-4.543,7.214
1684348138899,2023-05-17T13:28:58.899,1.460,-2.096,-5.156,8.129
1684348138919,2023-05-17T13:28:58.919,1.480,-1.212,-4.897,8.617
1684348138939,2023-05-17T13:28:58.939,1.500,-0.179,-3.941,8.533
1684348138959,2023-05-17T13:28:58.959,1.520,0.888,-2.329,7.595
1684348138979,2023-05-17T13:28:58.979,1.540,1.928,-0.328,5.770
1684348138999,2023-05-17T13:28:58.999,1.560,3.369,1.627,3.529
1684348139019,2023-05-17T13:28:59.019,1.580,4.859,3.476,0.755
1684348139039,2023-05-17T13:28:59.039,1.600,5.949,5.263,-2.485
1684348139059,2023-05-17T13:28:59.059,1.620,7.008,6.932,-5.774
1684348139079,2023-05-17T13:28:59.079,1.640,7.527,8.117,-8.453
1684348139099,2023-05-17T13:28:59.099,1.660,7.336,8.899,-10.659
1684348139119,2023-05-17T13:28:59.119,1.680,6.235,9.867,-12.138
1684348139139,2023-05-17T13:28:59.139,1.700,5.553,9.017,-13.811
1684348139159,2023-05-17T13:28:59.159,1.720,5.046,6.540,-14.131
1684348139179,2023-05-17T13:28:59.179,1.740,3.274,5.553,-12.927
1684348139199,2023-05-17T13:28:59.199,1.760,0.785,5.541,-10.789
1684348139219,2023-05-17T13:28:59.219,1.780,-1.341,4.550,-7.927
1684348139239,2023-05-17T13:28:59.239,1.800,-2.454,1.715,-5.316
1684348139259,2023-05-17T13:28:59.259,1.820,-3.537,1.296,-2.420
1684348139279,2023-05-17T13:28:59.279,1.840,-3.891,1.223,-0.385
1684348139299,2023-05-17T13:28:59.299,1.860,-3.354,-0.030,0.739
1684348139319,2023-05-17T13:28:59.319,1.880,-2.485,-0.899,2.054
1684348139339,2023-05-17T13:28:59.339,1.900,-1.719,-0.800,3.053
1684348139359,2023-05-17T13:28:59.359,1.920,-1.265,0.549,3.613
1684348139379,2023-05-17T13:28:59.379,1.940,-0.926,2.351,3.994
1684348139399,2023-05-17T13:28:59.399,1.960,-0.130,3.262,4.646
1684348139419,2023-05-17T13:28:59.419,1.980,0.633,3.457,5.286
1684348139439,2023-05-17T13:28:59.439,2.000,1.185,3.739,5.732
1684348139459,2023-05-17T13:28:59.459,2.020,1.399,4.055,5.949
1684348139479,2023-05-17T13:28:59.479,2.040,1.345,3.952,5.884
1684348139499,2023-05-17T13:28:59.499,2.060,1.471,2.813,5.530
1684348139519,2023-05-17T13:28:59.519,2.080,1.867,0.941,4.657
1684348139539,2023-05-17T13:28:59.539,2.100,1.784,-0.545,3.354
1684348139559,2023-05-17T13:28:59.559,2.120,1.913,-1.879,1.829
1684348139579,2023-05-17T13:28:59.579,2.140,1.982,-3.457,0.290
1684348139599,2023-05-17T13:28:59.599,2.160,1.902,-4.646,-1.456
1684348139619,2023-05-17T13:28:59.619,2.180,1.940,-5.423,-3.247
1684348139639,2023-05-17T13:28:59.639,2.200,2.088,-5.732,-4.752
1684348139659,2023-05-17T13:28:59.659,2.220,2.355,-5.838,-5.915
1684348139679,2023-05-17T13:28:59.679,2.240,2.519,-5.614,-6.532
1684348139699,2023-05-17T13:28:59.699,2.260,2.813,-6.010,-7.035
1684348139719,2023-05-17T13:28:59.719,2.280,2.847,-5.979,-7.264
1684348139739,2023-05-17T13:28:59.739,2.300,2.889,-5.309,-7.268
1684348139759,2023-05-17T13:28:59.759,2.320,3.091,-4.383,-6.905
1684348139779,2023-05-17T13:28:59.779,2.340,3.155,-3.628,-6.223
1684348139799,2023-05-17T13:28:59.799,2.360,3.037,-2.904,-5.324
1684348139819,2023-05-17T13:28:59.819,2.380,2.736,-1.593,-4.135
1684348139839,2023-05-17T13:28:59.839,2.400,2.428,-0.560,-2.931
1684348139859,2023-05-17T13:28:59.859,2.420,2.031,1.098,-1.280
1684348139879,2023-05-17T13:28:59.879,2.440,1.479,4.078,0.892
1684348139899,2023-05-17T13:28:59.899,2.460,0.873,7.085,2.500
1684348139919,2023-05-17T13:28:59.919,2.480,0.518,7.656,2.934
1684348139939,2023-05-17T13:28:59.939,2.500,0.023,6.208,2.542
1684348139959,2023-05-17T13:28:59.959,2.520,-0.530,4.562,2.176
1684348139979,2023-05-17T13:28:59.979,2.540,-1.341,2.633,1.124
1684348139999,2023-05-17T13:28:59.999,2.560,-2.012,0.659,-0.004
1684348140019,2023-05-17T13:29:00.019,2.580,-2.424,-1.543,-0.861
1684348140039,2023-05-17T13:29:00.039,2.600,-3.197,-3.491,-0.899
1684348140059,2023-05-17T13:29:00.059,2.620,-3.735,-5.320,0.838
1684348140079,2023-05-17T13:29:00.079,2.640,-4.032,-6.925,4.219
1684348140099,2023-05-17T13:29:00.099,2.660,-3.861,-9.295,6.978
1684348140119,2023-05-17T13:29:00.119,2.680,-3.144,-12.561,8.632
1684348140139,2023-05-17T13:29:00.139,2.700,-1.886,-15.019,10.899
1684348140159,2023-05-17T13:29:00.159,2.720,-1.037,-16.528,11.768
1684348140179,2023-05-17T13:29:00.179,2.740,-0.446,-18.956,11.776
1684348140199,2023-05-17T13:29:00.199,2.760,0.652,-21.482,11.543
1684348140219,2023-05-17T13:29:00.219,2.780,2.359,-22.683,10.800
1684348140239,2023-05-17T13:29:00.239,2.800,4.059,-21.959,8.377
1684348140259,2023-05-17T13:29:00.259,2.820,5.499,-20.301,2.435
