epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685036049827,2023-05-25T12:34:09.827,0.000,3.861,0.926,-1.940
1685036049847,2023-05-25T12:34:09.847,0.020,3.746,0.751,-2.066
1685036049867,2023-05-25T12:34:09.867,0.040,3.175,2.462,-2.222
1685036049887,2023-05-25T12:34:09.887,0.060,3.197,3.361,-2.088
1685036049907,2023-05-25T12:34:09.907,0.080,4.642,1.799,-2.248
1685036049927,2023-05-25T12:34:09.927,0.100,4.303,0.221,-1.928
1685036049947,2023-05-25T12:34:09.947,0.120,4.474,4.417,-0.514
1685036049967,2023-05-25T12:34:09.967,0.140,5.137,8.487,0.476
1685036049987,2023-05-25T12:34:09.987,0.160,6.414,6.341,0.461
1685036050007,2023-05-25T12:34:10.007,0.180,7.046,-1.528,-0.084
1685036050027,2023-05-25T12:34:10.027,0.200,6.635,-6.197,0.648
1685036050047,2023-05-25T12:34:10.047,0.220,6.921,-2.020,2.153
1685036050067,2023-05-25T12:34:10.067,0.240,7.191,3.735,2.973
1685036050087,2023-05-25T12:34:10.087,0.260,8.312,5.069,3.628
1685036050107,2023-05-25T12:34:10.107,0.280,9.345,2.096,3.384
1685036050127,2023-05-25T12:34:10.127,0.300,8.899,-1.612,3.049
1685036050147,2023-05-25T12:34:10.147,0.320,9.078,-0.297,3.815
1685036050167,2023-05-25T12:34:10.167,0.340,9.627,3.209,4.935
1685036050187,2023-05-25T12:34:10.187,0.360,9.143,-0.225,5.979
1685036050207,2023-05-25T12:34:10.207,0.380,5.152,-4.364,7.828
1685036050227,2023-05-25T12:34:10.227,0.400,3.601,20.716,6.326
1685036050247,2023-05-25T12:34:10.247,0.420,5.541,56.204,4.261
1685036050267,2023-05-25T12:34:10.267,0.440,4.158,35.427,-1.524
1685036050287,2023-05-25T12:34:10.287,0.460,2.290,-58.365,-12.363
1685036050307,2023-05-25T12:34:10.307,0.480,-6.124,-64.527,-10.198
1685036050327,2023-05-25T12:34:10.327,0.500,-10.434,-11.894,1.170
1685036050347,2023-05-25T12:34:10.347,0.520,-12.782,-36.056,-1.521
1685036050367,2023-05-25T12:34:10.367,0.540,-21.452,-69.581,3.590
1685036050387,2023-05-25T12:34:10.387,0.560,-33.605,-52.652,12.325
1685036050407,2023-05-25T12:34:10.407,0.580,-38.308,-0.492,12.134
1685036050427,2023-05-25T12:34:10.427,0.600,-36.029,24.135,4.371
1685036050447,2023-05-25T12:34:10.447,0.620,-31.471,15.922,-1.345
1685036050467,2023-05-25T12:34:10.467,0.640,-25.808,6.128,-8.106
1685036050487,2023-05-25T12:34:10.487,0.660,-18.830,7.816,-12.477
1685036050507,2023-05-25T12:34:10.507,0.680,-14.070,1.871,-15.968
1685036050527,2023-05-25T12:34:10.527,0.700,-9.607,-5.625,-18.765
1685036050547,2023-05-25T12:34:10.547,0.720,-7.774,-14.169,-19.653
1685036050567,2023-05-25T12:34:10.567,0.740,-10.000,-13.952,-19.432
1685036050587,2023-05-25T12:34:10.587,0.760,-13.258,-1.886,-18.617
