epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685034215021,2023-05-25T12:03:35.021,0.000,0.286,0.469,-0.625
1685034215041,2023-05-25T12:03:35.041,0.020,0.553,0.781,-0.213
1685034215061,2023-05-25T12:03:35.061,0.040,0.827,1.223,-0.549
1685034215081,2023-05-25T12:03:35.081,0.060,0.976,1.037,-0.415
1685034215101,2023-05-25T12:03:35.101,0.080,0.926,0.351,-0.274
1685034215121,2023-05-25T12:03:35.121,0.100,0.682,-0.091,-0.351
1685034215141,2023-05-25T12:03:35.141,0.120,0.652,-0.046,-0.595
1685034215161,2023-05-25T12:03:35.161,0.140,0.640,0.297,-0.888
1685034215181,2023-05-25T12:03:35.181,0.160,0.896,0.636,-0.941
1685034215201,2023-05-25T12:03:35.201,0.180,0.903,1.063,-0.633
1685034215221,2023-05-25T12:03:35.221,0.200,0.724,1.075,-0.442
1685034215241,2023-05-25T12:03:35.241,0.220,0.636,0.812,-0.442
1685034215261,2023-05-25T12:03:35.261,0.240,0.766,1.059,-0.198
1685034215281,2023-05-25T12:03:35.281,0.260,0.499,0.335,-0.206
1685034215301,2023-05-25T12:03:35.301,0.280,0.442,-0.050,-0.465
1685034215321,2023-05-25T12:03:35.321,0.300,0.602,0.736,-0.770
1685034215341,2023-05-25T12:03:35.341,0.320,0.774,1.479,-0.686
1685034215361,2023-05-25T12:03:35.361,0.340,0.556,1.113,-0.686
1685034215381,2023-05-25T12:03:35.381,0.360,0.575,0.564,-0.835
1685034215401,2023-05-25T12:03:35.401,0.380,0.583,-0.141,-0.728
1685034215421,2023-05-25T12:03:35.421,0.400,0.454,0.168,-0.286
1685034215441,2023-05-25T12:03:35.441,0.420,0.366,0.678,-0.080
1685034215461,2023-05-25T12:03:35.461,0.440,0.393,0.579,-0.816
1685034215481,2023-05-25T12:03:35.481,0.460,0.713,0.736,-0.995
1685034215501,2023-05-25T12:03:35.501,0.480,0.770,0.873,-0.869
1685034215521,2023-05-25T12:03:35.521,0.500,0.949,0.957,-0.747
1685034215541,2023-05-25T12:03:35.541,0.520,1.006,0.915,-0.511
1685034215561,2023-05-25T12:03:35.561,0.540,0.713,0.541,-0.328
1685034215581,2023-05-25T12:03:35.581,0.560,0.530,0.614,-0.160
1685034215601,2023-05-25T12:03:35.601,0.580,0.625,0.415,-0.633
1685034215621,2023-05-25T12:03:35.621,0.600,0.697,0.168,-1.128
