epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685036969967,2023-05-25T12:49:29.967,0.000,0.252,-0.396,-0.290
1685036969987,2023-05-25T12:49:29.987,0.020,0.499,-0.736,-0.034
1685036970007,2023-05-25T12:49:30.007,0.040,0.694,-0.770,0.118
1685036970027,2023-05-25T12:49:30.027,0.060,0.465,-0.755,0.179
1685036970047,2023-05-25T12:49:30.047,0.080,0.263,-0.263,0.202
1685036970067,2023-05-25T12:49:30.067,0.100,0.225,-0.362,0.240
1685036970087,2023-05-25T12:49:30.087,0.120,0.011,-0.316,0.137
1685036970107,2023-05-25T12:49:30.107,0.140,-0.133,-0.065,0.202
1685036970127,2023-05-25T12:49:30.127,0.160,-0.122,-0.099,0.293
1685036970147,2023-05-25T12:49:30.147,0.180,-0.080,-0.202,0.389
1685036970167,2023-05-25T12:49:30.167,0.200,-0.171,-0.232,0.339
1685036970187,2023-05-25T12:49:30.187,0.220,-0.290,-0.137,0.263
1685036970207,2023-05-25T12:49:30.207,0.240,-0.232,0.400,0.221
1685036970227,2023-05-25T12:49:30.227,0.260,0.255,0.274,0.373
1685036970247,2023-05-25T12:49:30.247,0.280,0.255,-0.107,0.541
1685036970267,2023-05-25T12:49:30.267,0.300,0.065,0.537,0.678
1685036970287,2023-05-25T12:49:30.287,0.320,0.069,0.842,0.568
1685036970307,2023-05-25T12:49:30.307,0.340,-0.229,0.808,0.297
1685036970327,2023-05-25T12:49:30.327,0.360,-0.282,0.419,0.061
1685036970347,2023-05-25T12:49:30.347,0.380,0.232,0.271,0.457
1685036970367,2023-05-25T12:49:30.367,0.400,0.739,0.446,1.025
1685036970387,2023-05-25T12:49:30.387,0.420,0.534,0.191,1.429
1685036970407,2023-05-25T12:49:30.407,0.440,0.133,0.259,1.437
1685036970427,2023-05-25T12:49:30.427,0.460,-0.145,1.124,1.467
1685036970447,2023-05-25T12:49:30.447,0.480,-0.297,1.715,1.414
1685036970467,2023-05-25T12:49:30.467,0.500,-0.514,1.311,1.258
1685036970487,2023-05-25T12:49:30.487,0.520,-0.880,1.303,1.185
1685036970507,2023-05-25T12:49:30.507,0.540,-0.957,1.601,1.410
1685036970527,2023-05-25T12:49:30.527,0.560,-0.873,2.031,1.673
1685036970547,2023-05-25T12:49:30.547,0.580,-0.915,1.974,1.738
1685036970567,2023-05-25T12:49:30.567,0.600,-1.296,2.130,1.364
1685036970587,2023-05-25T12:49:30.587,0.620,-1.456,2.790,0.903
1685036970727,2023-05-25T12:49:30.727,0.760,-4.832,4.131,1.799
1685036970747,2023-05-25T12:49:30.747,0.780,-4.139,2.687,1.921
1685036970767,2023-05-25T12:49:30.767,0.800,-4.146,2.847,1.806
1685036970787,2023-05-25T12:49:30.787,0.820,-6.616,4.394,1.902
1685036971167,2023-05-25T12:49:31.167,1.200,33.868,-28.380,68.030
1685036971187,2023-05-25T12:49:31.187,1.220,38.956,-17.622,68.190
1685036971307,2023-05-25T12:49:31.307,1.340,8.876,-27.793,-15.987
1685036971327,2023-05-25T12:49:31.327,1.360,1.654,-22.652,-16.120
1685036971347,2023-05-25T12:49:31.347,1.380,2.111,-25.084,-19.661
1685036971367,2023-05-25T12:49:31.367,1.400,5.091,-34.588,-29.108
1685036971387,2023-05-25T12:49:31.387,1.420,4.646,-37.515,-36.650
1685036971407,2023-05-25T12:49:31.407,1.440,-5.393,-25.579,-39.592
1685036971427,2023-05-25T12:49:31.427,1.460,-15.736,-20.427,-41.753
1685036971447,2023-05-25T12:49:31.447,1.480,-19.581,-20.465,-41.787
1685036971467,2023-05-25T12:49:31.467,1.500,-18.289,-18.396,-39.165
1685036971487,2023-05-25T12:49:31.487,1.520,-6.764,-24.638,-29.577
1685036971507,2023-05-25T12:49:31.507,1.540,2.481,-22.725,-17.309
1685036971527,2023-05-25T12:49:31.527,1.560,7.847,-15.827,-9.264
1685036971547,2023-05-25T12:49:31.547,1.580,12.881,-13.216,-4.463
1685036971567,2023-05-25T12:49:31.567,1.600,16.033,-14.264,-2.591
1685036971587,2023-05-25T12:49:31.587,1.620,19.036,-14.226,-4.036
1685036971607,2023-05-25T12:49:31.607,1.640,22.268,-12.412,-6.536
1685036971627,2023-05-25T12:49:31.627,1.660,24.527,-12.931,-8.537
1685036971647,2023-05-25T12:49:31.647,1.680,24.234,-13.750,-10.454
1685036971667,2023-05-25T12:49:31.667,1.700,22.645,-13.529,-13.365
1685036971687,2023-05-25T12:49:31.687,1.720,17.992,-7.992,-15.968
1685036971707,2023-05-25T12:49:31.707,1.740,13.826,-3.963,-17.397
1685036971727,2023-05-25T12:49:31.727,1.760,12.351,-2.931,-16.787
1685036971747,2023-05-25T12:49:31.747,1.780,12.984,-3.758,-13.083
1685036971767,2023-05-25T12:49:31.767,1.800,13.346,-1.414,-7.580
1685036971787,2023-05-25T12:49:31.787,1.820,11.326,1.829,-0.873
1685036971807,2023-05-25T12:49:31.807,1.840,5.903,1.296,3.529
1685036971827,2023-05-25T12:49:31.827,1.860,-1.921,-2.302,3.540
1685036971847,2023-05-25T12:49:31.847,1.880,-6.555,-1.265,3.662
1685036971867,2023-05-25T12:49:31.867,1.900,-0.362,-2.938,5.305
1685036971887,2023-05-25T12:49:31.887,1.920,14.489,-12.229,6.986
1685036971907,2023-05-25T12:49:31.907,1.940,34.825,-29.703,7.565
1685036971927,2023-05-25T12:49:31.927,1.960,45.171,-36.917,8.121
