epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1685036261600,2023-05-25T12:37:41.600,0.000,-3.674,-10.152,0.431
1685036261620,2023-05-25T12:37:41.620,0.020,-2.694,-10.465,0.164
1685036261640,2023-05-25T12:37:41.640,0.040,-4.219,-9.947,0.011
1685036261660,2023-05-25T12:37:41.660,0.060,-5.899,-9.992,0.027
1685036261680,2023-05-25T12:37:41.680,0.080,-1.490,-6.845,0.385
1685036261700,2023-05-25T12:37:41.700,0.100,-2.024,-10.221,0.267
1685036261720,2023-05-25T12:37:41.720,0.120,3.472,-15.953,0.545
1685036261740,2023-05-25T12:37:41.740,0.140,9.870,-17.622,1.311
1685036261760,2023-05-25T12:37:41.760,0.160,8.060,-7.893,2.691
1685036261780,2023-05-25T12:37:41.780,0.180,2.203,3.841,2.786
1685036261800,2023-05-25T12:37:41.800,0.200,-3.171,5.469,1.376
1685036261820,2023-05-25T12:37:41.820,0.220,-3.967,2.790,0.240
1685036261840,2023-05-25T12:37:41.840,0.240,-2.755,0.541,-0.343
1685036261860,2023-05-25T12:37:41.860,0.260,-0.389,-2.797,-0.373
1685036261880,2023-05-25T12:37:41.880,0.280,1.814,-5.259,-0.255
1685036261900,2023-05-25T12:37:41.900,0.300,3.407,-8.136,-0.309
1685036261920,2023-05-25T12:37:41.920,0.320,9.950,-12.363,0.393
1685036261940,2023-05-25T12:37:41.940,0.340,10.011,-9.371,1.623
1685036261960,2023-05-25T12:37:41.960,0.360,6.387,-9.425,1.650
1685036261980,2023-05-25T12:37:41.980,0.380,5.373,-9.897,2.001
1685036262000,2023-05-25T12:37:42.000,0.400,7.637,-14.204,2.332
1685036262020,2023-05-25T12:37:42.020,0.420,12.904,-21.810,2.279
1685036262040,2023-05-25T12:37:42.040,0.440,20.644,-24.032,3.155
1685036262060,2023-05-25T12:37:42.060,0.460,27.481,-24.703,3.460
1685036262080,2023-05-25T12:37:42.080,0.480,24.573,-23.605,2.927
1685036262100,2023-05-25T12:37:42.100,0.500,16.822,-18.331,3.270
1685036262120,2023-05-25T12:37:42.120,0.520,6.921,-10.968,1.604
1685036262140,2023-05-25T12:37:42.140,0.540,6.684,-10.000,1.616
1685036262160,2023-05-25T12:37:42.160,0.560,3.590,-4.577,2.271
1685036262180,2023-05-25T12:37:42.180,0.580,-0.423,2.127,1.521
1685036262200,2023-05-25T12:37:42.200,0.600,-2.645,6.380,0.434
1685036262220,2023-05-25T12:37:42.220,0.620,-5.614,8.876,-0.206
1685036262240,2023-05-25T12:37:42.240,0.640,-7.965,10.694,-0.130
1685036262260,2023-05-25T12:37:42.260,0.660,-8.483,13.491,-0.171
1685036262280,2023-05-25T12:37:42.280,0.680,-5.682,15.248,-0.023
1685036262300,2023-05-25T12:37:42.300,0.700,0.827,11.959,0.816
1685036262320,2023-05-25T12:37:42.320,0.720,10.015,7.321,3.552
1685036262340,2023-05-25T12:37:42.340,0.740,9.459,4.630,4.859
1685036262360,2023-05-25T12:37:42.360,0.760,6.692,-1.582,4.230
1685036262380,2023-05-25T12:37:42.380,0.780,1.056,-4.859,1.460
1685036262400,2023-05-25T12:37:42.400,0.800,-2.344,2.085,0.701
1685036262420,2023-05-25T12:37:42.420,0.820,-9.573,12.835,-0.796
1685036262440,2023-05-25T12:37:42.440,0.840,-9.802,18.293,-0.877
1685036262460,2023-05-25T12:37:42.460,0.860,-9.970,18.838,-0.404
1685036262480,2023-05-25T12:37:42.480,0.880,-4.162,7.435,0.156
1685036262500,2023-05-25T12:37:42.500,0.900,3.487,-10.122,-0.522
1685036262520,2023-05-25T12:37:42.520,0.920,16.014,-27.138,1.612
1685036262540,2023-05-25T12:37:42.540,0.940,24.489,-37.729,3.567
1685036262560,2023-05-25T12:37:42.560,0.960,22.016,-35.408,4.546
1685036262580,2023-05-25T12:37:42.580,0.980,7.569,-14.607,4.703
1685036262600,2023-05-25T12:37:42.600,1.000,-14.844,11.570,-0.198
1685036262620,2023-05-25T12:37:42.620,1.020,-21.086,19.478,-4.211
1685036262640,2023-05-25T12:37:42.640,1.040,-9.108,6.665,-2.348
1685036262660,2023-05-25T12:37:42.660,1.060,5.000,-9.497,1.258
1685036262680,2023-05-25T12:37:42.680,1.080,4.444,-9.634,2.008
1685036262700,2023-05-25T12:37:42.700,1.100,-12.245,15.736,0.415
1685036262720,2023-05-25T12:37:42.720,1.120,-28.030,44.798,-2.386
1685036262740,2023-05-25T12:37:42.740,1.140,-30.762,54.474,-3.300
1685036262760,2023-05-25T12:37:42.760,1.160,-26.235,49.066,-2.687
1685036262780,2023-05-25T12:37:42.780,1.180,-20.777,37.130,-1.963
1685036262800,2023-05-25T12:37:42.800,1.200,-11.170,15.415,-0.899
1685036262820,2023-05-25T12:37:42.820,1.220,-4.707,2.755,0.152
1685036262840,2023-05-25T12:37:42.840,1.240,-3.159,-0.739,0.728
1685036262860,2023-05-25T12:37:42.860,1.260,-1.681,-3.114,1.189
1685036262880,2023-05-25T12:37:42.880,1.280,-0.564,-9.093,1.402
1685036262900,2023-05-25T12:37:42.900,1.300,-4.748,-8.979,1.071
1685036262920,2023-05-25T12:37:42.920,1.320,-6.063,-12.431,0.957
1685036262940,2023-05-25T12:37:42.940,1.340,-3.354,-19.912,0.133
1685036262960,2023-05-25T12:37:42.960,1.360,-0.274,-21.719,-1.143
1685036262980,2023-05-25T12:37:42.980,1.380,9.790,-36.700,-1.692
1685036263000,2023-05-25T12:37:43.000,1.400,9.531,-28.838,-0.968
1685036263020,2023-05-25T12:37:43.020,1.420,-6.159,1.841,-0.255
1685036263040,2023-05-25T12:37:43.040,1.440,-10.183,18.415,1.597
1685036263060,2023-05-25T12:37:43.060,1.460,-14.741,27.100,2.252
1685036263080,2023-05-25T12:37:43.080,1.480,-13.479,23.933,2.980
1685036263100,2023-05-25T12:37:43.100,1.500,-7.774,15.091,2.687
1685036263120,2023-05-25T12:37:43.120,1.520,-7.069,6.292,0.553
1685036263140,2023-05-25T12:37:43.140,1.540,0.240,-8.445,-0.998
1685036263160,2023-05-25T12:37:43.160,1.560,5.918,-18.716,-2.485
1685036263180,2023-05-25T12:37:43.180,1.580,6.806,-22.839,-3.815
1685036263200,2023-05-25T12:37:43.200,1.600,4.497,-23.906,-4.306
1685036263220,2023-05-25T12:37:43.220,1.620,11.159,-21.220,-1.814
1685036263240,2023-05-25T12:37:43.240,1.640,20.915,-18.479,1.322
1685036263260,2023-05-25T12:37:43.260,1.660,28.095,-24.325,1.402
1685036263280,2023-05-25T12:37:43.280,1.680,29.989,-36.822,-0.076
1685036263300,2023-05-25T12:37:43.300,1.700,16.021,-36.555,-3.155
1685036263320,2023-05-25T12:37:43.320,1.720,8.060,-32.584,-4.958
1685036263340,2023-05-25T12:37:43.340,1.740,16.189,-27.725,-4.341
1685036263360,2023-05-25T12:37:43.360,1.760,20.187,-28.335,-2.370
1685036263380,2023-05-25T12:37:43.380,1.780,21.303,-36.528,2.001
1685036263400,2023-05-25T12:37:43.400,1.800,19.829,-31.555,8.125
1685036263420,2023-05-25T12:37:43.420,1.820,23.872,-26.959,11.982
1685036263440,2023-05-25T12:37:43.440,1.840,28.403,-22.168,13.129
1685036263460,2023-05-25T12:37:43.460,1.860,11.989,1.490,10.751
1685036263480,2023-05-25T12:37:43.480,1.880,0.240,15.297,4.421
1685036263500,2023-05-25T12:37:43.500,1.900,-2.748,15.030,2.081
1685036263520,2023-05-25T12:37:43.520,1.920,-8.598,22.626,0.964
1685036263540,2023-05-25T12:37:43.540,1.940,-18.674,38.346,-0.522
1685036263560,2023-05-25T12:37:43.560,1.960,-24.272,41.936,-0.796
1685036263580,2023-05-25T12:37:43.580,1.980,-17.066,22.900,-0.236
1685036263600,2023-05-25T12:37:43.600,2.000,-9.303,6.174,-0.686
1685036263620,2023-05-25T12:37:43.620,2.020,-8.746,3.335,-1.303
1685036263640,2023-05-25T12:37:43.640,2.040,-9.284,8.540,-1.269
1685036263660,2023-05-25T12:37:43.660,2.060,-12.005,22.382,-1.742
1685036263680,2023-05-25T12:37:43.680,2.080,-15.785,30.255,-3.293
1685036263700,2023-05-25T12:37:43.700,2.100,-12.683,16.582,-4.097
1685036263720,2023-05-25T12:37:43.720,2.120,-4.463,-1.890,-3.034
1685036263740,2023-05-25T12:37:43.740,2.140,-0.271,-9.577,-2.313
1685036263760,2023-05-25T12:37:43.760,2.160,2.832,-13.053,-1.864
1685036263780,2023-05-25T12:37:43.780,2.180,3.457,-5.537,-1.292
1685036263800,2023-05-25T12:37:43.800,2.200,3.037,3.319,-0.838
1685036263820,2023-05-25T12:37:43.820,2.220,4.585,3.723,1.029
1685036263840,2023-05-25T12:37:43.840,2.240,2.024,7.923,2.843
1685036263860,2023-05-25T12:37:43.860,2.260,-4.223,20.179,2.553
1685036263880,2023-05-25T12:37:43.880,2.280,-5.976,28.811,2.614
1685036263900,2023-05-25T12:37:43.900,2.300,-4.177,23.247,2.271
1685036263920,2023-05-25T12:37:43.920,2.320,-1.787,10.545,-0.271
1685036263940,2023-05-25T12:37:43.940,2.340,4.451,-11.978,-1.890
1685036263960,2023-05-25T12:37:43.960,2.360,22.066,-37.710,0.316
1685036263980,2023-05-25T12:37:43.980,2.380,15.011,-21.079,0.537
1685036264000,2023-05-25T12:37:44.000,2.400,-5.404,4.947,-4.059
1685036264020,2023-05-25T12:37:44.020,2.420,-11.063,10.724,-5.191
1685036264040,2023-05-25T12:37:44.040,2.440,-4.989,4.204,-3.007
1685036264060,2023-05-25T12:37:44.060,2.460,-5.454,7.370,-1.044
1685036264080,2023-05-25T12:37:44.080,2.480,-9.520,16.719,1.269
1685036264100,2023-05-25T12:37:44.100,2.500,-5.804,9.630,1.265
1685036264120,2023-05-25T12:37:44.120,2.520,0.473,-0.050,-0.091
1685036264140,2023-05-25T12:37:44.140,2.540,2.580,1.109,-0.922
1685036264160,2023-05-25T12:37:44.160,2.560,1.124,8.114,-0.084
1685036264180,2023-05-25T12:37:44.180,2.580,-0.351,15.091,1.345
1685036264200,2023-05-25T12:37:44.200,2.600,4.116,9.104,1.966
1685036264220,2023-05-25T12:37:44.220,2.620,7.401,0.171,1.845
1685036264240,2023-05-25T12:37:44.240,2.640,8.651,-6.684,2.111
1685036264260,2023-05-25T12:37:44.260,2.660,8.220,-8.697,2.515
1685036264280,2023-05-25T12:37:44.280,2.680,5.827,-8.034,2.199
1685036264300,2023-05-25T12:37:44.300,2.700,4.409,-5.614,1.540
1685036264320,2023-05-25T12:37:44.320,2.720,-2.618,9.375,-0.183
1685036264340,2023-05-25T12:37:44.340,2.740,-8.822,24.585,-2.039
1685036264360,2023-05-25T12:37:44.360,2.760,-11.433,30.419,-2.523
1685036264380,2023-05-25T12:37:44.380,2.780,-11.220,21.513,-3.049
1685036264400,2023-05-25T12:37:44.400,2.800,-4.596,6.056,-2.725
1685036264420,2023-05-25T12:37:44.420,2.820,-1.189,0.061,-2.153
1685036264440,2023-05-25T12:37:44.440,2.840,0.484,-2.344,-1.993
1685036264460,2023-05-25T12:37:44.460,2.860,3.872,-4.627,-1.986
1685036264480,2023-05-25T12:37:44.480,2.880,4.177,-2.066,-1.543
1685036264500,2023-05-25T12:37:44.500,2.900,6.014,-0.591,-0.621
1685036264520,2023-05-25T12:37:44.520,2.920,8.594,4.768,1.555
1685036264540,2023-05-25T12:37:44.540,2.940,2.500,14.752,3.258
1685036264560,2023-05-25T12:37:44.560,2.960,-0.934,11.608,2.580
1685036264580,2023-05-25T12:37:44.580,2.980,0.480,1.128,0.640
1685036264600,2023-05-25T12:37:44.600,3.000,2.100,-2.706,0.030
1685036264620,2023-05-25T12:37:44.620,3.020,4.146,-3.392,0.415
1685036264640,2023-05-25T12:37:44.640,3.040,1.410,-1.117,-0.015
1685036264660,2023-05-25T12:37:44.660,3.060,-1.197,2.687,0.069
1685036264680,2023-05-25T12:37:44.680,3.080,-0.926,2.847,0.716
1685036264700,2023-05-25T12:37:44.700,3.100,4.173,-4.809,1.044
1685036264720,2023-05-25T12:37:44.720,3.120,5.652,-7.873,1.345
1685036264740,2023-05-25T12:37:44.740,3.140,0.522,-4.333,0.732
1685036264760,2023-05-25T12:37:44.760,3.160,-1.723,-3.697,0.168
1685036264780,2023-05-25T12:37:44.780,3.180,1.216,-9.607,0.061
1685036264800,2023-05-25T12:37:44.800,3.200,5.457,-16.856,-0.511
1685036264820,2023-05-25T12:37:44.820,3.220,9.748,-23.213,-1.037
1685036264840,2023-05-25T12:37:44.840,3.240,6.509,-20.118,-1.875
1685036264860,2023-05-25T12:37:44.860,3.260,-0.126,-6.319,-2.199
1685036264880,2023-05-25T12:37:44.880,3.280,-3.918,8.186,-1.776
1685036264900,2023-05-25T12:37:44.900,3.300,-6.845,16.986,-1.456
1685036264920,2023-05-25T12:37:44.920,3.320,-6.978,15.747,-0.560
1685036264940,2023-05-25T12:37:44.940,3.340,-3.636,5.412,-0.347
1685036264960,2023-05-25T12:37:44.960,3.360,1.917,-9.017,-1.094
1685036264980,2023-05-25T12:37:44.980,3.380,6.414,-18.091,-0.972
1685036265000,2023-05-25T12:37:45.000,3.400,7.123,-13.072,2.355
1685036265020,2023-05-25T12:37:45.020,3.420,-0.884,1.151,4.211
1685036265040,2023-05-25T12:37:45.040,3.440,-2.412,6.963,3.838
1685036265060,2023-05-25T12:37:45.060,3.460,-2.755,10.785,2.790
1685036265080,2023-05-25T12:37:45.080,3.480,-3.906,9.444,0.454
1685036265100,2023-05-25T12:37:45.100,3.500,-0.293,-1.639,-1.460
1685036265120,2023-05-25T12:37:45.120,3.520,10.781,-21.082,-0.835
1685036265140,2023-05-25T12:37:45.140,3.540,24.748,-44.851,2.595
1685036265160,2023-05-25T12:37:45.160,3.560,0.316,-16.319,0.248
1685036265180,2023-05-25T12:37:45.180,3.580,-20.042,22.370,-4.364
1685036265200,2023-05-25T12:37:45.200,3.600,-10.911,31.364,-1.376
1685036265220,2023-05-25T12:37:45.220,3.620,0.019,22.679,2.973
1685036265240,2023-05-25T12:37:45.240,3.640,7.489,4.345,4.668
1685036265260,2023-05-25T12:37:45.260,3.660,8.956,-9.329,4.291
1685036265280,2023-05-25T12:37:45.280,3.680,11.502,-23.384,3.117
1685036265300,2023-05-25T12:37:45.300,3.700,11.749,-34.928,1.429
1685036265320,2023-05-25T12:37:45.320,3.720,-0.781,-20.854,-2.809
1685036265340,2023-05-25T12:37:45.340,3.740,-8.864,2.793,-6.406
1685036265360,2023-05-25T12:37:45.360,3.760,-7.809,8.868,-4.665
1685036265380,2023-05-25T12:37:45.380,3.780,-2.393,2.854,-0.781
1685036265400,2023-05-25T12:37:45.400,3.800,-2.172,4.428,-0.758
1685036265420,2023-05-25T12:37:45.420,3.820,1.002,0.404,-1.021
1685036265440,2023-05-25T12:37:45.440,3.840,6.280,-9.611,-0.434
1685036265460,2023-05-25T12:37:45.460,3.860,8.316,-12.031,0.553
1685036265480,2023-05-25T12:37:45.480,3.880,2.976,-5.130,0.747
1685036265500,2023-05-25T12:37:45.500,3.900,-7.146,8.826,0.476
1685036265520,2023-05-25T12:37:45.520,3.920,-10.069,16.475,0.991
1685036265540,2023-05-25T12:37:45.540,3.940,-1.231,6.963,1.890
1685036265560,2023-05-25T12:37:45.560,3.960,6.315,-2.302,3.171
1685036265580,2023-05-25T12:37:45.580,3.980,12.123,-8.944,4.566
1685036265600,2023-05-25T12:37:45.600,4.000,12.184,-15.328,4.912
1685036265620,2023-05-25T12:37:45.620,4.020,8.369,-15.587,4.268
1685036265640,2023-05-25T12:37:45.640,4.040,8.117,-14.554,2.630
1685036265660,2023-05-25T12:37:45.660,4.060,8.014,-16.650,1.048
1685036265680,2023-05-25T12:37:45.680,4.080,7.085,-19.809,0.480
1685036265700,2023-05-25T12:37:45.700,4.100,7.401,-19.714,0.667
1685036265720,2023-05-25T12:37:45.720,4.120,6.018,-13.674,2.329
1685036265740,2023-05-25T12:37:45.740,4.140,2.115,-6.414,4.455
1685036265760,2023-05-25T12:37:45.760,4.160,-5.145,4.245,4.905
1685036265780,2023-05-25T12:37:45.780,4.180,-8.723,9.714,3.129
1685036265800,2023-05-25T12:37:45.800,4.200,-5.286,9.005,2.043
1685036265820,2023-05-25T12:37:45.820,4.220,-0.438,2.828,2.184
1685036265840,2023-05-25T12:37:45.840,4.240,-4.432,1.414,-1.734
1685036265860,2023-05-25T12:37:45.860,4.260,-15.194,11.235,-6.208
1685036265880,2023-05-25T12:37:45.880,4.280,-9.367,10.953,-6.414
1685036265900,2023-05-25T12:37:45.900,4.300,-1.665,3.495,-3.998
1685036265920,2023-05-25T12:37:45.920,4.320,-4.691,8.323,-2.016
1685036265940,2023-05-25T12:37:45.940,4.340,-8.735,15.206,-2.630
1685036265960,2023-05-25T12:37:45.960,4.360,-10.983,10.023,-1.966
1685036265980,2023-05-25T12:37:45.980,4.380,-4.962,-5.793,-0.396
1685036266000,2023-05-25T12:37:46.000,4.400,6.909,-11.448,2.195
1685036266020,2023-05-25T12:37:46.020,4.420,16.048,-8.209,3.540
1685036266040,2023-05-25T12:37:46.040,4.440,9.859,-4.756,2.835
1685036266060,2023-05-25T12:37:46.060,4.460,2.035,-0.088,0.686
1685036266080,2023-05-25T12:37:46.080,4.480,-1.909,2.252,-1.856
1685036266100,2023-05-25T12:37:46.100,4.500,-12.336,10.873,-2.896
1685036266120,2023-05-25T12:37:46.120,4.520,-19.790,25.880,-2.664
1685036266140,2023-05-25T12:37:46.140,4.540,-16.258,18.838,-3.178
1685036266160,2023-05-25T12:37:46.160,4.560,-3.700,-4.245,-3.601
1685036266180,2023-05-25T12:37:46.180,4.580,1.623,-11.654,-4.303
1685036266200,2023-05-25T12:37:46.200,4.600,2.908,-10.023,-3.921
1685036266220,2023-05-25T12:37:46.220,4.620,4.691,-16.227,-3.396
1685036266240,2023-05-25T12:37:46.240,4.640,5.831,-27.370,-3.689
1685036266260,2023-05-25T12:37:46.260,4.660,1.711,-24.550,-3.460
1685036266280,2023-05-25T12:37:46.280,4.680,-3.929,-9.478,-2.088
1685036266300,2023-05-25T12:37:46.300,4.700,-7.157,2.805,-0.130
1685036266320,2023-05-25T12:37:46.320,4.720,-4.985,4.009,2.893
1685036266340,2023-05-25T12:37:46.340,4.740,0.225,3.411,5.614
1685036266360,2023-05-25T12:37:46.360,4.760,6.738,2.180,6.951
1685036266380,2023-05-25T12:37:46.380,4.780,14.630,-4.066,7.313
1685036266400,2023-05-25T12:37:46.400,4.800,18.453,-10.183,6.593
1685036266420,2023-05-25T12:37:46.420,4.820,15.640,-9.718,5.194
1685036266440,2023-05-25T12:37:46.440,4.840,8.681,4.204,3.434
1685036266460,2023-05-25T12:37:46.460,4.860,2.687,16.040,2.580
1685036266480,2023-05-25T12:37:46.480,4.880,-2.165,20.560,2.214
1685036266500,2023-05-25T12:37:46.500,4.900,-6.330,18.129,1.715
1685036266520,2023-05-25T12:37:46.520,4.920,-9.501,22.424,0.553
1685036266540,2023-05-25T12:37:46.540,4.940,-16.208,36.677,-0.918
1685036266560,2023-05-25T12:37:46.560,4.960,-15.808,32.744,-1.345
1685036266580,2023-05-25T12:37:46.580,4.980,-10.316,17.809,-2.287
1685036266600,2023-05-25T12:37:46.600,5.000,-4.379,4.878,-2.557
1685036266620,2023-05-25T12:37:46.620,5.020,0.476,-4.596,-1.833
1685036266640,2023-05-25T12:37:46.640,5.040,0.495,-7.374,-1.437
1685036266660,2023-05-25T12:37:46.660,5.060,0.061,-8.731,-1.330
1685036266680,2023-05-25T12:37:46.680,5.080,-1.277,-8.159,-1.395
1685036266700,2023-05-25T12:37:46.700,5.100,-2.790,-7.870,-1.521
1685036266720,2023-05-25T12:37:46.720,5.120,-1.387,-6.361,-0.896
1685036266740,2023-05-25T12:37:46.740,5.140,-2.210,0.377,0.343
1685036266760,2023-05-25T12:37:46.760,5.160,-3.289,7.622,1.886
