epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1721769515557,2024-07-23T16:18:35.557,0.000,-12.622,16.845,52.165
1721769515577,2024-07-23T16:18:35.577,0.020,-12.127,19.459,52.420
1721769515597,2024-07-23T16:18:35.597,0.040,-5.671,38.727,56.025
1721769515617,2024-07-23T16:18:35.617,0.060,11.620,63.990,63.678
1721769515637,2024-07-23T16:18:35.637,0.080,15.926,49.447,71.444
1721769515657,2024-07-23T16:18:35.657,0.100,-3.590,14.474,65.869
1721769515677,2024-07-23T16:18:35.677,0.120,-7.923,19.425,68.270
1721769515697,2024-07-23T16:18:35.697,0.140,-8.357,37.687,74.813
1721769515717,2024-07-23T16:18:35.717,0.160,-5.793,61.471,79.291
1721769515737,2024-07-23T16:18:35.737,0.180,9.169,101.178,79.699
1721769515757,2024-07-23T16:18:35.757,0.200,17.809,91.235,74.958
1721769515777,2024-07-23T16:18:35.777,0.220,-13.140,39.181,66.090
1721769515797,2024-07-23T16:18:35.797,0.240,-13.899,58.373,60.587
1721769515817,2024-07-23T16:18:35.817,0.260,-0.495,101.037,58.506
1721769515837,2024-07-23T16:18:35.837,0.280,-3.224,100.160,51.178
1721769515857,2024-07-23T16:18:35.857,0.300,-12.184,57.725,45.183
1721769515877,2024-07-23T16:18:35.877,0.320,-29.314,22.100,35.728
1721769515897,2024-07-23T16:18:35.897,0.340,-26.463,37.279,28.468
1721769515917,2024-07-23T16:18:35.917,0.360,-18.643,50.339,36.124
1721769515937,2024-07-23T16:18:35.937,0.380,-16.867,47.904,40.015
1721769515957,2024-07-23T16:18:35.957,0.400,-22.024,8.072,36.391
1721769515977,2024-07-23T16:18:35.977,0.420,-39.074,-40.560,29.947
1721769515997,2024-07-23T16:18:35.997,0.440,-36.620,-43.800,26.654
1721769516017,2024-07-23T16:18:36.017,0.460,-29.230,-30.175,26.570
1721769516037,2024-07-23T16:18:36.037,0.480,-36.300,-24.165,25.514
1721769516057,2024-07-23T16:18:36.057,0.500,-42.027,-11.025,27.710
1721769516077,2024-07-23T16:18:36.077,0.520,-49.627,-7.405,32.226
1721769516097,2024-07-23T16:18:36.097,0.540,-69.775,-22.325,35.320
