epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1721769609036,2024-07-23T16:20:09.036,0.000,46.353,-1.334,3.224
1721769609056,2024-07-23T16:20:09.056,0.020,39.280,-0.168,1.585
1721769609076,2024-07-23T16:20:09.076,0.040,6.010,5.655,-5.240
1721769609096,2024-07-23T16:20:09.096,0.060,15.869,-23.346,-3.826
1721769609116,2024-07-23T16:20:09.116,0.080,-10.118,-1.444,-11.143
1721769609136,2024-07-23T16:20:09.136,0.100,-13.552,20.979,-14.451
1721769609156,2024-07-23T16:20:09.156,0.120,-15.461,5.736,-5.118
1721769609176,2024-07-23T16:20:09.176,0.140,-20.614,9.383,-2.561
1721769609196,2024-07-23T16:20:09.196,0.160,-27.226,16.715,-2.622
1721769609216,2024-07-23T16:20:09.216,0.180,-19.992,19.127,-1.079
1721769609236,2024-07-23T16:20:09.236,0.200,-14.287,9.615,0.065
1721769609256,2024-07-23T16:20:09.256,0.220,-11.303,2.919,-0.861
1721769609276,2024-07-23T16:20:09.276,0.240,-5.709,-0.652,-2.473
1721769609296,2024-07-23T16:20:09.296,0.260,-1.673,0.598,-5.255
1721769609316,2024-07-23T16:20:09.316,0.280,0.854,0.621,-6.780
1721769609336,2024-07-23T16:20:09.336,0.300,2.706,-3.544,-4.665
1721769609356,2024-07-23T16:20:09.356,0.320,1.738,-3.152,-2.046
1721769609376,2024-07-23T16:20:09.376,0.340,0.678,-4.318,-0.366
1721769609396,2024-07-23T16:20:09.396,0.360,1.280,-2.904,-0.004
1721769609416,2024-07-23T16:20:09.416,0.380,0.427,-2.378,-0.229
1721769609436,2024-07-23T16:20:09.436,0.400,-0.743,0.671,-1.120
1721769609456,2024-07-23T16:20:09.456,0.420,-2.588,0.023,-2.458
1721769609476,2024-07-23T16:20:09.476,0.440,-3.133,0.995,-4.078
1721769609496,2024-07-23T16:20:09.496,0.460,-3.411,0.976,-4.581
1721769609516,2024-07-23T16:20:09.516,0.480,-1.665,0.130,-3.403
1721769609536,2024-07-23T16:20:09.536,0.500,0.732,-0.179,-2.630
1721769609556,2024-07-23T16:20:09.556,0.520,0.072,-2.614,-3.251
1721769609576,2024-07-23T16:20:09.576,0.540,-0.518,-3.491,-4.428
1721769609596,2024-07-23T16:20:09.596,0.560,0.069,-3.739,-5.019
1721769609616,2024-07-23T16:20:09.616,0.580,-0.545,-1.711,-4.447
1721769609636,2024-07-23T16:20:09.636,0.600,0.389,0.332,-2.039
1721769609656,2024-07-23T16:20:09.656,0.620,1.902,-0.560,0.652
1721769609676,2024-07-23T16:20:09.676,0.640,2.329,-0.187,2.035
1721769609696,2024-07-23T16:20:09.696,0.660,2.885,-0.495,2.214
1721769609716,2024-07-23T16:20:09.716,0.680,5.004,-0.499,0.873
1721769609736,2024-07-23T16:20:09.736,0.700,5.286,-0.972,-0.141
1721769609756,2024-07-23T16:20:09.756,0.720,4.470,-1.608,-0.408
1721769609776,2024-07-23T16:20:09.776,0.740,2.245,-0.690,-0.354
1721769609796,2024-07-23T16:20:09.796,0.760,0.011,1.170,-0.434
1721769609816,2024-07-23T16:20:09.816,0.780,1.749,1.707,0.042
1721769609836,2024-07-23T16:20:09.836,0.800,2.367,-1.502,0.351
1721769609856,2024-07-23T16:20:09.856,0.820,1.688,-3.171,0.107
1721769609876,2024-07-23T16:20:09.876,0.840,3.037,-2.530,0.644
1721769609896,2024-07-23T16:20:09.896,0.860,4.230,-2.740,1.120
1721769609916,2024-07-23T16:20:09.916,0.880,3.914,-2.641,0.762
1721769609936,2024-07-23T16:20:09.936,0.900,3.986,-2.134,0.290
1721769609956,2024-07-23T16:20:09.956,0.920,3.354,-2.851,-0.183
1721769609976,2024-07-23T16:20:09.976,0.940,2.607,-2.908,-0.785
1721769609996,2024-07-23T16:20:09.996,0.960,2.572,-3.960,-0.846
1721769610016,2024-07-23T16:20:10.016,0.980,3.639,-1.761,-1.334
1721769610036,2024-07-23T16:20:10.036,1.000,3.830,-1.117,-1.200
1721769610056,2024-07-23T16:20:10.056,1.020,-0.046,-2.870,-1.383
1721769610076,2024-07-23T16:20:10.076,1.040,-2.782,-4.238,-1.025
1721769610096,2024-07-23T16:20:10.096,1.060,-3.034,-5.579,0.366
1721769610116,2024-07-23T16:20:10.116,1.080,-1.082,-2.538,1.357
1721769610136,2024-07-23T16:20:10.136,1.100,-0.957,-0.511,1.075
1721769610156,2024-07-23T16:20:10.156,1.120,-2.569,-4.200,0.514
1721769610176,2024-07-23T16:20:10.176,1.140,-3.159,-3.479,0.575
1721769610196,2024-07-23T16:20:10.196,1.160,-1.890,1.391,1.162
1721769610216,2024-07-23T16:20:10.216,1.180,-1.277,4.226,1.216
1721769610236,2024-07-23T16:20:10.236,1.200,-3.944,2.752,0.320
1721769610256,2024-07-23T16:20:10.256,1.220,-5.526,2.035,-1.334
1721769610276,2024-07-23T16:20:10.276,1.240,-4.554,3.460,-2.313
1721769610296,2024-07-23T16:20:10.296,1.260,-1.837,3.369,-1.993
1721769610316,2024-07-23T16:20:10.316,1.280,2.050,3.540,-0.865
1721769610336,2024-07-23T16:20:10.336,1.300,3.319,0.183,-0.050
1721769610356,2024-07-23T16:20:10.356,1.320,2.984,-1.280,-0.739
1721769610376,2024-07-23T16:20:10.376,1.340,2.915,-0.850,-0.911
1721769610396,2024-07-23T16:20:10.396,1.360,4.177,-1.086,-0.301
1721769610416,2024-07-23T16:20:10.416,1.380,5.526,0.137,0.316
1721769610436,2024-07-23T16:20:10.436,1.400,4.466,-0.823,0.419
1721769610456,2024-07-23T16:20:10.456,1.420,2.363,-1.178,-0.217
1721769610476,2024-07-23T16:20:10.476,1.440,0.065,0.313,-1.220
1721769610496,2024-07-23T16:20:10.496,1.460,-3.967,0.564,-1.269
1721769610516,2024-07-23T16:20:10.516,1.480,-6.620,-0.633,0.046
1721769610536,2024-07-23T16:20:10.536,1.500,-8.735,-1.745,0.530
1721769610556,2024-07-23T16:20:10.556,1.520,-10.130,-1.059,0.697
1721769610576,2024-07-23T16:20:10.576,1.540,-5.633,0.766,2.081
1721769610596,2024-07-23T16:20:10.596,1.560,-2.435,3.243,1.475
1721769610616,2024-07-23T16:20:10.616,1.580,-3.708,10.332,-0.774
1721769610636,2024-07-23T16:20:10.636,1.600,-4.829,6.757,-0.655
1721769610656,2024-07-23T16:20:10.656,1.620,-3.933,4.478,-0.602
1721769610676,2024-07-23T16:20:10.676,1.640,-6.056,0.987,-1.151
1721769610696,2024-07-23T16:20:10.696,1.660,-4.047,5.076,-2.660
1721769610716,2024-07-23T16:20:10.716,1.680,1.875,16.250,-2.489
1721769610736,2024-07-23T16:20:10.736,1.700,3.312,16.189,-0.191
1721769610756,2024-07-23T16:20:10.756,1.720,3.994,17.325,-0.141
1721769610776,2024-07-23T16:20:10.776,1.740,4.108,19.665,-2.683
1721769610796,2024-07-23T16:20:10.796,1.760,6.341,20.370,-3.601
1721769610816,2024-07-23T16:20:10.816,1.780,13.479,19.329,-3.411
1721769610836,2024-07-23T16:20:10.836,1.800,13.510,17.054,-3.617
1721769610856,2024-07-23T16:20:10.856,1.820,12.020,14.661,-3.056
1721769610876,2024-07-23T16:20:10.876,1.840,16.079,12.527,-0.354
1721769610896,2024-07-23T16:20:10.896,1.860,21.124,9.470,2.439
1721769610916,2024-07-23T16:20:10.916,1.880,22.896,6.726,2.995
1721769610936,2024-07-23T16:20:10.936,1.900,22.321,2.835,1.315
1721769610956,2024-07-23T16:20:10.956,1.920,27.877,0.160,1.242
1721769610976,2024-07-23T16:20:10.976,1.940,29.204,2.424,1.361
1721769610996,2024-07-23T16:20:10.996,1.960,28.533,3.190,2.176
1721769611016,2024-07-23T16:20:11.016,1.980,26.913,-2.603,2.614
1721769611036,2024-07-23T16:20:11.036,2.000,28.308,-5.575,2.351
1721769611056,2024-07-23T16:20:11.056,2.020,32.290,-2.679,0.492
1721769611076,2024-07-23T16:20:11.076,2.040,33.685,-3.262,-0.831
1721769611096,2024-07-23T16:20:11.096,2.060,36.383,-5.675,0.339
1721769611116,2024-07-23T16:20:11.116,2.080,36.364,-7.439,1.147
1721769611136,2024-07-23T16:20:11.136,2.100,32.294,-6.803,0.941
