epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1721770227909,2024-07-23T16:30:27.909,0.000,4.893,1.822,2.938
1721770227929,2024-07-23T16:30:27.929,0.020,4.512,1.406,2.713
1721770227949,2024-07-23T16:30:27.949,0.040,2.241,0.377,2.058
1721770227969,2024-07-23T16:30:27.969,0.060,1.864,0.232,1.890
1721770227989,2024-07-23T16:30:27.989,0.080,3.476,1.082,2.744
1721770228009,2024-07-23T16:30:28.009,0.100,3.986,3.906,3.106
1721770228029,2024-07-23T16:30:28.029,0.120,4.177,5.050,3.377
1721770228049,2024-07-23T16:30:28.049,0.140,3.418,4.466,4.257
1721770228069,2024-07-23T16:30:28.069,0.160,1.071,3.453,4.832
1721770228089,2024-07-23T16:30:28.089,0.180,-0.606,2.721,4.848
1721770228109,2024-07-23T16:30:28.109,0.200,-1.223,2.969,4.672
1721770228129,2024-07-23T16:30:28.129,0.220,-1.852,4.779,3.925
1721770228149,2024-07-23T16:30:28.149,0.240,-2.248,6.524,3.144
1721770228169,2024-07-23T16:30:28.169,0.260,-3.758,8.525,2.694
1721770228189,2024-07-23T16:30:28.189,0.280,-8.841,10.854,1.601
1721770228209,2024-07-23T16:30:28.209,0.300,-11.833,10.953,0.255
1721770228229,2024-07-23T16:30:28.229,0.320,-11.978,8.201,-1.139
1721770228249,2024-07-23T16:30:28.249,0.340,-12.752,7.569,-2.298
1721770228269,2024-07-23T16:30:28.269,0.360,-14.962,9.154,-2.763
1721770228289,2024-07-23T16:30:28.289,0.380,-17.458,9.668,-3.072
1721770228309,2024-07-23T16:30:28.309,0.400,-19.230,9.851,-3.247
1721770228329,2024-07-23T16:30:28.329,0.420,-18.258,8.739,-3.403
1721770228349,2024-07-23T16:30:28.349,0.440,-16.300,6.033,-3.689
1721770228369,2024-07-23T16:30:28.369,0.460,-14.634,1.646,-3.986
1721770228389,2024-07-23T16:30:28.389,0.480,-13.011,-1.536,-4.748
1721770228409,2024-07-23T16:30:28.409,0.500,-12.370,-1.444,-6.166
1721770228429,2024-07-23T16:30:28.429,0.520,-11.376,-0.652,-6.753
1721770228449,2024-07-23T16:30:28.449,0.540,-8.018,-0.789,-7.302
1721770228469,2024-07-23T16:30:28.469,0.560,-5.274,-1.707,-8.102
1721770228489,2024-07-23T16:30:28.489,0.580,-3.769,-4.425,-8.937
1721770228509,2024-07-23T16:30:28.509,0.600,-1.803,-6.589,-9.668
1721770228529,2024-07-23T16:30:28.529,0.620,-0.796,-9.066,-9.550
1721770228549,2024-07-23T16:30:28.549,0.640,1.608,-10.309,-8.990
1721770228569,2024-07-23T16:30:28.569,0.660,4.405,-9.043,-9.623
1721770228589,2024-07-23T16:30:28.589,0.680,4.966,-6.986,-10.579
1721770228609,2024-07-23T16:30:28.609,0.700,4.642,-4.859,-10.732
1721770228629,2024-07-23T16:30:28.629,0.720,2.927,-4.466,-10.030
1721770228649,2024-07-23T16:30:28.649,0.740,2.191,-4.996,-8.312
1721770228669,2024-07-23T16:30:28.669,0.760,2.149,-5.122,-6.528
1721770228689,2024-07-23T16:30:28.689,0.780,1.883,-5.766,-5.217
1721770228709,2024-07-23T16:30:28.709,0.800,2.157,-5.755,-3.830
1721770228729,2024-07-23T16:30:28.729,0.820,2.896,-4.215,-2.797
1721770228749,2024-07-23T16:30:28.749,0.840,3.765,-4.131,-1.856
1721770228769,2024-07-23T16:30:28.769,0.860,8.407,-3.727,-0.907
1721770228789,2024-07-23T16:30:28.789,0.880,11.677,-4.581,0.114
1721770228809,2024-07-23T16:30:28.809,0.900,9.607,-3.178,0.141
1721770228829,2024-07-23T16:30:28.829,0.920,5.751,-2.965,-0.865
1721770228849,2024-07-23T16:30:28.849,0.940,5.716,-4.428,-1.444
1721770228869,2024-07-23T16:30:28.869,0.960,8.506,-3.460,-0.774
1721770228889,2024-07-23T16:30:28.889,0.980,9.748,-2.530,0.777
1721770228909,2024-07-23T16:30:28.909,1.000,6.871,-4.303,1.947
1721770228929,2024-07-23T16:30:28.929,1.020,3.464,-3.765,1.738
1721770228949,2024-07-23T16:30:28.949,1.040,4.131,-2.927,1.048
1721770228969,2024-07-23T16:30:28.969,1.060,7.668,-2.611,0.766
1721770228989,2024-07-23T16:30:28.989,1.080,8.441,-2.713,1.338
1721770229009,2024-07-23T16:30:29.009,1.100,8.632,-3.998,3.095
1721770229029,2024-07-23T16:30:29.029,1.120,8.011,-0.008,4.364
1721770229049,2024-07-23T16:30:29.049,1.140,7.210,-0.556,4.684
1721770229069,2024-07-23T16:30:29.069,1.160,9.771,-5.126,4.768
1721770229089,2024-07-23T16:30:29.089,1.180,9.790,-4.958,4.661
1721770229109,2024-07-23T16:30:29.109,1.200,6.997,-1.742,3.735
1721770229129,2024-07-23T16:30:29.129,1.220,5.774,0.446,3.060
1721770229149,2024-07-23T16:30:29.149,1.240,4.577,-1.052,2.934
1721770229169,2024-07-23T16:30:29.169,1.260,4.825,-4.417,3.175
1721770229189,2024-07-23T16:30:29.189,1.280,7.710,-8.784,3.403
1721770229209,2024-07-23T16:30:29.209,1.300,8.868,-10.034,2.729
1721770229229,2024-07-23T16:30:29.229,1.320,7.271,-11.414,1.833
1721770229249,2024-07-23T16:30:29.249,1.340,9.005,-9.226,2.092
1721770229269,2024-07-23T16:30:29.269,1.360,12.889,-7.176,4.726
1721770229289,2024-07-23T16:30:29.289,1.380,12.409,-2.801,7.687
1721770229309,2024-07-23T16:30:29.309,1.400,8.121,0.511,8.205
1721770229329,2024-07-23T16:30:29.329,1.420,6.139,-0.694,7.111
1721770229349,2024-07-23T16:30:29.349,1.440,5.011,-4.040,7.214
1721770229369,2024-07-23T16:30:29.369,1.460,2.801,-3.571,6.894
1721770229389,2024-07-23T16:30:29.389,1.480,4.958,-0.644,5.976
1721770229409,2024-07-23T16:30:29.409,1.500,9.478,2.073,5.991
1721770229429,2024-07-23T16:30:29.429,1.520,8.986,1.540,5.762
1721770229449,2024-07-23T16:30:29.449,1.540,1.326,1.090,3.411
1721770229469,2024-07-23T16:30:29.469,1.560,0.751,0.995,1.646
1721770229489,2024-07-23T16:30:29.489,1.580,7.454,5.423,1.349
1721770229509,2024-07-23T16:30:29.509,1.600,4.093,5.027,-0.758
1721770229529,2024-07-23T16:30:29.529,1.620,-3.323,1.406,-4.036
1721770229549,2024-07-23T16:30:29.549,1.640,-7.950,6.086,-5.412
1721770229569,2024-07-23T16:30:29.569,1.660,-10.160,5.412,-4.531
1721770229589,2024-07-23T16:30:29.589,1.680,-5.389,5.934,-2.923
1721770229609,2024-07-23T16:30:29.609,1.700,-1.848,4.779,-1.509
1721770229629,2024-07-23T16:30:29.629,1.720,-3.350,1.791,-0.537
1721770229649,2024-07-23T16:30:29.649,1.740,-2.530,1.536,-0.213
1721770229669,2024-07-23T16:30:29.669,1.760,-0.484,0.084,-1.059
1721770229689,2024-07-23T16:30:29.689,1.780,-0.133,-2.927,-1.871
1721770229709,2024-07-23T16:30:29.709,1.800,-1.082,-2.024,-2.088
1721770229729,2024-07-23T16:30:29.729,1.820,-0.053,-0.316,-1.593
1721770229749,2024-07-23T16:30:29.749,1.840,1.799,-0.724,-0.926
1721770229769,2024-07-23T16:30:29.769,1.860,0.217,-1.444,-2.035
1721770229789,2024-07-23T16:30:29.789,1.880,-0.865,-5.899,-3.148
1721770229809,2024-07-23T16:30:29.809,1.900,2.843,-6.612,-3.514
1721770229829,2024-07-23T16:30:29.829,1.920,4.402,-5.297,-3.258
1721770229849,2024-07-23T16:30:29.849,1.940,2.264,-3.552,-3.251
1721770229869,2024-07-23T16:30:29.869,1.960,-1.803,-4.207,-3.849
1721770229889,2024-07-23T16:30:29.889,1.980,-2.965,-3.914,-5.686
1721770229909,2024-07-23T16:30:29.909,2.000,-1.075,-4.314,-7.085
1721770229929,2024-07-23T16:30:29.929,2.020,-0.008,-3.769,-6.479
1721770229949,2024-07-23T16:30:29.949,2.040,-0.053,-1.566,-5.114
1721770229969,2024-07-23T16:30:29.969,2.060,-2.938,1.726,-3.735
1721770229989,2024-07-23T16:30:29.989,2.080,-7.138,0.888,-3.136
1721770230009,2024-07-23T16:30:30.009,2.100,-7.016,-2.553,-3.746
1721770230029,2024-07-23T16:30:30.029,2.120,-4.066,-3.838,-4.162
1721770230049,2024-07-23T16:30:30.049,2.140,-3.159,-2.046,-3.826
1721770230069,2024-07-23T16:30:30.069,2.160,-1.345,1.311,-3.003
1721770230089,2024-07-23T16:30:30.089,2.180,0.869,1.212,-1.704
1721770230109,2024-07-23T16:30:30.109,2.200,-0.011,1.261,-0.850
1721770230129,2024-07-23T16:30:30.129,2.220,-1.726,-0.469,-0.476
1721770230149,2024-07-23T16:30:30.149,2.240,-0.987,-1.368,-0.896
1721770230169,2024-07-23T16:30:30.169,2.260,1.368,-2.523,-1.189
1721770230189,2024-07-23T16:30:30.189,2.280,1.460,-2.237,-1.433
1721770230209,2024-07-23T16:30:30.209,2.300,0.114,-0.004,-1.913
1721770230229,2024-07-23T16:30:30.229,2.320,-2.386,0.488,-2.207
1721770230249,2024-07-23T16:30:30.249,2.340,-6.181,2.622,-1.852
1721770230269,2024-07-23T16:30:30.269,2.360,-8.380,3.624,-1.242
1721770230289,2024-07-23T16:30:30.289,2.380,-5.514,2.652,-0.522
1721770230309,2024-07-23T16:30:30.309,2.400,-2.146,2.950,-0.648
1721770230329,2024-07-23T16:30:30.329,2.420,-1.521,2.550,-0.995
1721770230349,2024-07-23T16:30:30.349,2.440,-2.271,0.655,-0.663
1721770230369,2024-07-23T16:30:30.369,2.460,-2.157,-0.831,0.960
1721770230389,2024-07-23T16:30:30.389,2.480,1.296,-2.397,2.893
1721770230409,2024-07-23T16:30:30.409,2.500,5.099,-1.566,4.238
1721770230429,2024-07-23T16:30:30.429,2.520,7.107,0.766,5.141
1721770230449,2024-07-23T16:30:30.449,2.540,7.096,1.570,5.385
1721770230469,2024-07-23T16:30:30.469,2.560,5.377,1.886,5.526
1721770230489,2024-07-23T16:30:30.489,2.580,4.459,2.950,5.675
1721770230509,2024-07-23T16:30:30.509,2.600,3.296,2.092,5.316
1721770230529,2024-07-23T16:30:30.529,2.620,3.014,0.568,4.345
1721770230549,2024-07-23T16:30:30.549,2.640,5.823,-0.084,2.976
1721770230569,2024-07-23T16:30:30.569,2.660,10.530,-1.399,2.854
1721770230589,2024-07-23T16:30:30.589,2.680,12.119,-2.439,3.887
1721770230609,2024-07-23T16:30:30.609,2.700,11.303,-3.479,4.261
1721770230629,2024-07-23T16:30:30.629,2.720,10.141,-4.543,4.028
1721770230649,2024-07-23T16:30:30.649,2.740,9.451,-4.829,3.902
1721770230669,2024-07-23T16:30:30.669,2.760,10.107,-5.396,3.826
1721770230689,2024-07-23T16:30:30.689,2.780,11.334,-3.769,3.693
1721770230709,2024-07-23T16:30:30.709,2.800,10.084,-1.475,3.670
1721770230729,2024-07-23T16:30:30.729,2.820,8.209,1.414,3.769
1721770230749,2024-07-23T16:30:30.749,2.840,4.508,2.782,3.438
1721770230769,2024-07-23T16:30:30.769,2.860,0.789,2.557,2.755
1721770230789,2024-07-23T16:30:30.789,2.880,0.629,0.987,3.114
1721770230809,2024-07-23T16:30:30.809,2.900,4.242,2.847,3.632
1721770230829,2024-07-23T16:30:30.829,2.920,1.482,5.892,2.599
1721770230849,2024-07-23T16:30:30.849,2.940,-5.015,5.008,1.345
1721770230869,2024-07-23T16:30:30.869,2.960,-3.819,1.963,1.284
1721770230889,2024-07-23T16:30:30.889,2.980,3.910,2.934,0.880
1721770230909,2024-07-23T16:30:30.909,3.000,7.645,1.707,0.027
1721770230929,2024-07-23T16:30:30.929,3.020,1.997,-1.136,-1.048
1721770230949,2024-07-23T16:30:30.949,3.040,-1.940,-2.858,-2.191
1721770230969,2024-07-23T16:30:30.969,3.060,-0.396,-3.838,-2.942
1721770230989,2024-07-23T16:30:30.989,3.080,2.462,-0.724,-2.755
1721770231009,2024-07-23T16:30:31.009,3.100,2.912,1.547,-2.595
1721770231029,2024-07-23T16:30:31.029,3.120,0.892,-1.204,-2.683
1721770231049,2024-07-23T16:30:31.049,3.140,-0.976,-3.399,-2.458
1721770231069,2024-07-23T16:30:31.069,3.160,-1.623,-3.304,-2.630
1721770231089,2024-07-23T16:30:31.089,3.180,-0.957,-2.614,-4.306
1721770231109,2024-07-23T16:30:31.109,3.200,-1.829,-2.527,-5.705
1721770231129,2024-07-23T16:30:31.129,3.220,-3.956,-2.214,-5.682
1721770231149,2024-07-23T16:30:31.149,3.240,-3.255,-0.004,-4.821
1721770231169,2024-07-23T16:30:31.169,3.260,-1.368,0.716,-3.396
1721770231189,2024-07-23T16:30:31.189,3.280,-2.626,0.213,-3.213
1721770231209,2024-07-23T16:30:31.209,3.300,-5.777,-1.486,-4.714
1721770231229,2024-07-23T16:30:31.229,3.320,-7.073,-3.255,-6.845
1721770231249,2024-07-23T16:30:31.249,3.340,-6.620,-2.645,-8.014
1721770231269,2024-07-23T16:30:31.269,3.360,-5.069,-0.480,-7.584
1721770231289,2024-07-23T16:30:31.289,3.380,-4.299,3.659,-6.547
1721770231309,2024-07-23T16:30:31.309,3.400,-6.200,5.804,-5.724
1721770231329,2024-07-23T16:30:31.329,3.420,-7.755,4.078,-5.328
1721770231349,2024-07-23T16:30:31.349,3.440,-4.688,0.705,-4.623
1721770231369,2024-07-23T16:30:31.369,3.460,-0.793,-2.656,-3.674
1721770231389,2024-07-23T16:30:31.389,3.480,2.881,-3.750,-3.075
1721770231409,2024-07-23T16:30:31.409,3.500,5.911,-5.488,-2.565
1721770231429,2024-07-23T16:30:31.429,3.520,8.350,-6.963,-2.073
1721770231449,2024-07-23T16:30:31.449,3.540,10.065,-7.199,-2.035
1721770231469,2024-07-23T16:30:31.469,3.560,10.629,-6.185,-2.527
1721770231489,2024-07-23T16:30:31.489,3.580,9.729,-6.593,-2.226
1721770231509,2024-07-23T16:30:31.509,3.600,7.207,-3.563,-1.273
1721770231529,2024-07-23T16:30:31.529,3.620,5.011,-0.789,0.145
1721770231549,2024-07-23T16:30:31.549,3.640,3.639,1.311,1.292
1721770231569,2024-07-23T16:30:31.569,3.660,1.810,2.611,1.463
1721770231589,2024-07-23T16:30:31.589,3.680,-2.012,4.280,1.025
1721770231609,2024-07-23T16:30:31.609,3.700,-6.913,4.322,0.133
1721770231629,2024-07-23T16:30:31.629,3.720,-5.720,4.257,-0.716
1721770231649,2024-07-23T16:30:31.649,3.740,-0.061,2.149,-0.800
1721770231669,2024-07-23T16:30:31.669,3.760,2.073,1.620,-0.972
1721770231689,2024-07-23T16:30:31.689,3.780,0.591,2.767,-1.886
1721770231709,2024-07-23T16:30:31.709,3.800,-0.149,0.758,-2.744
1721770231729,2024-07-23T16:30:31.729,3.820,0.930,-1.204,-2.854
1721770231749,2024-07-23T16:30:31.749,3.840,4.230,-1.143,-1.688
1721770231769,2024-07-23T16:30:31.769,3.860,7.424,0.644,0.183
1721770231789,2024-07-23T16:30:31.789,3.880,7.382,1.925,1.734
1721770231809,2024-07-23T16:30:31.809,3.900,2.683,3.758,1.486
1721770231829,2024-07-23T16:30:31.829,3.920,-2.313,2.824,0.705
1721770231849,2024-07-23T16:30:31.849,3.940,-2.763,0.549,1.867
1721770231869,2024-07-23T16:30:31.869,3.960,0.164,2.546,3.685
1721770231889,2024-07-23T16:30:31.889,3.980,3.270,4.466,5.050
1721770231909,2024-07-23T16:30:31.909,4.000,2.858,3.277,5.248
1721770231929,2024-07-23T16:30:31.929,4.020,0.758,2.168,4.886
1721770231949,2024-07-23T16:30:31.949,4.040,2.016,-0.282,4.954
1721770231969,2024-07-23T16:30:31.969,4.060,5.537,-1.704,5.000
1721770231989,2024-07-23T16:30:31.989,4.080,5.644,-2.348,4.543
1721770232009,2024-07-23T16:30:32.009,4.100,5.572,-3.518,3.449
1721770232029,2024-07-23T16:30:32.029,4.120,6.768,-4.726,1.650
1721770232049,2024-07-23T16:30:32.049,4.140,7.927,-7.702,-0.069
1721770232069,2024-07-23T16:30:32.069,4.160,6.532,-9.405,-1.338
1721770232089,2024-07-23T16:30:32.089,4.180,5.926,-9.097,-1.837
1721770232109,2024-07-23T16:30:32.109,4.200,10.095,-6.109,-0.743
1721770232129,2024-07-23T16:30:32.129,4.220,10.400,-2.180,0.610
1721770232149,2024-07-23T16:30:32.149,4.240,7.786,-1.833,1.639
1721770232169,2024-07-23T16:30:32.169,4.260,7.908,-4.596,2.561
1721770232189,2024-07-23T16:30:32.189,4.280,11.730,-4.665,2.820
1721770232209,2024-07-23T16:30:32.209,4.300,14.451,-0.434,2.069
1721770232229,2024-07-23T16:30:32.229,4.320,9.821,1.425,0.236
1721770232249,2024-07-23T16:30:32.249,4.340,2.412,-2.428,-1.284
1721770232269,2024-07-23T16:30:32.269,4.360,2.740,-0.499,-2.774
1721770232289,2024-07-23T16:30:32.289,4.380,0.922,2.649,-4.531
1721770232309,2024-07-23T16:30:32.309,4.400,-6.075,1.147,-4.764
1721770232329,2024-07-23T16:30:32.329,4.420,-10.149,0.762,-3.518
1721770232349,2024-07-23T16:30:32.349,4.440,-11.665,4.356,-2.725
1721770232369,2024-07-23T16:30:32.369,4.460,-14.924,7.157,-2.847
1721770232389,2024-07-23T16:30:32.389,4.480,-16.193,4.634,-2.942
1721770232409,2024-07-23T16:30:32.409,4.500,-15.076,3.674,-2.866
1721770232429,2024-07-23T16:30:32.429,4.520,-15.156,1.303,-1.917
1721770232449,2024-07-23T16:30:32.449,4.540,-12.058,3.392,-1.216
1721770232469,2024-07-23T16:30:32.469,4.560,-6.700,2.306,-0.293
1721770232489,2024-07-23T16:30:32.489,4.580,-4.718,-1.254,-0.187
1721770232509,2024-07-23T16:30:32.509,4.600,-5.736,-1.917,-1.806
1721770232529,2024-07-23T16:30:32.529,4.620,-5.724,-3.998,-3.765
1721770232549,2024-07-23T16:30:32.549,4.640,-4.211,-3.030,-5.667
1721770232569,2024-07-23T16:30:32.569,4.660,-3.632,-0.869,-7.496
1721770232589,2024-07-23T16:30:32.589,4.680,-4.863,1.532,-8.754
1721770232609,2024-07-23T16:30:32.609,4.700,-6.086,3.327,-9.051
1721770232629,2024-07-23T16:30:32.629,4.720,-4.268,1.437,-8.266
1721770232649,2024-07-23T16:30:32.649,4.740,-0.305,1.128,-7.073
1721770232669,2024-07-23T16:30:32.669,4.760,0.488,-1.273,-5.671
1721770232689,2024-07-23T16:30:32.689,4.780,-1.079,-0.938,-6.090
1721770232709,2024-07-23T16:30:32.709,4.800,-2.866,-1.684,-7.527
1721770232729,2024-07-23T16:30:32.729,4.820,-4.112,0.408,-7.530
1721770232749,2024-07-23T16:30:32.749,4.840,-4.310,2.809,-6.448
1721770232769,2024-07-23T16:30:32.769,4.860,-2.736,3.296,-5.796
1721770232789,2024-07-23T16:30:32.789,4.880,-1.898,2.740,-5.293
1721770232809,2024-07-23T16:30:32.809,4.900,-3.464,2.081,-5.053
1721770232829,2024-07-23T16:30:32.829,4.920,-1.322,1.006,-4.455
1721770232849,2024-07-23T16:30:32.849,4.940,4.486,-1.006,-3.114
1721770232869,2024-07-23T16:30:32.869,4.960,4.505,-0.324,-2.252
1721770232889,2024-07-23T16:30:32.889,4.980,1.364,1.936,-2.420
1721770232909,2024-07-23T16:30:32.909,5.000,0.156,0.118,-2.500
1721770232929,2024-07-23T16:30:32.929,5.020,0.114,-1.814,-2.039
1721770232949,2024-07-23T16:30:32.949,5.040,1.498,-1.986,-2.008
1721770232969,2024-07-23T16:30:32.969,5.060,3.662,-1.372,-1.604
1721770232989,2024-07-23T16:30:32.989,5.080,3.742,0.968,-0.320
1721770233009,2024-07-23T16:30:33.009,5.100,-0.061,2.027,0.812
1721770233029,2024-07-23T16:30:33.029,5.120,-1.989,1.543,0.469
1721770233049,2024-07-23T16:30:33.049,5.140,-0.514,0.099,-0.511
1721770233069,2024-07-23T16:30:33.069,5.160,1.639,0.244,-0.518
1721770233089,2024-07-23T16:30:33.089,5.180,3.796,2.557,1.250
1721770233109,2024-07-23T16:30:33.109,5.200,5.065,6.002,3.399
1721770233129,2024-07-23T16:30:33.129,5.220,3.426,6.833,4.703
1721770233149,2024-07-23T16:30:33.149,5.240,1.490,4.249,5.579
1721770233169,2024-07-23T16:30:33.169,5.260,3.056,0.998,6.261
1721770233189,2024-07-23T16:30:33.189,5.280,6.986,-1.806,6.814
1721770233209,2024-07-23T16:30:33.209,5.300,8.937,-1.361,6.860
1721770233229,2024-07-23T16:30:33.229,5.320,8.296,1.341,6.570
1721770233249,2024-07-23T16:30:33.249,5.340,4.756,2.203,6.322
1721770233269,2024-07-23T16:30:33.269,5.360,2.557,2.485,6.258
1721770233289,2024-07-23T16:30:33.289,5.380,5.076,-0.297,6.071
1721770233309,2024-07-23T16:30:33.309,5.400,8.388,-2.409,4.928
1721770233329,2024-07-23T16:30:33.329,5.420,8.460,-3.727,3.464
1721770233349,2024-07-23T16:30:33.349,5.440,7.725,-2.363,2.306
1721770233369,2024-07-23T16:30:33.369,5.460,9.101,-2.843,1.940
1721770233389,2024-07-23T16:30:33.389,5.480,11.502,-4.211,1.970
1721770233409,2024-07-23T16:30:33.409,5.500,11.475,-4.604,1.894
1721770233429,2024-07-23T16:30:33.429,5.520,8.822,-4.173,1.151
1721770233449,2024-07-23T16:30:33.449,5.540,7.584,-2.881,0.404
1721770233469,2024-07-23T16:30:33.469,5.560,6.875,-1.029,0.690
1721770233489,2024-07-23T16:30:33.489,5.580,5.564,1.989,2.675
1721770233509,2024-07-23T16:30:33.509,5.600,6.341,2.214,5.591
1721770233529,2024-07-23T16:30:33.529,5.620,4.703,-0.964,6.452
1721770233549,2024-07-23T16:30:33.549,5.640,1.387,-3.819,4.733
1721770233569,2024-07-23T16:30:33.569,5.660,3.407,-3.933,2.279
1721770233589,2024-07-23T16:30:33.589,5.680,9.501,-5.183,1.273
1721770233609,2024-07-23T16:30:33.609,5.700,11.448,-4.600,-0.061
1721770233629,2024-07-23T16:30:33.629,5.720,8.155,-7.081,-2.306
1721770233649,2024-07-23T16:30:33.649,5.740,9.859,-6.684,-3.136
1721770233669,2024-07-23T16:30:33.669,5.760,15.495,-1.951,-2.309
1721770233689,2024-07-23T16:30:33.689,5.780,9.695,-2.946,-1.864
1721770233709,2024-07-23T16:30:33.709,5.800,-2.904,-3.586,-3.266
1721770233729,2024-07-23T16:30:33.729,5.820,-10.846,-1.368,-4.489
1721770233749,2024-07-23T16:30:33.749,5.840,-10.526,-0.141,-4.558
1721770233769,2024-07-23T16:30:33.769,5.860,-6.524,2.950,-4.329
1721770233789,2024-07-23T16:30:33.789,5.880,-5.865,4.398,-3.445
1721770233809,2024-07-23T16:30:33.809,5.900,-10.111,6.524,-2.866
1721770233829,2024-07-23T16:30:33.829,5.920,-12.397,7.191,-3.087
1721770233849,2024-07-23T16:30:33.849,5.940,-10.171,3.800,-3.666
1721770233869,2024-07-23T16:30:33.869,5.960,-4.253,-0.396,-3.552
1721770233889,2024-07-23T16:30:33.889,5.980,0.998,-1.986,-2.557
1721770233909,2024-07-23T16:30:33.909,6.000,3.205,-0.808,-0.796
1721770233929,2024-07-23T16:30:33.929,6.020,1.768,1.822,-0.636
1721770233949,2024-07-23T16:30:33.949,6.040,-2.458,1.414,-2.168
1721770233969,2024-07-23T16:30:33.969,6.060,-2.729,-1.109,-3.422
1721770233989,2024-07-23T16:30:33.989,6.080,-0.716,-2.229,-3.704
1721770234009,2024-07-23T16:30:34.009,6.100,1.555,-0.366,-3.563
1721770234029,2024-07-23T16:30:34.029,6.120,2.820,1.620,-2.793
1721770234049,2024-07-23T16:30:34.049,6.140,1.601,0.507,-2.386
1721770234069,2024-07-23T16:30:34.069,6.160,0.457,-2.919,-2.805
1721770234089,2024-07-23T16:30:34.089,6.180,-1.894,-4.055,-3.784
1721770234109,2024-07-23T16:30:34.109,6.200,-2.534,-4.394,-3.967
1721770234129,2024-07-23T16:30:34.129,6.220,-1.159,-4.196,-3.967
1721770234149,2024-07-23T16:30:34.149,6.240,-1.723,-0.236,-4.348
1721770234169,2024-07-23T16:30:34.169,6.260,-3.342,2.431,-4.055
1721770234189,2024-07-23T16:30:34.189,6.280,-2.995,1.867,-3.685
1721770234209,2024-07-23T16:30:34.209,6.300,-0.800,-0.305,-3.815
1721770234229,2024-07-23T16:30:34.229,6.320,1.376,-3.639,-3.975
1721770234249,2024-07-23T16:30:34.249,6.340,2.088,-4.909,-3.495
1721770234269,2024-07-23T16:30:34.269,6.360,1.749,-2.409,-2.858
1721770234289,2024-07-23T16:30:34.289,6.380,1.837,-1.543,-1.959
1721770234309,2024-07-23T16:30:34.309,6.400,-0.732,-0.808,-1.399
1721770234329,2024-07-23T16:30:34.329,6.420,-2.336,-1.448,-1.734
1721770234349,2024-07-23T16:30:34.349,6.440,-0.271,-4.082,-2.123
1721770234369,2024-07-23T16:30:34.369,6.460,2.401,-3.289,-1.555
1721770234389,2024-07-23T16:30:34.389,6.480,3.883,-0.290,-0.560
1721770234409,2024-07-23T16:30:34.409,6.500,4.939,1.719,0.728
1721770234429,2024-07-23T16:30:34.429,6.520,4.242,2.001,1.448
1721770234449,2024-07-23T16:30:34.449,6.540,2.165,2.066,1.395
1721770234469,2024-07-23T16:30:34.469,6.560,0.408,1.071,1.582
1721770234489,2024-07-23T16:30:34.489,6.580,0.915,-0.107,2.329
1721770234509,2024-07-23T16:30:34.509,6.600,4.196,1.010,4.036
1721770234529,2024-07-23T16:30:34.529,6.620,6.810,3.350,6.463
1721770234549,2024-07-23T16:30:34.549,6.640,5.339,5.255,8.236
1721770234569,2024-07-23T16:30:34.569,6.660,1.300,5.777,7.759
1721770234589,2024-07-23T16:30:34.589,6.680,-1.936,4.703,6.433
1721770234609,2024-07-23T16:30:34.609,6.700,-2.222,3.811,6.136
1721770234629,2024-07-23T16:30:34.629,6.720,0.259,4.878,6.665
1721770234649,2024-07-23T16:30:34.649,6.740,1.837,7.386,7.115
1721770234669,2024-07-23T16:30:34.669,6.760,1.029,8.026,7.782
