epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1721766769975,2024-07-23T15:32:49.975,0.000,26.098,16.761,-81.639
1721766769995,2024-07-23T15:32:49.995,0.020,24.798,16.380,-79.676
1721766770015,2024-07-23T15:32:50.015,0.040,19.207,9.009,-65.149
1721766770035,2024-07-23T15:32:50.035,0.060,12.245,-4.177,-45.690
1721766770055,2024-07-23T15:32:50.055,0.080,8.559,-12.934,-29.249
1721766770075,2024-07-23T15:32:50.075,0.100,7.180,-14.455,-18.979
1721766770095,2024-07-23T15:32:50.095,0.120,6.551,-15.271,-15.194
1721766770115,2024-07-23T15:32:50.115,0.140,4.333,-11.037,-8.277
1721766770135,2024-07-23T15:32:50.135,0.160,-0.324,-3.632,9.303
1721766770155,2024-07-23T15:32:50.155,0.180,-4.672,2.348,29.489
1721766770175,2024-07-23T15:32:50.175,0.200,-15.011,19.413,52.725
1721766770195,2024-07-23T15:32:50.195,0.220,-13.910,26.303,34.421
1721766770215,2024-07-23T15:32:50.215,0.240,-0.941,23.963,26.227
1721766770235,2024-07-23T15:32:50.235,0.260,2.107,11.364,21.376
1721766770255,2024-07-23T15:32:50.255,0.280,5.240,-9.375,10.796
1721766770275,2024-07-23T15:32:50.275,0.300,0.282,-23.876,-1.532
1721766770295,2024-07-23T15:32:50.295,0.320,-9.836,-25.964,-5.126
1721766770315,2024-07-23T15:32:50.315,0.340,-13.117,-28.876,5.065
1721766770335,2024-07-23T15:32:50.335,0.360,-7.443,-28.807,22.832
1721766770355,2024-07-23T15:32:50.355,0.380,-2.607,-25.408,32.386
1721766770375,2024-07-23T15:32:50.375,0.400,3.845,-29.177,27.626
1721766770395,2024-07-23T15:32:50.395,0.420,11.033,-37.317,21.871
1721766770415,2024-07-23T15:32:50.415,0.440,7.283,-34.520,11.696
1721766770435,2024-07-23T15:32:50.435,0.460,5.221,-32.607,4.341
1721766770455,2024-07-23T15:32:50.455,0.480,5.621,-34.184,3.220
1721766770475,2024-07-23T15:32:50.475,0.500,1.978,-32.732,10.503
1721766770495,2024-07-23T15:32:50.495,0.520,-0.465,-21.772,25.503
1721766770515,2024-07-23T15:32:50.515,0.540,2.919,2.115,38.087
1721766770535,2024-07-23T15:32:50.535,0.560,11.543,33.544,48.114
1721766770555,2024-07-23T15:32:50.555,0.580,13.521,75.179,51.505
1721766770575,2024-07-23T15:32:50.575,0.600,13.453,92.207,48.674
1721766770595,2024-07-23T15:32:50.595,0.620,10.274,79.931,44.215
