"DataCollection__collect_uuid","DataCollection__label","DataCollection__p_accelerometer_time","DataCollection__p_accelerometer_x","DataCollection__p_accelerometer_y","DataCollection__p_accelerometer_z","DataCollection__p_gyroscope_time","DataCollection__p_gyroscope_x","DataCollection__p_gyroscope_y","DataCollection__p_gyroscope_z","DataCollection__participant_uuid","DataCollection__w_accelerometer_time","DataCollection__w_accelerometer_x","DataCollection__w_accelerometer_y","DataCollection__w_accelerometer_z","DataCollection__w_gyroscope_time","DataCollection__w_gyroscope_x","DataCollection__w_gyroscope_y","DataCollection__w_gyroscope_z"
"c40099a6-abf0-444f-a2b4-9a866cd91900","aefbTUG","2023-03-27 15:00:16.861","1.7914747","-8.420889","-2.1650977","2023-03-27 15:00:16.864","0.604648","0.4996353","0.4421303","aefbe9f3-5fd1-49b9-bedc-71b1d1bc5d06","2023-03-27 15:00:16.848","-8.520842","1.6582261","4.321438","2023-03-27 15:00:17.095","0.2942878","0.20392556","-0.28940335"
"","","2023-03-27 15:00:16.879","1.6717237","-8.598121","-2.4572902","2023-03-27 15:00:16.88","0.54765636","0.27699503","0.5065788","","2023-03-27 15:00:17.095","-8.432307","1.6438692","4.2424746","2023-03-27 15:00:17.095","0.39808223","0.22224224","-0.29306668"
"","","2023-03-27 15:00:16.899","1.7866846","-8.986114","-2.6297317","2023-03-27 15:00:16.899","0.48427308","0.22213392","0.5113725","","2023-03-27 15:00:17.095","-8.353344","1.5984055","4.197011","2023-03-27 15:00:17.095","0.5250778","0.23445335","-0.2820767"
"","","2023-03-27 15:00:16.919","2.2417383","-9.637559","-2.7734327","2023-03-27 15:00:16.919","0.4315425","0.3473025","0.43627134","","2023-03-27 15:00:17.095","-8.279166","1.5146568","4.156333","2023-03-27 15:00:17.095","0.6325356","0.23445335","-0.2735289"
"","","2023-03-27 15:00:16.938","2.955454","-10.423125","-2.8836036","2023-03-27 15:00:16.939","0.41130245","0.6759366","0.28393853","","2023-03-27 15:00:17.095","-8.240881","1.3854443","4.15394","2023-03-27 15:00:17.096","0.66306335","0.20148334","-0.27475002"
"","","2023-03-27 15:00:16.958","3.410508","-11.223062","-3.1278956","2023-03-27 15:00:16.958","0.43953195","1.3028446","0.081005655","","2023-03-27 15:00:17.095","-8.226524","1.2993027","4.180261","2023-03-27 15:00:17.096","0.63742","0.17584","-0.29062447"
"","","2023-03-27 15:00:16.977","3.3721876","-11.4625635","-3.2380664","2023-03-27 15:00:16.977","0.37135503","2.0682373","-0.09050193","","2023-03-27 15:00:17.095","-8.195417","1.253839","4.1874394","2023-03-27 15:00:17.096","0.6191034","0.15752333","-0.30649891"
"","","2023-03-27 15:00:16.998","3.6116896","-10.528506","-2.5962012","2023-03-27 15:00:16.998","0.10770209","2.4330902","-0.17465782","","2023-03-27 15:00:17.095","-8.190632","1.2514462","4.249653","2023-03-27 15:00:17.096","0.6459678","0.12821667","-0.32725778"
"","","2023-03-27 15:00:17.022","3.9278321","-8.899893","-2.2129982","2023-03-27 15:00:17.022","-0.27632576","2.1731658","-0.2588137","","2023-03-27 15:00:17.095","-8.226524","1.2873386","4.3070807","2023-03-27 15:00:17.096","0.6972545","0.09280445","-0.34435335"
"","","2023-03-27 15:00:17.036","3.7074904","-7.999366","-2.0166066","2023-03-27 15:00:17.037","-0.74131364","1.7939316","-0.40368968","","2023-03-27 15:00:17.096","-8.305488","1.3663018","4.2568316","2023-03-27 15:00:17.097","0.46768558","-0.028085556","-0.59468114"
"","","2023-03-27 15:00:17.057","2.4956105","-8.392149","-1.695674","2023-03-27 15:00:17.057","-1.2808701","1.5403986","-0.4995635","","2023-03-27 15:00:17.096","-8.427522","1.4380864","4.211368","2023-03-27 15:00:17.109","0.5458367","0.025643334","-0.6325356"
"","","2023-03-27 15:00:17.078","1.3268409","-8.995694","-1.0681788","2023-03-27 15:00:17.079","-1.7586412","1.5553124","-0.3680033","","2023-03-27 15:00:17.096","-8.465807","1.5050855","4.2424746","2023-03-27 15:00:17.11","0.6838223","0.07204556","-0.66428447"
"","","2023-03-27 15:00:17.096","0.21555176","-9.632769","0.043110352","2023-03-27 15:00:17.096","-1.9642372","2.0197678","-0.10967669","","2023-03-27 15:00:17.096","-8.484949","1.5433706","4.254439","2023-03-27 15:00:17.155","0.85966223","0.07326667","-0.65329444"
"","","2023-03-27 15:00:17.115","-0.2203418","-10.221944","2.687212","2023-03-27 15:00:17.115","-1.6808769","3.4072747","0.12840992","","2023-03-27 15:00:17.096","-8.449057","1.5936198","4.3501515","2023-03-27 15:00:17.156","0.9536878","0.034191113","-0.6191034"
"","","2023-03-27 15:00:17.134","0.6706055","-9.982442","4.296665","2023-03-27 15:00:17.134","-0.8515685","5.20118","0.24079531","","2023-03-27 15:00:17.096","-8.4705925","1.6199409","4.4051867","2023-03-27 15:00:17.156","0.9268234","-0.0061055557","-0.58124894"
"","","2023-03-27 15:00:17.154","1.5328126","-9.302257","5.144502","2023-03-27 15:00:17.155","-0.3168058","4.8555017","0.24452375","","2023-03-27 15:00:17.096","-8.537591","1.5984055","4.4745784","2023-03-27 15:00:17.252","0.8315767","-0.03297","-0.54461557"
"","","2023-03-27 15:00:17.179","2.203418","-9.441168","5.0822315","2023-03-27 15:00:17.179","-0.11600345","2.879436","0.29246065","","2023-03-27 15:00:17.096","-8.626125","1.564906","4.5152564","2023-03-27 15:00:17.298","0.72778225","-0.054950003","-0.5128667"
