"DataCollection__collect_uuid","DataCollection__label","DataCollection__p_accelerometer_time","DataCollection__p_accelerometer_x","DataCollection__p_accelerometer_y","DataCollection__p_accelerometer_z","DataCollection__p_gyroscope_time","DataCollection__p_gyroscope_x","DataCollection__p_gyroscope_y","DataCollection__p_gyroscope_z","DataCollection__participant_uuid","DataCollection__w_accelerometer_time","DataCollection__w_accelerometer_x","DataCollection__w_accelerometer_y","DataCollection__w_accelerometer_z","DataCollection__w_gyroscope_time","DataCollection__w_gyroscope_x","DataCollection__w_gyroscope_y","DataCollection__w_gyroscope_z"
"98ca1cd2-a327-4858-9e49-d9d56e4476aa","aefblegfront","2023-03-27 15:14:33.797","0.9915381","-8.722662","2.3519094","2023-03-27 15:14:33.8","-0.011074896","-0.020746375","0.016024519","aefbe9f3-5fd1-49b9-bedc-71b1d1bc5d06","2023-03-27 15:14:34.036","5.1924253","-1.6199409","7.905886","2023-03-27 15:14:33.791","0.036633335","0.0036633336","-0.008547778"
"","","2023-03-27 15:14:33.805","0.97237796","-8.737032","2.3902297","2023-03-27 15:14:33.807","-0.00734647","-0.013822155","0.009632932","","2023-03-27 15:14:34.036","5.2283173","-1.591227","7.8580294","2023-03-27 15:14:34.036","0.04151778","0.0048844446","0"
"","","2023-03-27 15:14:33.827","0.9148975","-8.737032","2.4333398","2023-03-27 15:14:33.828","-0.00042225095","-0.0026368785","0.002708713","","2023-03-27 15:14:34.037","5.2307105","-1.6295122","7.82453","2023-03-27 15:14:34.036","0.03297","0","0.0061055557"
"","","2023-03-27 15:14:33.847","0.8909473","-8.722662","2.42855","2023-03-27 15:14:33.847","0.006501968","0.0021568115","0.000045551802","","2023-03-27 15:14:34.037","5.2019963","-1.5433706","7.776674","2023-03-27 15:14:34.037","0.03052778","-0.0012211112","0.0036633336"
"","","2023-03-27 15:14:33.861","0.8669971","-8.727451","2.4189699","2023-03-27 15:14:33.862","0.0059693353","-0.004234775","0.004839242","","2023-03-27 15:14:34.037","5.2139606","-1.5577276","7.8317084","2023-03-27 15:14:34.037","0.02075889","-0.0012211112","0.0036633336"
"","","2023-03-27 15:14:33.882","0.91010743","-8.732242","2.3950195","2023-03-27 15:14:33.882","-0.0009548832","-0.0148874195","0.009100299","","2023-03-27 15:14:34.037","5.2666025","-1.6151553","7.8891363","2023-03-27 15:14:34.037","-0.0012211112","-0.0061055557","0.017095556"
"","","2023-03-27 15:14:33.901","0.96758795","-8.737032","2.3710694","2023-03-27 15:14:33.902","-0.010542263","-0.019148478","0.005371874","","2023-03-27 15:14:34.037","5.278567","-1.7300107","7.8987074","2023-03-27 15:14:34.037","-0.024422223","-0.0036633336","0.023201112"
"","","2023-03-27 15:14:33.921","1.0250684","-8.751402","2.3566992","2023-03-27 15:14:33.921","-0.016933851","-0.003702143","-0.0058134026","","2023-03-27 15:14:34.037","5.2570314","-1.6079768","7.810173","2023-03-27 15:14:34.037","-0.024422223","-0.0048844446","0.018316668"
"","","2023-03-27 15:14:33.941","1.0298585","-8.770562","2.4045997","2023-03-27 15:14:33.941","-0.015868586","0.024527365","-0.020194473","","2023-03-27 15:14:34.047","5.2737813","-1.5481563","7.7072816","2023-03-27 15:14:34.037","-0.01099","0.0024422223","0.008547778"
"","","2023-03-27 15:14:33.959","0.9627979","-8.717872","2.4141798","2023-03-27 15:14:33.959","-0.005215941","0.043169495","-0.02445553","","2023-03-27 15:14:34.048","5.2307105","-1.5553347","7.7790666","2023-03-27 15:14:34.037","0.034191113","0.0048844446","-0.0036633336"
