"DataCollection__collect_uuid","DataCollection__label","DataCollection__p_accelerometer_time","DataCollection__p_accelerometer_x","DataCollection__p_accelerometer_y","DataCollection__p_accelerometer_z","DataCollection__p_gyroscope_time","DataCollection__p_gyroscope_x","DataCollection__p_gyroscope_y","DataCollection__p_gyroscope_z","DataCollection__participant_uuid","DataCollection__w_accelerometer_time","DataCollection__w_accelerometer_x","DataCollection__w_accelerometer_y","DataCollection__w_accelerometer_z","DataCollection__w_gyroscope_time","DataCollection__w_gyroscope_x","DataCollection__w_gyroscope_y","DataCollection__w_gyroscope_z"
"3ff23179-b88d-4e62-89c5-9a7e6c9b94b5","aefbsweep1","2023-03-27 15:25:23.018","-2.5291407","-8.329878","2.2608986","2023-03-27 15:25:23.361","0.041554075","-0.0046833092","0.015372745","aefbe9f3-5fd1-49b9-bedc-71b1d1bc5d06","2023-03-27 15:25:23.041","-5.9700923","-2.158326","6.5778694","2023-03-27 15:25:23.04","0.14409111","-0.13310112","0.41151446"
"","","2023-03-27 15:25:23.362","-2.572251","-8.464","2.208208","2023-03-27 15:25:23.362","0.026107742","-0.0062812055","0.04573278","","2023-03-27 15:25:23.084","-6.218946","-1.8520447","6.7764735","2023-03-27 15:25:23.042","0.22590557","-0.047623336","0.39930335"
"","","2023-03-27 15:25:23.362","-2.548301","-8.406519","2.2704787","2023-03-27 15:25:23.362","0.0053350837","0.02141567","0.043602254","","2023-03-27 15:25:23.128","-6.6329045","-1.7706888","6.855437","2023-03-27 15:25:23.083","0.16362889","0.024422223","0.40907225"
"","","2023-03-27 15:25:23.362","-2.6488917","-8.238868","2.3998096","2023-03-27 15:25:23.362","0.0053350837","0.032600947","0.022296965","","2023-03-27 15:25:23.129","-6.71426","-1.8951155","6.687939","2023-03-27 15:25:23.084","0.01099","0.070824444","0.42983112"
"","","2023-03-27 15:25:23.362","-2.668052","-8.190968","2.42376","2023-03-27 15:25:23.362","0.023977213","0.0038388066","0.016970642","","2023-03-27 15:25:23.173","-6.472585","-1.7635103","6.5539412","2023-03-27 15:25:23.129","-0.081814446","0.08669889","0.43960002"
"","","2023-03-27 15:25:23.362","-2.6441016","-8.210127","2.3423293","2023-03-27 15:25:23.362","0.037825648","-0.045163356","0.023362229","","2023-03-27 15:25:23.219","-6.204589","-1.7156538","6.5635123","2023-03-27 15:25:23.129","-0.058613338","0.10013112","0.4493689"
"","","2023-03-27 15:25:23.362","-2.6441016","-8.272398","2.2848487","2023-03-27 15:25:23.362","0.038890913","-0.069131814","0.03827593","","2023-03-27 15:25:23.22","-6.6687965","-1.9118652","6.800402","2023-03-27 15:25:23.129","0.0024422223","0.11844778","0.46646446"
"","","2023-03-27 15:25:23.362","-2.572251","-8.258028","2.299219","2023-03-27 15:25:23.362","0.036760382","-0.041967563","0.06437491","","2023-03-27 15:25:23.266","-7.085148","-2.158326","7.058827","2023-03-27 15:25:23.173","0.039075557","0.14653334","0.49577114"
"","","2023-03-27 15:25:23.362","-2.5387208","-8.258028","2.3566992","2023-03-27 15:25:23.362","0.044749867","-0.00734647","0.07928861","","2023-03-27 15:25:23.266","-6.896115","-2.4454648","6.8171515","2023-03-27 15:25:23.173","0.014653334","0.18316667","0.50798225"
"","","2023-03-27 15:25:23.362","-2.6009912","-8.286768","2.3758595","2023-03-27 15:25:23.362","0.05486988","0.00224091","0.07928861","","2023-03-27 15:25:23.309","-6.664011","-2.4717858","6.927222","2023-03-27 15:25:23.22","-0.04029667","0.20636779","0.5104245"
"","","2023-03-27 15:25:23.362","-2.5578809","-8.377779","2.3566992","2023-03-27 15:25:23.363","0.05007619","-0.00255278","0.075027555","","2023-03-27 15:25:23.359","-7.4153576","-2.1798615","7.678568","2023-03-27 15:25:23.22","-0.12821667","0.18316667","0.4689067"
"","","2023-03-27 15:25:23.363","-2.4716604","-8.468789","2.2944288","2023-03-27 15:25:23.363","0.03303196","-0.019597013","0.056385428","","2023-03-27 15:25:23.36","-7.9776707","-2.1678972","7.745567","2023-03-27 15:25:23.265","-0.25765446","0.11112112","0.37488112"
"","","2023-03-27 15:25:23.363","-2.3614893","-8.468789","2.2848487","2023-03-27 15:25:23.363","0.006932981","-0.048891783","0.041471723","","2023-03-27 15:25:23.399","-7.920243","-3.2973096","7.8293157","2023-03-27 15:25:23.266","-0.32359445","0.07570889","0.29062447"
"","","2023-03-27 15:25:23.363","-2.304009","-8.349038","2.3471193","2023-03-27 15:25:23.363","-0.021296527","-0.08777394","0.02602539","","2023-03-27 15:25:23.449","-8.590233","-5.0823555","8.793623","2023-03-27 15:25:23.309","-0.21980001","0.06227667","0.17095557"
"","","2023-03-27 15:25:23.363","-2.567461","-8.205338","2.3902297","2023-03-27 15:25:23.363","-0.023427056","-0.11653608","-0.003802015","","2023-03-27 15:25:23.45","-8.338987","-5.278567","8.382058","2023-03-27 15:25:23.309","-0.035412222","0.068382226","0.07448778"
"","","2023-03-27 15:25:23.363","-2.8931837","-8.171807","2.4093897","2023-03-27 15:25:23.363","-0.0026543997","-0.10748133","-0.0053999117","","2023-03-27 15:25:23.492","-8.054241","-3.6873398","6.8099732","2023-03-27 15:25:23.31","-0.017095556","0.023201112","-0.057392225"
"","","2023-03-27 15:25:23.363","-2.9937747","-8.291558","2.3566992","2023-03-27 15:25:23.363","0.020781418","-0.08031709","0.021764332","","2023-03-27 15:25:23.536","-5.9964137","-3.034099","6.178268","2023-03-27 15:25:23.36","-0.29673","-0.14164889","-0.22590557"
"","","2023-03-27 15:25:23.363","-3.3290772","-8.344249","2.083667","2023-03-27 15:25:23.363","0.011194039","-0.08031709","0.06384228","","2023-03-27 15:25:23.539","-5.1589255","-3.495914","6.503692","2023-03-27 15:25:23.36","-0.66428447","-0.32970002","-0.35778558"
"","","2023-03-27 15:25:23.371","-3.4440382","-8.334668","2.059717","2023-03-27 15:25:23.372","-0.045264978","-0.086176045","0.15172659","","2023-03-27 15:25:23.584","-3.35713","-3.0436704","5.977271","2023-03-27 15:25:23.398","-0.72534","-0.42372558","-0.3858711"
"","","2023-03-27 15:25:23.394","-3.410508","-8.377779","2.3135889","2023-03-27 15:25:23.394","-0.06923343","-0.017466484","0.2129793","","2023-03-27 15:25:23.625","-3.0269206","-3.306881","6.0418773","2023-03-27 15:25:23.4","-0.28085557","-0.58247","-0.5104245"
"","","2023-03-27 15:25:23.413","-3.290757","-8.842413","2.4908204","2023-03-27 15:25:23.413","-0.030883906","0.0997126","0.19859822","","2023-03-27 15:25:23.63","-2.4909284","-2.361716","5.771488","2023-03-27 15:25:23.448","0.3614489","-0.8413456","-0.77906895"
"","","2023-03-27 15:25:23.433","-2.692002","-9.527389","2.7207422","2023-03-27 15:25:23.434","-0.001056503","0.16096531","0.13894342","","2023-03-27 15:25:23.67","-1.8831514","-1.8017955","6.518049","2023-03-27 15:25:23.449","0.7424356","-1.1234223","-1.0623667"
"","","2023-03-27 15:25:23.45","-1.7866846","-9.910591","3.5733693","2023-03-27 15:25:23.451","0.023977213","0.27920967","0.07183176","","2023-03-27 15:25:23.714","-2.3138595","-2.8905299","7.2693954","2023-03-27 15:25:23.45","0.7986067","-1.3786345","-1.3871822"
"","","2023-03-27 15:25:23.473","-0.44547364","-9.541759","4.8906302","2023-03-27 15:25:23.474","0.17790793","0.50184995","0.0073832623","","2023-03-27 15:25:23.717","-2.4526432","-3.711268","7.7144604","2023-03-27 15:25:23.491","0.62765115","-1.5483689","-1.5227256"
"","","2023-03-27 15:25:23.492","0.17723145","-8.59333","4.181704","2023-03-27 15:25:23.492","0.4719209","0.38680136","-0.14122114","","2023-03-27 15:25:23.761","-2.8761728","-3.8811584","8.020741","2023-03-27 15:25:23.492","0.018316668","-1.5544745","-1.6033189"
"","","2023-03-27 15:25:23.514","-0.71371585","-8.143066","1.8681153","2023-03-27 15:25:23.514","0.5491526","-0.15168981","-0.31166345","","2023-03-27 15:25:23.804","-2.9718857","-3.7471602","8.1020975","2023-03-27 15:25:23.538","-0.41029334","-1.4189311","-1.6631534"
"","","2023-03-27 15:25:23.534","-1.8058448","-8.387359","0.53169435","2023-03-27 15:25:23.535","0.2551396","-0.5112165","-0.32604453","","2023-03-27 15:25:23.808","-3.5413775","-4.1036906","8.066205","2023-03-27 15:25:23.539","-0.18805112","-1.2479756","-1.5630223"
"","","2023-03-27 15:25:23.55","-2.926714","-7.7550735","0.7376661","2023-03-27 15:25:23.55","-0.15125878","-0.396168","-0.18862541","","2023-03-27 15:25:23.849","-3.8835511","-3.7136607","7.688139","2023-03-27 15:25:23.582","0.18927222","-1.0391656","-1.4543434"
"","","2023-03-27 15:25:23.571","-3.4775686","-6.480923","1.5663428","2023-03-27 15:25:23.572","-0.3328864","0.103973664","-0.008595705","","2023-03-27 15:25:23.898","-4.065406","-3.7088752","7.1425757","2023-03-27 15:25:23.586","0.34801668","-0.7448778","-1.4335845"
"","","2023-03-27 15:25:23.589","-3.9613624","-5.7815776","2.3950195","2023-03-27 15:25:23.59","-0.2721663","0.588669","0.10751812","","2023-03-27 15:25:23.901","-4.6085763","-3.938586","7.245467","2023-03-27 15:25:23.587","0.38953447","-0.4713489","-1.4311423"
"","","2023-03-27 15:25:23.612","-4.258345","-5.5420756","3.3578174","2023-03-27 15:25:23.613","-0.07722291","0.9359452","0.17729294","","2023-03-27 15:25:23.945","-4.8191447","-3.1776686","7.3579297","2023-03-27 15:25:23.626","0.31260446","-0.2759711","-1.3200212"
"","","2023-03-27 15:25:23.632","-3.5925295","-5.9013286","3.923042","2023-03-27 15:25:23.633","0.2088006","1.0904086","0.17249924","","2023-03-27 15:25:23.984","-4.723432","-2.1367905","7.1473613","2023-03-27 15:25:23.63","0.026864445","-0.07693","-1.1478444"
"","","2023-03-27 15:25:23.651","-2.1555176","-6.9886675","3.9517825","2023-03-27 15:25:23.652","0.39841765","0.76816607","-0.02191151","","2023-03-27 15:25:23.987","-4.922036","-1.524228","6.652047","2023-03-27 15:25:23.67","-0.23445335","0.11356334","-0.9915423"
"","","2023-03-27 15:25:23.674","-1.5088624","-8.210127","3.3434474","2023-03-27 15:25:23.675","0.28603226","0.04059043","-0.22857282","","2023-03-27 15:25:24.03","-5.0775695","-1.1413764","6.108876","2023-03-27 15:25:23.673","-0.24788557","0.21125223","-0.89385337"
"","","2023-03-27 15:25:23.69","-1.6813037","-9.201666","1.6813037","2023-03-27 15:25:23.691","-0.18374935","-0.6497009","-0.14494956","","2023-03-27 15:25:24.078","-5.721239","-1.4739788","6.195018","2023-03-27 15:25:23.716","-0.102573335","0.29184556","-0.8718734"
