"DataCollection__collect_uuid","DataCollection__label","DataCollection__p_accelerometer_time","DataCollection__p_accelerometer_x","DataCollection__p_accelerometer_y","DataCollection__p_accelerometer_z","DataCollection__p_gyroscope_time","DataCollection__p_gyroscope_x","DataCollection__p_gyroscope_y","DataCollection__p_gyroscope_z","DataCollection__participant_uuid","DataCollection__w_accelerometer_time","DataCollection__w_accelerometer_x","DataCollection__w_accelerometer_y","DataCollection__w_accelerometer_z","DataCollection__w_gyroscope_time","DataCollection__w_gyroscope_x","DataCollection__w_gyroscope_y","DataCollection__w_gyroscope_z"
"1bb8292d-08da-4114-b97d-9b76c6012b09","aefbwalkst","2023-03-27 14:51:04.547","3.3099172","-8.5119","1.0490186","2023-03-27 14:50:51.315","-0.26151368","-0.76634735","-0.5060742","aefbe9f3-5fd1-49b9-bedc-71b1d1bc5d06","2023-03-27 14:50:51.063","-8.958728","-1.174876","1.8089739","2023-03-27 14:50:51.061","0.5775856","-0.9646778","-0.86088336"
"","","2023-03-27 14:51:04.568","3.894302","-8.368198","1.2406201","2023-03-27 14:50:51.316","0.23649748","-0.4009617","-0.5870343","","2023-03-27 14:50:51.105","-9.164511","-1.1892328","2.07697","2023-03-27 14:50:51.062","0.5189722","-0.8718734","-0.9402556"
"","","2023-03-27 14:51:04.586","4.263135","-8.329878","1.5519727","2023-03-27 14:50:51.316","0.86553615","-0.7658147","-0.5923606","","2023-03-27 14:50:51.109","-9.47797","-1.0001999","2.3138595","2023-03-27 14:50:51.064","0.5092034","-0.7815111","-0.9683412"
"","","2023-03-27 14:51:04.607","4.277505","-8.301138","1.6477735","2023-03-27 14:50:51.316","1.2357155","-0.9186802","-0.8512199","","2023-03-27 14:50:51.15","-9.564112","-0.57188463","2.3832514","2023-03-27 14:50:51.108","0.56293225","-0.6984756","-0.97688895"
"","","2023-03-27 14:51:04.626","4.1050634","-8.123906","1.5136524","2023-03-27 14:50:51.316","0.50015044","1.1617813","-1.0850453","","2023-03-27 14:50:51.196","-9.327223","-0.40438703","2.37368","2023-03-27 14:50:51.109","0.61666113","-0.62765115","-0.9365923"
"","","2023-03-27 14:51:04.647","4.018843","-7.999366","1.2502003","2023-03-27 14:50:51.316","-0.22689256","3.0004277","-1.0802517","","2023-03-27 14:50:51.196","-9.377472","-0.038285162","2.5220351","2023-03-27 14:50:51.15","0.65085226","-0.59468114","-0.8401245"
"","","2023-03-27 14:51:04.666","4.0427933","-8.032896","1.0154883","2023-03-27 14:50:51.316","-0.37017065","3.0771267","-0.87998205","","2023-03-27 14:50:51.242","-9.016156","0.51206404","2.8283165","2023-03-27 14:50:51.15","0.64108336","-0.5690378","-0.75953114"
"","","2023-03-27 14:51:04.687","4.143384","-8.368198","0.6706055","2023-03-27 14:50:51.316","-0.43302125","2.161532","-0.6035459","","2023-03-27 14:50:51.284","-9.109476","0.634098","3.0293136","2023-03-27 14:50:51.196","0.58247","-0.5043189","-0.6764956"
"","","2023-03-27 14:51:04.702","3.9948928","-8.684341","-0.100590825","2023-03-27 14:50:51.316","-0.56351614","0.94446737","-0.32817504","","2023-03-27 14:50:51.285","-9.281759","0.61734825","3.4217365","2023-03-27 14:50:51.196","0.46524334","-0.4273889","-0.56659555"
"","","2023-03-27 14:51:04.727","3.515889","-8.655601","-0.28261232","2023-03-27 14:50:51.316","-0.54061294","0.11515894","0.04999384","","2023-03-27 14:50:51.332","-9.497113","0.6939186","3.76391","2023-03-27 14:50:51.197","0.31504667","-0.3602278","-0.44082114"
"","","2023-03-27 14:51:04.745","3.4679885","-8.56459","0.5939649","2023-03-27 14:50:51.316","-0.012241779","0.019817773","0.3914111","","2023-03-27 14:50:51.377","-9.5760765","0.9020941","3.8213377","2023-03-27 14:50:51.242","0.15874445","-0.27841336","-0.32359445"
"","","2023-03-27 14:51:04.766","3.6164796","-8.53106","1.2741505","2023-03-27 14:50:51.316","0.7488897","0.16362847","0.4441417","","2023-03-27 14:50:51.378","-9.71486","1.1724831","3.8668015","2023-03-27 14:50:51.242","-0.039075557","-0.16240779","-0.25399113"
"","","2023-03-27 14:51:04.784","3.420088","-8.5119","1.3843213","2023-03-27 14:50:51.316","1.1994965","-0.0046833092","0.5006007","","2023-03-27 14:50:51.424","-9.894321","1.3136597","3.804588","2023-03-27 14:50:51.285","-0.20881","-0.017095556","-0.18194556"
"","","2023-03-27 14:51:04.804","3.1422658","-8.56938","1.1975098","2023-03-27 14:50:51.316","1.211747","-0.09949185","0.68009776","","2023-03-27 14:50:51.466","-9.913465","1.119841","3.830909","2023-03-27 14:50:51.285","-0.25887558","0.123332225","-0.08425667"
"","","2023-03-27 14:51:04.826","3.1183155","-8.737032","0.9484278","2023-03-27 14:50:51.318","0.9022878","0.14392108","0.9416202","","2023-03-27 14:50:51.467","-9.525827","0.9284152","3.67059","2023-03-27 14:50:51.331","-0.18683001","0.24910668","0.03052778"
"","","2023-03-27 14:51:04.84","3.2859669","-8.732242","0.78556645","2023-03-27 14:50:51.341","0.7451613","-0.023325438","1.0614625","","2023-03-27 14:50:51.521","-8.4682","0.8279166","3.6059837","2023-03-27 14:50:51.332","-0.08425667","0.35534334","0.14897557"
"","","2023-03-27 14:51:04.864","3.4919386","-8.56459","0.6562354","2023-03-27 14:50:51.361","0.8532856","-0.7551621","0.8627906","","2023-03-27 14:50:51.556","-7.9154572","0.65324056","3.5365918","2023-03-27 14:50:51.332","-0.012211111","0.45303226","0.27841336"
"","","2023-03-27 14:51:04.88","3.65959","-8.487949","0.6945557","2023-03-27 14:50:51.378","0.8436982","-1.1993774","0.8750411","","2023-03-27 14:50:51.557","-8.140383","0.46899325","3.397808","2023-03-27 14:50:51.378","-0.02075889","0.55316335","0.4273889"
"","","2023-03-27 14:51:04.902","3.8176613","-8.53106","0.82388675","2023-03-27 14:50:51.403","0.8708625","-1.292588","0.98849183","","2023-03-27 14:50:51.603","-8.891729","0.3924229","3.4025939","2023-03-27 14:50:51.378","-0.1306589","0.6435256","0.5702589"
"","","2023-03-27 14:51:04.921","3.7937112","-8.54064","0.9963282","2023-03-27 14:50:51.423","1.1238627","-1.3293396","0.98849183","","2023-03-27 14:50:51.656","-9.468399","0.552742","3.4408789","2023-03-27 14:50:51.423","-0.33580557","0.7216767","0.70458114"
"","","2023-03-27 14:51:04.944","3.7122805","-8.440049","1.1400293","2023-03-27 14:50:51.443","1.4849874","-1.2920554","0.86864954","","2023-03-27 14:50:51.657","-9.568898","0.69152576","3.603591","2023-03-27 14:50:51.426","-0.5458367","0.7766267","0.8205867"
"","","2023-03-27 14:51:04.964","3.7314405","-8.368198","1.2789404","2023-03-27 14:50:51.468","1.779533","-1.1226783","0.69767463","","2023-03-27 14:50:51.693","-9.327223","0.7322037","3.845266","2023-03-27 14:50:51.466","-0.69603336","0.7680789","0.8999589"
"","","2023-03-27 14:51:04.982","3.6548","-8.396939","1.3268409","2023-03-27 14:50:51.483","1.8935163","-0.8531664","0.5911482","","2023-03-27 14:50:51.736","-9.164511","0.81834537","3.993621","2023-03-27 14:50:51.467","-0.80227005","0.70946556","0.9414767"
"","","2023-03-27 14:51:05.003","3.544629","-8.49274","1.1687696","2023-03-27 14:50:51.502","1.6596907","-0.33438265","0.6289651","","2023-03-27 14:50:51.738","-8.733803","1.2849457","3.9170506","2023-03-27 14:50:51.467","-0.86821","0.64108336","0.9463611"
"","","2023-03-27 14:51:05.019","3.5206788","-8.55501","0.8861573","2023-03-27 14:50:51.52","1.0604795","0.31702656","0.71844727","","2023-03-27 14:50:51.782","-8.394022","1.875973","3.6323047","2023-03-27 14:50:51.522","-0.89019006","0.5922389","0.9133912"
"","","2023-03-27 14:51:05.041","3.539839","-8.55501","0.6849756","2023-03-27 14:50:51.54","0.2652596","0.7154355","0.6838262","","2023-03-27 14:50:51.783","-8.4347","2.0865414","3.5940197","2023-03-27 14:50:51.522","-0.8975167","0.57514334","0.85111445"
"","","2023-03-27 14:51:05.058","3.5733693","-8.5598","0.8047266","2023-03-27 14:50:51.557","-0.518775","0.68241227","0.4526638","","2023-03-27 14:50:51.83","-8.475378","1.5960127","3.9026937","2023-03-27 14:50:51.557","-0.9133912","0.5592689","0.7815111"
"","","2023-03-27 14:51:05.082","3.6260598","-8.602911","0.98195803","2023-03-27 14:50:51.581","-1.0908221","0.23606646","0.10006127","","2023-03-27 14:50:51.872","-8.657232","0.9068798","4.223332","2023-03-27 14:50:51.558","-0.91583335","0.5519422","0.72411895"
"","","2023-03-27 14:51:05.105","3.63564","-8.660391","0.93405765","2023-03-27 14:50:51.6","-1.3518119","-0.2869784","-0.2248444","","2023-03-27 14:50:51.877","-8.6548395","0.74895346","4.28076","2023-03-27 14:50:51.602","-0.85599893","0.5519422","0.6752745"
"","","2023-03-27 14:51:05.122","3.66438","-8.612491","0.7232959","2023-03-27 14:50:51.621","-1.3395613","-0.63105875","-0.41020042","","2023-03-27 14:50:51.915","-8.743374","0.99302137","4.2592244","2023-03-27 14:50:51.604","-0.7534256","0.5568267","0.6142189"
