"DataCollection__collect_uuid","DataCollection__label","DataCollection__p_accelerometer_time","DataCollection__p_accelerometer_x","DataCollection__p_accelerometer_y","DataCollection__p_accelerometer_z","DataCollection__p_gyroscope_time","DataCollection__p_gyroscope_x","DataCollection__p_gyroscope_y","DataCollection__p_gyroscope_z","DataCollection__participant_uuid","DataCollection__w_accelerometer_time","DataCollection__w_accelerometer_x","DataCollection__w_accelerometer_y","DataCollection__w_accelerometer_z","DataCollection__w_gyroscope_time","DataCollection__w_gyroscope_x","DataCollection__w_gyroscope_y","DataCollection__w_gyroscope_z"
"d2eeedb3-4d66-4a7f-b2a9-e9e947c5577f","aefbwashhand","2023-03-27 15:40:23.315","-8.995694","2.931504","-0.728086","2023-03-27 15:40:23.385","0.0016066581","-0.007879103","-0.0006062217","aefbe9f3-5fd1-49b9-bedc-71b1d1bc5d06","2023-03-27 15:37:00.041","0.10289137","1.2203395","9.501899","2023-03-27 15:37:00.042","-0.11478445","-0.02198","0.008547778"
"","","2023-03-27 15:40:23.315","-9.043594","2.912344","-0.7185059","2023-03-27 15:40:23.406","-0.0037196642","-0.0041506765","0.012709583","","2023-03-27 15:37:00.042","0.11006984","0.9667004","9.293723","2023-03-27 15:37:00.042","0.07570889","0.009768889","-0.026864445"
"","","2023-03-27 15:40:23.315","-9.024434","2.912344","-0.7664063","2023-03-27 15:40:23.43","0.000008761417","-0.0030854123","-0.0075304406","","2023-03-27 15:37:00.042","0.0047856453","0.6723832","9.243474","2023-03-27 15:37:00.043","0.091583334","0","-0.0061055557"
"","","2023-03-27 15:40:23.315","-9.029224","2.912344","-0.7759864","2023-03-27 15:40:23.445","0.00054139365","0.0038388066","-0.0016714862","","2023-03-27 15:37:00.042","-0.083748795","0.47138608","9.30808","2023-03-27 15:37:00.043","-0.0012211112","-0.0048844446","0.019537779"
"","","2023-03-27 15:40:23.316","-9.038804","2.912344","-0.8095166","2023-03-27 15:40:23.466","0.000008761417","0.016089348","0.000991675","","2023-03-27 15:37:00.042","-0.08853444","0.3493521","9.432507","2023-03-27 15:40:23.25","-0.0012211112","0.03052778","0.03297"
"","","2023-03-27 15:40:23.316","-9.019644","2.8979738","-0.8334668","2023-03-27 15:40:23.486","0.000008761417","0.02674199","0.0015243072","","2023-03-27 15:37:00.042","-0.05503492","0.3804588","9.5665045","2023-03-27 15:40:23.262","-0.05250778","0.019537779","0.036633335"
"","","2023-03-27 15:40:23.316","-9.019644","2.8979738","-0.8334668","2023-03-27 15:40:23.505","-0.0005238708","0.03792727","0.000991675","","2023-03-27 15:37:00.043","-0.016749758","0.4953143","9.580862","2023-03-27 15:40:23.265","-0.06227667","0.019537779","0.04151778"
"","","2023-03-27 15:40:23.316","-9.029224","2.8979738","-0.847837","2023-03-27 15:40:23.527","0.0010740259","0.050710443","0.00045904273","","2023-03-27 15:37:00.043","0.009571291","0.62931234","9.592826","2023-03-27 15:40:23.265","-0.04151778","0.019537779","0.054950003"
"","","2023-03-27 15:40:23.316","-9.034014","2.8931837","-0.86220706","2023-03-27 15:40:23.548","0.0016066581","0.060297824","-0.0000735895","","2023-03-27 15:37:00.043","0.023928227","0.74416786","9.592826","2023-03-27 15:40:23.308","-0.028085556","0.013432222","0.06594"
"","","2023-03-27 15:40:23.316","-9.0004835","2.9171338","-0.847837","2023-03-27 15:40:23.564","0.0016066581","0.06136309","0.0015243072","","2023-03-27 15:40:23.25","1.3710874","7.3627152","6.4606214","2023-03-27 15:40:23.354","-0.012211111","0.009768889","0.06594"
"","","2023-03-27 15:40:23.316","-9.0148535","2.8979738","-0.86220706","2023-03-27 15:40:23.587","0.0042698192","0.06562414","-0.0016714862","","2023-03-27 15:40:23.25","1.3184453","7.3627152","6.465407","2023-03-27 15:40:23.354","0.014653334","0.0024422223","0.05372889"
"","","2023-03-27 15:40:23.316","-9.010064","2.9171338","-0.847837","2023-03-27 15:40:23.606","0.0026719226","0.07947258","-0.001138854","","2023-03-27 15:40:23.25","1.2777673","7.3363943","6.458228","2023-03-27 15:40:23.444","0.04151778","0.0061055557","0.029306669"
"","","2023-03-27 15:40:23.316","-9.034014","2.912344","-0.81909674","2023-03-27 15:40:23.631","0.003737187","0.10237577","-0.004334647","","2023-03-27 15:40:23.262","1.2394822","7.2909307","6.4965134","2023-03-27 15:40:23.446","0.04396","0.019537779","0.013432222"
"","","2023-03-27 15:40:23.316","-9.034014","2.931504","-0.7951465","2023-03-27 15:40:23.647","0.007998245","0.13220318","-0.013922027","","2023-03-27 15:40:23.262","1.2323036","7.243074","6.491728","2023-03-27 15:40:23.488","0.009768889","0.03174889","0.009768889"
"","","2023-03-27 15:40:23.316","-9.0148535","2.907554","-0.79035646","2023-03-27 15:40:23.671","0.011194039","0.1524432","-0.012324131","","2023-03-27 15:40:23.263","1.2346965","7.1712894","6.463014","2023-03-27 15:40:23.49","-0.024422223","0.03174889","0.0048844446"
