"DataCollection__collect_uuid","DataCollection__label","DataCollection__p_accelerometer_time","DataCollection__p_accelerometer_x","DataCollection__p_accelerometer_y","DataCollection__p_accelerometer_z","DataCollection__p_gyroscope_time","DataCollection__p_gyroscope_x","DataCollection__p_gyroscope_y","DataCollection__p_gyroscope_z","DataCollection__participant_uuid","DataCollection__w_accelerometer_time","DataCollection__w_accelerometer_x","DataCollection__w_accelerometer_y","DataCollection__w_accelerometer_z","DataCollection__w_gyroscope_time","DataCollection__w_gyroscope_x","DataCollection__w_gyroscope_y","DataCollection__w_gyroscope_z"
"6604082b-9e54-496d-ac4c-ef4e5d8003be","aefbwatchstclose","2023-03-27 15:11:27.199","-2.936294","9.043594","-4.1960745","2023-03-27 15:11:13.777","0.001708278","-0.015420052","0.018687679","aefbe9f3-5fd1-49b9-bedc-71b1d1bc5d06","2023-03-27 15:11:13.76","5.895915","1.4189439","7.429714","2023-03-27 15:11:13.977","0.014653334","-0.015874445","-0.0012211112"
"","","2023-03-27 15:11:27.22","-2.907554","9.034014","-4.2439747","2023-03-27 15:11:13.797","0.008099864","-0.0393885","0.021883473","","2023-03-27 15:11:13.976","5.8600225","1.4333007","7.422536","2023-03-27 15:11:13.977","0.018316668","-0.014653334","0.007326667"
"","","2023-03-27 15:11:27.239","-2.907554","9.043594","-4.2104445","2023-03-27 15:11:13.815","0.0054367036","-0.0047674077","-0.0052807704","","2023-03-27 15:11:13.977","5.85763","1.4380864","7.4010005","2023-03-27 15:11:13.977","0.0048844446","-0.01099","0.009768889"
"","","2023-03-27 15:11:27.258","-2.955454","9.091495","-4.1242237","2023-03-27 15:11:13.834","-0.011074896","0.079388484","-0.043097656","","2023-03-27 15:11:13.977","5.838487","1.4356936","7.4010005","2023-03-27 15:11:13.977","-0.018316668","0","0.01099"
"","","2023-03-27 15:11:27.281","-2.9937747","9.177715","-4.018843","2023-03-27 15:11:13.853","-0.027586494","0.14490224","-0.06387032","","2023-03-27 15:11:13.977","5.8337016","1.4548361","7.3986077","2023-03-27 15:11:13.977","-0.023201112","0.0061055557","0.01099"
"","","2023-03-27 15:11:27.297","-3.0225148","9.125025","-4.061953","2023-03-27 15:11:13.87","-0.03610861","0.13318433","-0.04789135","","2023-03-27 15:11:13.977","5.838487","1.4691931","7.420143","2023-03-27 15:11:13.977","-0.019537779","0.009768889","0.013432222"
"","","2023-03-27 15:11:27.319","-3.0656252","9.043594","-4.2056546","2023-03-27 15:11:13.89","-0.024923332","0.039441068","-0.011139725","","2023-03-27 15:11:13.977","5.845666","1.4620147","7.420143","2023-03-27 15:11:13.977","0.0048844446","0.01099","-0.015874445"
"","","2023-03-27 15:11:27.337","-3.1231055","9.0004835","-4.282295","2023-03-27 15:11:13.911","0.004371439","-0.070813805","0.022948736","","2023-03-27 15:11:13.977","5.8432727","1.4452649","7.432107","2023-03-27 15:11:13.977","-0.0024422223","0.008547778","-0.019537779"
"","","2023-03-27 15:11:27.354","-3.1853762","8.938213","-4.258345","2023-03-27 15:11:13.931","0.03313358","-0.11875071","0.037329808","","2023-03-27 15:11:13.977","5.855237","1.4285151","7.460821","2023-03-27 15:11:13.977","-0.0024422223","0.0048844446","-0.017095556"
"","","2023-03-27 15:11:27.375","-3.1997461","8.923843","-4.143384","2023-03-27 15:11:13.951","0.0384599","-0.08839066","0.027209794","","2023-03-27 15:11:13.977","5.845666","1.4141582","7.460821","2023-03-27 15:11:14.022","-0.0048844446","0","-0.009768889"
"","","2023-03-27 15:11:27.394","-3.1997461","9.005274","-4.071533","2023-03-27 15:11:13.972","0.01608935","-0.012224258","0.01389399","","2023-03-27 15:11:13.977","5.8480587","1.4404793","7.489535","2023-03-27 15:11:14.072","-0.0024422223","-0.007326667","-0.0024422223"
"","","2023-03-27 15:11:27.417","-3.166216","9.067544","-4.0667434","2023-03-27 15:11:13.996","-0.011607528","0.06181162","-0.0058134026","","2023-03-27 15:11:13.977","5.8504515","1.4548361","7.4823565","2023-03-27 15:11:14.072","0.013432222","-0.012211111","0.007326667"
"","","2023-03-27 15:11:27.435","-3.0991554","9.096285","-4.1625443","2023-03-27 15:11:14.015","-0.03184755","0.09323692","-0.029249221","","2023-03-27 15:11:13.977","5.831309","1.564906","7.408179","2023-03-27 15:11:14.119","0.02198","-0.009768889","0"
"","","2023-03-27 15:11:27.459","-3.0608351","9.096285","-4.239185","2023-03-27 15:11:14.033","-0.037173875","0.081519015","-0.04416292","","2023-03-27 15:11:13.977","5.797809","1.5577276","7.4249287","2023-03-27 15:11:14.251","0.034191113","-0.0061055557","-0.012211111"
"","","2023-03-27 15:11:27.476","-3.0177248","9.072334","-4.176914","2023-03-27 15:11:14.054","-0.034510713","0.065540045","-0.053217668","","2023-03-27 15:11:13.977","5.790631","1.5481563","7.4584284","2023-03-27 15:11:14.251","0.04029667","0.0036633336","-0.009768889"
"","","2023-03-27 15:11:27.497","-2.9602442","9.067544","-4.0859036","2023-03-27 15:11:14.074","-0.030249655","0.0729969","-0.05588083","","2023-03-27 15:11:13.977","5.7834525","1.5577276","7.456035","2023-03-27 15:11:14.253","0.034191113","0.0012211112","-0.0048844446"
"","","2023-03-27 15:11:27.518","-2.907554","9.038804","-4.0523734","2023-03-27 15:11:14.095","-0.025988597","0.083649546","-0.04789135","","2023-03-27 15:11:13.979","5.7762737","1.5672989","7.475178","2023-03-27 15:11:14.341","0.019537779","0","-0.0024422223"
"","","2023-03-27 15:11:27.534","-2.9746144","8.976534","-4.1960745","2023-03-27 15:11:14.114","-0.027586494","0.06873584","-0.028716588","","2023-03-27 15:11:13.979","5.797809","1.5720844","7.4679995","2023-03-27 15:11:14.431","0.012211111","-0.0036633336","-0.009768889"
"","","2023-03-27 15:11:27.557","-3.1039455","9.034014","-4.3349857","2023-03-27 15:11:14.133","-0.024390701","0.025059996","0.0016434485","","2023-03-27 15:11:14.023","5.804988","1.5936198","7.446464","2023-03-27 15:11:14.432","0.017095556","-0.0024422223","-0.015874445"
"","","2023-03-27 15:11:27.573","-3.151846","9.081915","-4.296665","2023-03-27 15:11:14.154","0.0011756457","-0.030333756","0.04265613","","2023-03-27 15:11:14.071","5.797809","1.564906","7.448857","2023-03-27 15:11:14.528","0.035412222","0.007326667","-0.0061055557"
"","","2023-03-27 15:11:27.596","-3.1614258","9.019644","-4.1242237","2023-03-27 15:11:14.173","0.03792727","-0.1203486","0.081005655","","2023-03-27 15:11:14.071","5.800202","1.5625132","7.463214","2023-03-27 15:11:14.529","0.04396","0.01099","0.008547778"
"","","2023-03-27 15:11:27.614","-3.1422658","9.105865","-3.9853127","2023-03-27 15:11:14.194","0.05177571","-0.20556976","0.08207092","","2023-03-27 15:11:14.073","5.7834525","1.564906","7.479964","2023-03-27 15:11:14.565","0.04029667","0.0061055557","0.017095556"
"","","2023-03-27 15:11:27.636","-3.046465","9.206455","-3.899092","2023-03-27 15:11:14.22","0.03526411","-0.14431706","0.03253612","","2023-03-27 15:11:14.075","5.7810597","1.5672989","7.5062847","2023-03-27 15:11:14.612","0.03174889","0.013432222","0.015874445"
"","","2023-03-27 15:11:27.656","-2.8883936","9.196876","-3.923042","2023-03-27 15:11:14.234","0.0033061747","0.059681095","-0.030314485","","2023-03-27 15:11:14.119","5.7690954","1.550549","7.513463","2023-03-27 15:11:14.652","0.014653334","0.017095556","0.007326667"
