"DataCollection__collect_uuid","DataCollection__label","DataCollection__p_accelerometer_time","DataCollection__p_accelerometer_x","DataCollection__p_accelerometer_y","DataCollection__p_accelerometer_z","DataCollection__p_gyroscope_time","DataCollection__p_gyroscope_x","DataCollection__p_gyroscope_y","DataCollection__p_gyroscope_z","DataCollection__participant_uuid","DataCollection__w_accelerometer_time","DataCollection__w_accelerometer_x","DataCollection__w_accelerometer_y","DataCollection__w_accelerometer_z","DataCollection__w_gyroscope_time","DataCollection__w_gyroscope_x","DataCollection__w_gyroscope_y","DataCollection__w_gyroscope_z"
"9e9b7cb5-c219-4708-ae99-11eb7f4bd968","00b0jacket1","2023-03-27 17:18:19.661","0.20118165","10.322535","-0.85741705","2023-03-27 17:18:19.662","-0.09231437","0.49982637","-0.045567494","00b0ed5b-d450-4be9-a801-f708cc9a1d84","2023-03-27 17:18:19.642","-5.0344987","0.6771688","8.961121","2023-03-27 17:18:19.858","-3.1126122","-0.9720045","-2.6901078"
"","","2023-03-27 17:18:19.68","-0.27303225","10.370435","-0.93405765","2023-03-27 17:18:19.681","-0.120543875","0.57546014","-0.019468516","","2023-03-27 17:18:19.858","-3.8333018","0.6939186","7.7910304","2023-03-27 17:18:19.858","-3.7182834","-1.5532534","-2.8195457"
"","","2023-03-27 17:18:19.7","-0.96758795","10.336905","-1.0777588","2023-03-27 17:18:19.701","-0.118413344","0.5994286","0.004499935","","2023-03-27 17:18:19.858","-2.5411777","-0.19621146","7.259824","2023-03-27 17:18:19.858","-2.6571379","-1.7559578","-2.3958201"
"","","2023-03-27 17:18:19.723","-1.6621436","10.241104","-0.93405765","2023-03-27 17:18:19.723","-0.120543875","0.56906855","0.021011533","","2023-03-27 17:18:19.858","-0.96909314","-1.8903298","6.1710896","2023-03-27 17:18:19.858","-0.66306335","-1.96721","-1.9757578"
"","","2023-03-27 17:18:19.739","-2.0166066","10.078242","-0.6227051","2023-03-27 17:18:19.74","-0.11894598","0.44816104","0.020478902","","2023-03-27 17:18:19.858","0.5814559","-3.5102708","5.2546387","2023-03-27 17:18:19.859","3.0344613","-2.1943367","-0.8169234"
"","","2023-03-27 17:18:19.763","-2.193838","10.011182","-0.7664063","2023-03-27 17:18:19.763","-0.122674406","0.23031445","0.015152579","","2023-03-27 17:18:19.858","2.3353949","-4.5678983","4.211368","2023-03-27 17:18:19.859","6.382748","-3.2921157","-0.8718734"
"","","2023-03-27 17:18:19.78","-1.9974464","10.035132","-1.0106983","2023-03-27 17:18:19.781","-0.1359902","0.1434954","0.0007715095","","2023-03-27 17:18:19.858","3.818945","-5.2570314","3.2997024","2023-03-27 17:18:19.859","6.097008","-4.172537","-1.3920667"
"","","2023-03-27 17:18:19.803","-1.5471827","10.135723","-1.0202783","2023-03-27 17:18:19.803","-0.13971862","0.14935435","-0.013076929","","2023-03-27 17:18:19.858","4.965107","-5.771488","1.9310079","2023-03-27 17:18:19.878","2.38483","-4.106597","-0.23445335"
"","","2023-03-27 17:18:19.819","-1.2981006","10.226734","-1.0825489","2023-03-27 17:18:19.819","-0.1274681","0.07531847","0.00023887726","","2023-03-27 17:18:19.858","6.0490556","-6.8458657","1.3399807","2023-03-27 17:18:19.878","-0.5372889","-3.3250856","-0.17584"
"","","2023-03-27 17:18:19.84","-1.4370118","10.159674","-1.0490186","2023-03-27 17:18:19.84","-0.08858594","-0.016826902","0.02260943","","2023-03-27 17:18:19.858","7.9154572","-8.853444","3.1872396","2023-03-27 17:18:19.928","-2.1308389","-1.5569167","-0.17706113"
"","","2023-03-27 17:18:19.862","-1.3843213","9.968072","-0.6562354","2023-03-27 17:18:19.862","-0.01881112","0.0034131238","0.009293625","","2023-03-27 17:18:19.859","10.834701","-10.195817","5.8624153","2023-03-27 17:18:19.929","-3.790329","0.34557447","0.6203245"
"","","2023-03-27 17:18:19.881","-1.0059083","10.083033","-0.28740236","2023-03-27 17:18:19.881","0.023266826","0.052947924","-0.028523264","","2023-03-27 17:18:19.859","13.191631","-8.815159","6.7381887","2023-03-27 17:18:19.974","-4.416759","1.7522945","1.4799867"
"","","2023-03-27 17:18:19.907","-0.6322852","10.279425","-0.12454102","2023-03-27 17:18:19.908","0.009414738","0.05347891","-0.05888789","","2023-03-27 17:18:19.859","13.974084","-5.235496","6.9296145","2023-03-27 17:18:19.975","-3.7964346","3.3238647","2.0710046"
"","","2023-03-27 17:18:19.929","-0.47900394","10.293795","-0.100590825","2023-03-27 17:18:19.929","-0.011357919","0.013531496","-0.064214215","","2023-03-27 17:18:19.859","13.418949","-1.579263","7.149754","2023-03-27 17:18:20.026","-3.8562691","4.8356004","2.48374"
"","","2023-03-27 17:18:19.945","-0.3305127","10.207574","-0.18681154","2023-03-27 17:18:19.945","0.01687159","0.08383895","-0.062083684","","2023-03-27 17:18:19.877","12.502499","0.009571291","7.0468626","2023-03-27 17:18:20.026","-5.153089","5.128667","2.603409"
"","","2023-03-27 17:18:19.966","-0.15328126","10.207574","-0.17723145","2023-03-27 17:18:19.967","0.04137267","0.23563914","-0.06474685","","2023-03-27 17:18:19.877","11.598011","-0.05742774","5.2929235","2023-03-27 17:18:20.072","-6.2557526","3.822078","2.1699145"
"","","2023-03-27 17:18:19.988","-0.21076173","10.317744","-0.23950197","2023-03-27 17:18:19.989","0.032317925","0.30914238","-0.051431045","","2023-03-27 17:18:19.878","11.191232","-0.31585258","2.2468605","2023-03-27 17:18:20.073","-5.634207","1.8048023","1.5898868"
"","","2023-03-27 17:18:20.007","-0.56522465","10.356065","-0.4742139","2023-03-27 17:18:20.008","0.00035999017","0.299555","-0.034386814","","2023-03-27 17:18:19.927","11.294123","0.0023928226","-1.3280165","2023-03-27 17:18:20.125","-4.25313","0.67161113","1.0745778"
"","","2023-03-27 17:18:20.031","-1.0202783","10.370435","-0.5604346","2023-03-27 17:18:20.031","-0.04225059","0.27505392","-0.021071006","","2023-03-27 17:18:19.928","12.05504","0.526421","-2.8809586","2023-03-27 17:18:20.126","-3.360498","-0.029306669","0.5641534"
"","","2023-03-27 17:18:20.051","-1.4226416","10.289004","-0.5221143","2023-03-27 17:18:20.052","-0.05876219","0.23084544","0.0028974446","","2023-03-27 17:18:19.929","12.358929","1.5433706","-3.591627","2023-03-27 17:18:20.173","-3.3348546","0.06716111","0.10379445"
"","","2023-03-27 17:18:20.073","-1.6908839","10.303374","-0.5508545","2023-03-27 17:18:20.073","-0.062490612","0.18344118","0.024202734","","2023-03-27 17:18:19.929","11.693725","2.0745773","-3.991228","2023-03-27 17:18:20.173","-2.6205046","1.0318389","-0.13554333"
"","","2023-03-27 17:18:20.09","-1.829795","10.322535","-0.7185059","2023-03-27 17:18:20.091","-0.06355588","0.084904216","0.039116435","","2023-03-27 17:18:19.929","10.200603","1.8424734","-3.7734814","2023-03-27 17:18:20.267","-1.0049745","0.7228978","-0.41273558"
"","","2023-03-27 17:18:20.11","-1.8824854","10.174044","-0.9436377","2023-03-27 17:18:20.111","-0.09231802","-0.06316755","0.044975393","","2023-03-27 17:18:19.974","8.267202","1.4189439","-4.362116","2023-03-27 17:18:20.269","-0.12577444","0.27841336","-0.9194967"
"","","2023-03-27 17:18:20.128","-2.0022364","10.039923","-1.1496094","2023-03-27 17:18:20.128","-0.10829698","-0.22135931","0.054030135","","2023-03-27 17:18:19.974","6.9224358","0.4833502","-5.099105","2023-03-27 17:18:20.27","0.17584","0.11844778","-1.3249056"
"","","2023-03-27 17:18:20.15","-1.7435743","10.121353","-1.1160791","2023-03-27 17:18:20.151","-0.081665374","-0.1963256","0.050834343","","2023-03-27 17:18:19.974","6.2644095","-0.5455636","-5.367101","2023-03-27 17:18:20.315","0.50676113","0.042738892","-1.4751023"
"","","2023-03-27 17:18:20.174","-1.1448194","10.174044","-0.9388477","2023-03-27 17:18:20.174","-0.06302325","-0.17874874","0.035388008","","2023-03-27 17:18:19.975","5.953343","-1.0049855","-5.022535","2023-03-27 17:18:20.316","1.0794623","-0.13676445","-1.6314045"
"","","2023-03-27 17:18:20.191","-0.90052736","10.106983","-1.1160791","2023-03-27 17:18:20.192","-0.053968497","-0.2607741","0.03272485","","2023-03-27 17:18:20.025","5.477171","-1.5984055","-4.1228333","2023-03-27 17:18:20.316","1.0318389","-0.23689556","-1.5886656"
"","","2023-03-27 17:18:20.213","-0.78556645","10.111773","-1.0106983","2023-03-27 17:18:20.214","-0.041185323","-0.26290464","0.025267998","","2023-03-27 17:18:20.026","4.658826","-2.481357","-3.0939198","2023-03-27 17:18:20.316","1.2687345","0.23689556","-1.0428289"
"","","2023-03-27 17:18:20.233","-0.5412744","10.226734","-0.6322852","2023-03-27 17:18:20.233","-0.0044337","-0.17821611","0.010354295","","2023-03-27 17:18:20.026","3.4887354","-3.6586258","-2.2995026","2023-03-27 17:18:20.369","0.8877478","0.09402556","-1.1881411"
"","","2023-03-27 17:18:20.252","-0.23950197","10.336905","-0.30177248","2023-03-27 17:18:20.252","0.017936852","-0.08926652","-0.0029615099","","2023-03-27 17:18:20.071","2.1870399","-5.3312087","-1.6534405","2023-03-27 17:18:20.412","0.08669889","0.03297","-1.0892311"
"","","2023-03-27 17:18:20.271","-0.06227051","10.312955","-0.14849122","2023-03-27 17:18:20.272","-0.0028358032","-0.03280751","-0.010950994","","2023-03-27 17:18:20.071","1.0025927","-7.2215385","-1.3710874","2023-03-27 17:18:20.417","0.21980001","0.9048434","-0.8584412"
"","","2023-03-27 17:18:20.295","-0.07185059","10.360855","-0.23950197","2023-03-27 17:18:20.296","-0.04438112","-0.0035127357","-0.0136141535","","2023-03-27 17:18:20.072","-0.047856454","-9.616755","-0.46660042","2023-03-27 17:18:20.419","1.2467545","2.251729","-0.33580557"
"","","2023-03-27 17:18:20.315","-0.21555176","10.365645","-0.37362307","2023-03-27 17:18:20.316","-0.07580642","0.06093576","-0.020005742","","2023-03-27 17:18:20.072","-1.0193424","-11.959328","0.46899325","2023-03-27 17:18:20.463","3.2103012","2.7218568","-0.23323223"
"","","2023-03-27 17:18:20.334","-0.45026368","10.245894","-0.3161426","2023-03-27 17:18:20.335","-0.07900221","0.14296113","-0.016277315","","2023-03-27 17:18:20.073","-1.3782659","-14.093725","0.96909314","2023-03-27 17:18:20.463","5.2275767","2.5277002","-0.23689556"
"","","2023-03-27 17:18:20.352","-0.732876","10.207574","-0.28261232","2023-03-27 17:18:20.353","-0.055566393","0.16533168","-0.005092039","","2023-03-27 17:18:20.125","-0.8207382","-15.711273","2.0889342","2023-03-27 17:18:20.509","5.0346413","2.6180623","-0.2759711"
"","","2023-03-27 17:18:20.369","-1.0250684","10.274634","-0.14849122","2023-03-27 17:18:20.37","-0.03053268","0.19569172","-0.0029615099","","2023-03-27 17:18:20.125","0.3278167","-16.393229","2.9072795","2023-03-27 17:18:20.513","2.8476312","3.4997046","-0.11600556"
