"DataCollection__collect_uuid","DataCollection__label","DataCollection__p_accelerometer_time","DataCollection__p_accelerometer_x","DataCollection__p_accelerometer_y","DataCollection__p_accelerometer_z","DataCollection__p_gyroscope_time","DataCollection__p_gyroscope_x","DataCollection__p_gyroscope_y","DataCollection__p_gyroscope_z","DataCollection__participant_uuid","DataCollection__w_accelerometer_time","DataCollection__w_accelerometer_x","DataCollection__w_accelerometer_y","DataCollection__w_accelerometer_z","DataCollection__w_gyroscope_time","DataCollection__w_gyroscope_x","DataCollection__w_gyroscope_y","DataCollection__w_gyroscope_z"
"89178054-ab21-4bd0-b500-3d593f792845","a785stepup","2023-03-27 16:40:55.988","-1.4226416","15.179634","-1.954336","2023-03-27 16:40:57.795","0.05934441","-0.021696525","0.0048777293","a785f03b-90ee-41ff-80d5-208c5e29d2ea","2023-03-27 16:40:56.006","-7.216753","-3.7806597","3.885944","","","",""
"","","2023-03-27 16:40:55.988","-0.9196875","13.052857","-2.548301","2023-03-27 16:40:57.836","0.0492244","-0.04087128","0.030444076","","2023-03-27 16:40:56.006","-7.2358956","-3.76391","3.739982","","","",""
"","","2023-03-27 16:40:55.988","-1.2693604","10.528506","2.299219","2023-03-27 16:40:57.875","-0.015224101","0.027838273","0.0022145682","","2023-03-27 16:40:56.006","-7.692925","-3.8548372","3.5676985","","","",""
"","","2023-03-27 16:40:55.988","-2.3471193","8.349038","5.0487013","2023-03-27 16:40:57.917","0.026853845","-0.07336185","0.01233458","","2023-03-27 16:40:56.006","-7.8891363","-3.952943","3.534199","","","",""
"","","2023-03-27 16:40:55.988","-2.4908204","6.7779055","3.6164796","2023-03-27 16:40:57.957","0.03963702","-0.0030543956","0.017660903","","2023-03-27 16:40:56.006","-8.202596","-4.345366","3.6490545","","","",""
"","","2023-03-27 16:40:55.988","-1.9208057","7.8029737","0.41194338","2023-03-27 16:40:58.0","-0.0008430305","-0.007315453","0.019791432","","2023-03-27 16:40:56.007","-9.037691","-4.7856455","3.8213377","","","",""
"","","2023-03-27 16:40:55.988","-0.17244141","7.8556643","2.926714","2023-03-27 16:40:58.042","-0.002440927","-0.064839736","0.030976707","","2023-03-27 16:40:56.025","-9.4229355","-4.2041893","3.6323047","","","",""
"","","2023-03-27 16:40:56.004","0.19639161","6.3851223","4.0044727","2023-03-27 16:40:58.081","0.01140751","0.042219345","0.016595637","","2023-03-27 16:40:56.118","-9.01137","-4.0031924","3.5509489","","","",""
"","","2023-03-27 16:40:56.025","-0.57959473","5.733677","3.894302","2023-03-27 16:40:58.122","-0.016821997","-0.013174408","0.03150934","","2023-03-27 16:40:56.118","-8.209774","-4.156333","3.586841","","","",""
"","","2023-03-27 16:40:56.047","-0.78556645","5.489385","3.9374123","2023-03-27 16:40:58.161","0.0012874984","-0.060578674","0.036303032","","2023-03-27 16:40:56.118","-7.719246","-4.3357944","3.7328033","","","",""
"","","2023-03-27 16:40:56.071","-0.18681154","5.1397123","3.803291","2023-03-27 16:40:58.202","0.0012874984","0.030501435","0.0048777293","","2023-03-27 16:40:56.168","-7.4656067","-4.249653","3.7758741","","","",""
"","","2023-03-27 16:40:56.091","0.23950197","5.230723","3.2620168","2023-03-27 16:40:58.24","-0.01735463","0.009728778","0.027248282","","2023-03-27 16:40:56.169","-7.4344997","-4.168297","3.7854455","","","",""
"","","2023-03-27 16:40:56.11","0.23471193","5.982759","3.0225148","2023-03-27 16:40:58.263","-0.016289366","-0.016370201","0.041629355","","2023-03-27 16:40:56.209","-7.391429","-4.1108694","3.9840498","","","",""
"","","2023-03-27 16:40:56.133","0.728086","7.1611085","3.7697608","2023-03-27 16:40:58.305","-0.012028308","-0.009978614","0.035237767","","2023-03-27 16:40:56.21","-7.3627152","-4.520042","4.1180477","","","",""
"","","2023-03-27 16:40:56.153","0.7951465","8.396939","4.138594","2023-03-27 16:40:58.343","-0.010963043","0.019316157","0.037368298","","2023-03-27 16:40:56.254","-7.7383885","-4.699504","4.1635113","","","",""
"","","2023-03-27 16:40:56.172","0.62749517","9.177715","3.9278321","2023-03-27 16:40:58.405","-0.012028308","-0.0025217633","0.0357704","","2023-03-27 16:40:56.298","-7.982456","-4.56072","4.113262","","","",""
"","","2023-03-27 16:40:56.193","0.5891748","8.49753","3.9613624","2023-03-27 16:40:58.425","0.002352763","0.05020883","0.06186938","","2023-03-27 16:40:56.299","-7.5230346","-4.412365","4.1036906","","","",""
"","","2023-03-27 16:40:56.212","0.38320315","7.4820414","4.014053","2023-03-27 16:40:58.449","-0.002440927","0.07204675","0.056010425","","2023-03-27 16:40:56.39","-7.259824","-4.3812585","3.9290147","","","",""
"","","2023-03-27 16:40:56.235","-0.10538086","7.9610453","3.319497","2023-03-27 16:40:58.462","-0.025344113","0.028370906","0.058673587","","2023-03-27 16:40:56.391","-7.1210403","-4.314259","3.952943","","","",""
