"DataCollection__collect_uuid","DataCollection__label","DataCollection__p_accelerometer_time","DataCollection__p_accelerometer_x","DataCollection__p_accelerometer_y","DataCollection__p_accelerometer_z","DataCollection__p_gyroscope_time","DataCollection__p_gyroscope_x","DataCollection__p_gyroscope_y","DataCollection__p_gyroscope_z","DataCollection__participant_uuid","DataCollection__w_accelerometer_time","DataCollection__w_accelerometer_x","DataCollection__w_accelerometer_y","DataCollection__w_accelerometer_z","DataCollection__w_gyroscope_time","DataCollection__w_gyroscope_x","DataCollection__w_gyroscope_y","DataCollection__w_gyroscope_z"
"ec26473c-96e2-40e6-9916-c322f9cac847","00b0wavehand","2023-03-27 17:21:30.27","0.7376661","-9.206455","-0.8047266","2023-03-27 17:21:30.271","-0.011413023","0.08647735","0.027329182","00b0ed5b-d450-4be9-a801-f708cc9a1d84","2023-03-27 17:21:30.258","0.9403793","11.684153","0.27517462","2023-03-27 17:21:30.444","0.01099","0.12699556","-0.34191114"
"","","2023-03-27 17:21:30.29","0.91010743","-9.172925","-0.8143067","2023-03-27 17:21:30.291","0.009892266","0.096064724","0.03318814","","2023-03-27 17:21:30.444","0.40917268","12.1866455","-0.22492532","2023-03-27 17:21:30.444","-0.5360678","0.18072446","-0.035412222"
"","","2023-03-27 17:21:30.31","0.8095166","-9.196876","-0.9867481","2023-03-27 17:21:30.311","0.033328082","0.07103101","0.023068124","","2023-03-27 17:21:30.444","0.485743","12.466606","-0.35174492","2023-03-27 17:21:30.444","-0.7009178","0.39564002","0.3858711"
"","","2023-03-27 17:21:30.332","0.71371585","-9.187295","-1.3220508","2023-03-27 17:21:30.332","0.04930705","0.03800781","0.018807067","","2023-03-27 17:21:30.444","0.94755775","12.457035","-0.1794617","2023-03-27 17:21:30.445","-0.7815111","0.48844448","0.7754056"
"","","2023-03-27 17:21:30.352","0.7759864","-9.086704","-1.2741505","2023-03-27 17:21:30.352","0.030664923","0.0108435685","0.019872332","","2023-03-27 17:21:30.444","1.4548361","12.244074","0.17467605","2023-03-27 17:21:30.445","-0.80593336","0.5372889","1.1454023"
"","","2023-03-27 17:21:30.372","0.8861573","-9.134604","-1.1687696","2023-03-27 17:21:30.372","0.014685957","-0.007798559","0.0193397","","2023-03-27 17:21:30.444","1.6845472","12.019148","0.51445687","2023-03-27 17:21:30.445","-0.72534","0.6899278","1.5300523"
"","","2023-03-27 17:21:30.392","1.1112891","-9.278306","-1.2406201","2023-03-27 17:21:30.392","0.01575122","-0.009929088","0.017741803","","2023-03-27 17:21:30.444","1.7802601","11.988042","0.75613195","2023-03-27 17:21:30.445","-0.5482789","0.9048434","1.9330189"
"","","2023-03-27 17:21:30.411","1.092129","-9.177715","-1.2502003","2023-03-27 17:21:30.411","0.01575122","-0.0067332955","0.006023894","","2023-03-27 17:21:30.445","1.847259","11.870793","0.9020941","2023-03-27 17:21:30.445","-0.4713489","1.1038845","2.2688246"
"","","2023-03-27 17:21:30.434","0.85741705","-9.077125","-0.9963282","2023-03-27 17:21:30.435","0.008827002","0.021496214","-0.0062266467","","2023-03-27 17:21:30.445","2.009971","11.595618","1.0025927","2023-03-27 17:21:30.445","-0.5568267","1.2809457","2.4458857"
"","","2023-03-27 17:21:30.452","0.6227051","-9.148975","-0.7185059","2023-03-27 17:21:30.452","0.0136189535","0.0119080525","-0.011022525","","2023-03-27 17:21:30.445","2.2995026","11.219945","1.0767702","2023-03-27 17:21:30.445","-0.8718734","1.3688656","2.5081623"
"","","2023-03-27 17:21:30.479","0.3784131","-9.235196","-0.9580079","2023-03-27 17:21:30.479","0.033858977","-0.038159374","-0.0062288344","","2023-03-27 17:21:30.445","2.6871397","10.736595","1.1772687","2023-03-27 17:21:30.486","-1.240649","1.3627601","2.7120879"
"","","2023-03-27 17:21:30.494","0.45026368","-9.153765","-1.2166699","2023-03-27 17:21:30.495","0.0391853","-0.040822536","0.009750132","","2023-03-27 17:21:30.445","3.0053852","10.068997","1.2155539","2023-03-27 17:21:30.487","-1.2687345","1.5386001","3.075979"
"","","2023-03-27 17:21:30.518","0.82388675","-9.139395","-0.9963282","2023-03-27 17:21:30.518","0.013086322","-0.09621629","0.010815397","","2023-03-27 17:21:30.445","3.2207394","9.327223","1.1653047","2023-03-27 17:21:30.534","-1.1551712","1.8792901","3.3763723"
"","","2023-03-27 17:21:30.534","1.0346485","-9.158555","-0.6945557","2023-03-27 17:21:30.535","0.0050968383","-0.14681634","-0.007294099","","2023-03-27 17:21:30.445","3.266203","8.590233","1.1437693","2023-03-27 17:21:30.536","-1.394509","2.177241","3.535117"
"","","2023-03-27 17:21:30.559","1.1927198","-9.096285","-0.7376661","2023-03-27 17:21:30.559","0.02693476","-0.1377616","-0.020077273","","2023-03-27 17:21:30.445","3.211168","7.84128","0.9523434","2023-03-27 17:21:30.536","-1.9818634","2.3249958","3.603499"
"","","2023-03-27 17:21:30.576","1.1496094","-9.177715","-0.9244776","2023-03-27 17:21:30.576","0.023206335","-0.09515103","-0.037654135","","2023-03-27 17:21:30.445","3.0819557","7.223932","0.6867401","2023-03-27 17:21:30.584","-2.8549578","2.2028844","3.6743236"
"","","2023-03-27 17:21:30.602","0.87178713","-9.172925","-0.852627","2023-03-27 17:21:30.602","-0.0098168645","-0.037094112","-0.04830678","","2023-03-27 17:21:30.445","2.9312077","6.597012","0.5910272","2023-03-27 17:21:30.635","-3.535117","2.2663822","4.0931644"
"","","2023-03-27 17:21:30.616","0.64186525","-9.0004835","-0.7376661","2023-03-27 17:21:30.616","-0.029524256","-0.009397237","-0.044045724","","2023-03-27 17:21:30.445","2.7302105","6.099305","0.5886344","2023-03-27 17:21:30.635","-3.823299","2.5521224","4.547418"
"","","2023-03-27 17:21:30.638","0.5221143","-9.148975","-0.78556645","2023-03-27 17:21:30.638","-0.047633752","-0.02431094","-0.032860447","","2023-03-27 17:21:30.445","2.5579274","5.8935223","0.47856453","2023-03-27 17:21:30.68","-3.9808223","2.284699","4.6194634"
"","","2023-03-27 17:21:30.663","0.6658155","-9.350157","-0.6179151","2023-03-27 17:21:30.663","-0.07533063","-0.0067340764","-0.017414112","","2023-03-27 17:21:30.445","2.469393","5.663811","0.4235296","2023-03-27 17:21:30.684","-4.3862314","1.3578756","4.5645137"
"","","2023-03-27 17:21:30.679","0.96758795","-9.431587","-0.07664063","2023-03-27 17:21:30.68","-0.07799379","0.026821753","-0.0099572595","","2023-03-27 17:21:30.445","2.4622145","5.4843497","0.47377887","2023-03-27 17:21:30.684","-4.834379","0.56293225","4.913751"
"","","2023-03-27 17:21:30.703","1.0250684","-9.249566","0.05269043","2023-03-27 17:21:30.703","-0.024197934","0.014571212","-0.018479375","","2023-03-27 17:21:30.486","2.440679","4.9292145","0.41874397","2023-03-27 17:21:30.733","-4.700057","0.21491556","5.25322"
"","","2023-03-27 17:21:30.718","0.7185059","-9.081915","-0.488584","2023-03-27 17:21:30.718","0.029065289","0.010842787","-0.030729916","","2023-03-27 17:21:30.487","2.3832514","4.141976","0.41874397","2023-03-27 17:21:30.78","-4.18719","-0.24422224","5.4278393"
"","","2023-03-27 17:21:30.738","0.60354495","-9.158555","-1.1543995","2023-03-27 17:21:30.738","0.021075806","0.057181794","-0.023273066","","2023-03-27 17:21:30.487","2.2205393","3.2973096","0.5694918","2023-03-27 17:21:30.78","-3.6840923","-1.3432223","5.2129235"
"","","2023-03-27 17:21:30.764","0.86220706","-9.263936","-1.2358302","2023-03-27 17:21:30.765","-0.022067405","0.10245553","-0.006761467","","2023-03-27 17:21:30.487","1.9573289","2.57707","0.9236295","2023-03-27 17:21:30.826","-3.2542613","-2.0502455","5.381437"
"","","2023-03-27 17:21:30.781","1.0059083","-9.273516","-0.75203615","2023-03-27 17:21:30.781","-0.052960075","0.04972494","-0.008359363","","2023-03-27 17:21:30.535","1.5481563","2.0003998","1.1940185","2023-03-27 17:21:30.882","-2.59364","-1.8878379","5.7734137"
"","","2023-03-27 17:21:30.802","0.92926764","-9.230406","-0.6322852","2023-03-27 17:21:30.802","-0.040709533","0.02362596","-0.012620421","","2023-03-27 17:21:30.535","1.1102697","1.8520447","1.2179468","2023-03-27 17:21:30.883","-2.1210701","-1.6741434","5.72579"
"","","2023-03-27 17:21:30.819","0.81909674","-9.283096","-0.57001466","2023-03-27 17:21:30.819","-0.021534773","0.07688918","-0.011022525","","2023-03-27 17:21:30.535","0.62931234","1.7300107","1.0336994","2023-03-27 17:21:30.975","-2.6827812","-1.9379034","4.951606"
"","","2023-03-27 17:21:30.842","0.6227051","-9.244776","-0.6514453","2023-03-27 17:21:30.843","-0.005023174","0.08061761","-0.010489892","","2023-03-27 17:21:30.583","0.15314065","1.4644074","0.85902333","2023-03-27 17:21:30.976","-4.1810846","-2.6424847","3.8037612"
"","","2023-03-27 17:21:30.857","0.5221143","-9.158555","-0.9436377","2023-03-27 17:21:30.858","0.018412644","0.04919231","-0.003033041","","2023-03-27 17:21:30.584","-0.2943172","1.012164","0.94277215","2023-03-27 17:21:30.976","-4.3471556","-3.8733647","2.8512945"
"","","2023-03-27 17:21:30.879","0.613125","-9.129815","-1.0585986","2023-03-27 17:21:30.881","0.004564206","-0.016321456","0.003891178","","2023-03-27 17:21:30.584","-0.634098","0.45942193","0.72741807","2023-03-27 17:21:31.021","-2.856179","-3.9356413","2.4654233"
"","","2023-03-27 17:21:30.902","0.6706055","-9.206455","-0.9532178","2023-03-27 17:21:30.903","-0.022067405","-0.052007813","0.006021707","","2023-03-27 17:21:30.584","-0.8542377","-0.29192436","0.45942193","2023-03-27 17:21:31.021","-0.5873545","-3.1260445","2.0050645"
"","","2023-03-27 17:21:30.924","0.8095166","-9.196876","-0.79993653","2023-03-27 17:21:30.924","-0.016741082","-0.028039366","0.0070869713","","2023-03-27 17:21:30.584","-0.91405827","-1.1246266","0.45224348","2023-03-27 17:21:31.022","0.22468445","-2.4226844","1.50563"
"","","2023-03-27 17:21:30.944","1.0202783","-9.239985","-0.6658155","2023-03-27 17:21:30.947","0.0077599995","-0.03230042","0.001760649","","2023-03-27 17:21:30.634","-0.92602235","-1.9142581","0.849452","2023-03-27 17:21:31.07","0.05250778","-1.9891901","0.9182756"
"","","2023-03-27 17:21:30.965","0.8861573","-9.2256155","-0.7759864","2023-03-27 17:21:30.966","0.022146458","-0.14415078","-0.010483111","","2023-03-27 17:21:30.635","-1.0695918","-2.8163524","1.6941184","2023-03-27 17:21:31.07","-0.43960002","-1.6851335","0.2075889"
"","","2023-03-27 17:21:30.98","0.4742139","-9.206455","-0.8909473","2023-03-27 17:21:30.981","0.026940148","-0.16918449","-0.010483111","","2023-03-27 17:21:30.636","-1.5002998","-3.7567315","2.8713872","2023-03-27 17:21:31.119","-0.8865267","-1.0342811","-0.5690378"
"","","2023-03-27 17:21:30.999","0.63707525","-9.235196","-1.1208692","2023-03-27 17:21:31.0","0.06156124","-0.06106014","0.02094219","","2023-03-27 17:21:30.68","-2.1870399","-4.5678983","3.8739798","2023-03-27 17:21:31.169","-0.99886894","0.20026223","-1.3188001"
"","","2023-03-27 17:21:31.02","1.0777588","-9.1202345","-1.3651612","2023-03-27 17:21:31.02","0.07807284","-0.028569575","0.045975905","","2023-03-27 17:21:30.681","-2.9216363","-5.151747","4.165904","2023-03-27 17:21:31.169","-0.38953447","1.0391656","-1.7938123"
"","","2023-03-27 17:21:31.044","1.22625","-9.081915","-1.2549903","2023-03-27 17:21:31.044","0.05623492","-0.095681235","0.051302224","","2023-03-27 17:21:30.681","-3.4313076","-5.5513487","3.6107693","2023-03-27 17:21:31.17","0.41151446","1.6020979","-2.1381657"
"","","2023-03-27 17:21:31.06","1.2454102","-9.134604","-0.98195803","2023-03-27 17:21:31.06","0.030135943","-0.13030234","0.04970433","","2023-03-27 17:21:30.682","-3.5988052","-5.9820566","2.8833513","2023-03-27 17:21:31.221","0.91094893","2.0600145","-2.5277002"
"","","2023-03-27 17:21:31.081","1.1639795","-9.292676","-1.092129","2023-03-27 17:21:31.081","0.045582276","-0.070114896","0.035855893","","2023-03-27 17:21:30.732","-3.5294135","-6.5252275","2.239682","2023-03-27 17:21:31.222","0.97688895","2.0575724","-2.8708324"
"","","2023-03-27 17:21:31.104","1.2933106","-9.125025","-1.6334034","2023-03-27 17:21:31.104","0.072746515","0.018834691","0.024670618","","2023-03-27 17:21:30.733","-3.4193435","-7.283752","2.024328","2023-03-27 17:21:31.271","0.9317078","1.7266512","-2.977069"
"","","2023-03-27 17:21:31.121","1.465752","-8.943004","-1.6860938","2023-03-27 17:21:31.121","0.040255953","0.017236795","0.017746398","","2023-03-27 17:21:30.733","-3.5294135","-8.221739","2.2588246","2023-03-27 17:21:31.315","0.78029","1.7962545","-3.1345923"
"","","2023-03-27 17:21:31.145","1.1975098","-9.072334","-1.3843213","2023-03-27 17:21:31.146","-0.016735693","-0.07171279","0.0054958556","","2023-03-27 17:21:30.734","-4.0677986","-9.336794","2.9766715","2023-03-27 17:21:31.365","0.117226675","2.119849","-3.5839612"
"","","2023-03-27 17:21:31.169","0.9867481","-9.201666","-1.0346485","2023-03-27 17:21:31.17","-0.033247296","-0.03496116","-0.0040915245","","2023-03-27 17:21:30.778","-5.046463","-10.923235","3.9696927","2023-03-27 17:21:31.369","-1.0794623","2.0807734","-4.217718"
"","","2023-03-27 17:21:31.189","1.0011182","-9.249566","-0.68018556","2023-03-27 17:21:31.19","-0.022594647","0.030019969","-0.009417847","","2023-03-27 17:21:30.779","-6.1184473","-12.480963","4.3118663","2023-03-27 17:21:31.413","-1.5764545","1.8389934","-4.425307"
"","","2023-03-27 17:21:31.207","0.847837","-9.230406","-0.63707525","2023-03-27 17:21:31.208","-0.01833359","0.002855726","-0.015276802","","2023-03-27 17:21:30.78","-6.759724","-13.442878","3.6514473","2023-03-27 17:21:31.414","-0.5458367","2.416579","-4.3666935"
"","","2023-03-27 17:21:31.232","0.6849756","-9.172925","-0.7089258","2023-03-27 17:21:31.232","-0.011942005","-0.012590609","-0.013678904","","2023-03-27 17:21:30.78","-6.759724","-13.799408","2.507678","2023-03-27 17:21:31.463","1.0379444","3.3580556","-4.5437546"
