DataCollection,,,,,,,,,,,,,,,,,,
collect_uuid,label,p_accelerometer_time,p_accelerometer_x,p_accelerometer_y,p_accelerometer_z,p_gyroscope_time,p_gyroscope_x,p_gyroscope_y,p_gyroscope_z,participant_uuid,w_accelerometer_time,w_accelerometer_x,w_accelerometer_y,w_accelerometer_z,w_gyroscope_time,w_gyroscope_x,w_gyroscope_y,w_gyroscope_z
d2641f8e-0601-42ba-8a50-103320e68580,19e9jacket,2023-04-08 16:58:38.378,9.987232,0.5556446,1.1496094,2023-04-08 16:58:25.199,-0.662866,0.16284172,0.037653785,19e9829a-249f-45f8-87cf-de996e7f8241,2023-04-08 16:58:25.218,-9.461221,-4.3118663,2.4717858,2023-04-08 16:58:25.22,1.1222012,-0.24910668,-0.82425004
,,2023-04-08 16:58:38.401,10.092612,0.50774413,1.1352394,2023-04-08 16:58:25.449,-0.46792257,0.13567747,0.023272714,,2023-04-08 16:58:25.264,-9.8727865,-3.711268,1.9932213,2023-04-08 16:58:25.221,1.1612767,-0.34679556,-1.0477134
,,2023-04-08 16:58:38.421,10.2315235,0.50774413,1.1783496,2023-04-08 16:58:25.449,-0.57817745,0.10105639,0.034990624,,2023-04-08 16:58:25.274,-10.19821,-3.0819557,1.4500505,2023-04-08 16:58:25.272,1.1283067,-0.44326335,-1.2772822
,,2023-04-08 16:58:38.443,10.188414,0.53169435,1.21188,2023-04-08 16:58:25.449,-0.5030763,0.107447974,0.05363275,,2023-04-08 16:58:25.305,-10.660025,-2.6249263,0.94277215,2023-04-08 16:58:25.276,1.020849,-0.50676113,-1.4983034
,,2023-04-08 16:58:38.46,10.169253,0.6610254,1.1304493,2023-04-08 16:58:25.449,-0.16219166,0.08188163,0.052567486,,2023-04-08 16:58:25.351,-10.980663,-2.3162522,0.5096712,2023-04-08 16:58:25.305,0.8914111,-0.56171113,-1.7058923
,,2023-04-08 16:58:38.481,10.188414,0.7951465,0.9580079,2023-04-08 16:58:25.449,0.1478003,0.09732796,0.051502224,,2023-04-08 16:58:25.351,-11.129018,-2.0697916,0.34456646,2023-04-08 16:58:25.306,0.75953114,-0.60933447,-1.8976067
,,2023-04-08 16:58:38.498,10.159674,0.847837,0.9484278,2023-04-08 16:58:25.449,0.2921436,0.07122899,0.041914843,,2023-04-08 16:58:25.396,-11.090733,-2.0386848,0.06460621,2023-04-08 16:58:25.351,0.62154555,-0.61544,-2.0612357
,,2023-04-08 16:58:38.522,10.174044,0.82388675,1.0394385,2023-04-08 16:58:25.449,0.32303628,0.06696793,0.02913167,,2023-04-08 16:58:25.442,-10.738988,-2.0027926,0.13160525,2023-04-08 16:58:25.351,0.48111778,-0.6142189,-2.2102113
,,2023-04-08 16:58:38.538,10.197993,0.7711963,1.0633887,2023-04-08 16:58:25.449,0.255392,0.09306691,0.026468508,,2023-04-08 16:58:25.442,-10.176675,-2.062613,0.44985065,2023-04-08 16:58:25.352,0.36633334,-0.5702589,-2.2883623
,,2023-04-08 16:58:38.559,10.226734,0.79035646,0.9580079,2023-04-08 16:58:25.449,0.15738767,0.07762057,0.009956909,,2023-04-08 16:58:25.535,-9.932607,-2.132005,0.5886344,2023-04-08 16:58:25.442,0.32237336,-0.5470578,-2.31889
,,2023-04-08 16:58:38.582,10.188414,0.8430469,0.89573735,2023-04-08 16:58:25.449,0.14407188,0.07122899,-0.019870497,,2023-04-08 16:58:25.536,-9.920643,-1.9238294,0.7585248,2023-04-08 16:58:25.442,0.34069002,-0.53484666,-2.3249958
,,2023-04-08 16:58:38.597,10.241104,0.8047266,0.9053174,2023-04-08 16:58:25.449,0.16910559,0.07335951,-0.03052314,,2023-04-08 16:58:25.537,-9.736395,-1.8041883,0.8207382,2023-04-08 16:58:25.442,0.37366003,-0.4383789,-2.2468445
,,2023-04-08 16:58:38.62,10.317744,0.6993457,0.96758795,2023-04-08 16:58:25.449,0.033816993,0.0153025985,-0.036382094,,2023-04-08 16:58:25.578,-9.217153,-1.5577276,0.95473623,2023-04-08 16:58:25.443,0.43471557,-0.30405667,-2.1003113
,,2023-04-08 16:58:38.64,10.303374,0.6227051,0.9867481,2023-04-08 16:58:25.449,-0.22823806,0.0025194255,-0.04437158,,2023-04-08 16:58:25.627,-8.705089,-1.4548361,1.2083755,2023-04-08 16:58:25.488,0.54461557,-0.19049335,-1.9147023
,,2023-04-08 16:58:38.659,10.269844,0.6179151,0.9963282,2023-04-08 16:58:25.471,-0.3624614,-0.0049374257,-0.05395896,,2023-04-08 16:58:25.628,-8.477771,-1.4596218,1.4524434,2023-04-08 16:58:25.536,0.6447467,-0.07448778,-1.691239
,,2023-04-08 16:58:38.676,10.255474,0.6658155,0.9196875,2023-04-08 16:58:25.489,-0.33742768,-0.0028068968,-0.06407897,,2023-04-08 16:58:25.671,-8.700303,-1.5529419,1.5768701,2023-04-08 16:58:25.536,0.6899278,0.035412222,-1.4665545
,,2023-04-08 16:58:38.705,10.188414,0.7759864,0.89573735,2023-04-08 16:58:25.513,-0.39122352,0.0302163,-0.05875265,,2023-04-08 16:58:25.672,-8.898908,-1.7659031,1.8185452,2023-04-08 16:58:25.536,0.72534,0.12089001,-1.24187
,,2023-04-08 16:58:38.716,10.226734,0.8334668,0.8047266,2023-04-08 16:58:25.533,-0.46792257,0.037140522,-0.041708417,,2023-04-08 16:58:25.713,-8.9108715,-1.7874385,1.9381863,2023-04-08 16:58:25.537,0.7314456,0.2075889,-1.02207
,,2023-04-08 16:58:38.738,10.212363,0.91010743,0.7807764,2023-04-08 16:58:25.552,-0.38270143,0.025422612,-0.036382094,,2023-04-08 16:58:25.714,-9.133404,-1.8544376,1.9070797,2023-04-08 16:58:25.625,0.70946556,0.30039334,-0.80104893
,,2023-04-08 16:58:38.756,10.221944,0.97237796,0.8334668,2023-04-08 16:58:25.573,-0.30813292,0.01317207,-0.027327348,,2023-04-08 16:58:25.76,-9.580862,-1.942972,1.8376877,2023-04-08 16:58:25.626,0.68138003,0.3834289,-0.59834445
,,2023-04-08 16:58:38.777,10.269844,0.98195803,0.7185059,2023-04-08 16:58:25.591,-0.42424673,-0.011861645,-0.017739967,,2023-04-08 16:58:25.803,-9.973285,-2.2061825,1.7084754,2023-04-08 16:58:25.627,0.6459678,0.46646446,-0.38831335
,,2023-04-08 16:58:38.796,10.217154,0.93405765,0.62749517,2023-04-08 16:58:25.611,-0.5653943,0.019563656,-0.01614207,,2023-04-08 16:58:25.804,-10.303494,-2.7326035,1.8711873,2023-04-08 16:58:25.628,0.58979666,0.53118336,-0.15019667
,,2023-04-08 16:58:38.815,10.236314,0.90052736,0.7185059,2023-04-08 16:58:25.628,-0.46153098,0.10531745,-0.019337865,,2023-04-08 16:58:25.848,-10.470992,-3.1226335,1.9214365,2023-04-08 16:58:25.628,0.5250778,0.5775856,0.091583334
,,2023-04-08 16:58:38.837,10.284214,0.847837,0.8286768,2023-04-08 16:58:25.649,-0.36565718,0.06803319,-0.008685219,,2023-04-08 16:58:25.85,-10.633704,-3.117848,1.8376877,2023-04-08 16:58:25.671,0.4921078,0.6007867,0.34313223
,,2023-04-08 16:58:38.858,10.289004,0.81909674,0.7711963,2023-04-08 16:58:25.671,-0.5195879,0.011574173,-0.0054894257,,2023-04-08 16:58:25.893,-10.652846,-3.0460632,1.7587247,2023-04-08 16:58:25.672,0.44448447,0.6105556,0.56659555
,,2023-04-08 16:58:38.876,10.250684,0.8286768,0.6610254,2023-04-08 16:58:25.693,-0.6447565,0.02275945,-0.0022936324,,2023-04-08 16:58:25.945,-10.403993,-3.0963125,1.8376877,2023-04-08 16:58:25.672,0.37854445,0.61788225,0.7631945
,,2023-04-08 16:58:38.898,10.226734,0.85741705,0.6993457,2023-04-08 16:58:25.716,-0.4519436,0.020628922,-0.016674703,,2023-04-08 16:58:25.945,-10.253245,-3.3427732,1.8496519,2023-04-08 16:58:25.713,0.27475002,0.62643003,0.9304867
,,2023-04-08 16:58:38.915,10.2315235,0.852627,0.7568262,2023-04-08 16:58:25.731,-0.25167388,0.014769966,-0.036382094,,2023-04-08 16:58:25.985,-10.10489,-3.4073794,1.7994026,2023-04-08 16:58:25.714,0.14531223,0.62765115,1.0733567
,,2023-04-08 16:58:38.935,10.260264,0.87178713,0.7424561,2023-04-08 16:58:25.749,-0.27883813,0.019031024,-0.04064315,,2023-04-08 16:58:26.029,-9.84168,-3.3619158,1.7563318,2023-04-08 16:58:25.759,-0.0024422223,0.6191034,1.1710457
