DataCollection,,,,,,,,,,,,,,,,,,
collect_uuid,label,p_accelerometer_time,p_accelerometer_x,p_accelerometer_y,p_accelerometer_z,p_gyroscope_time,p_gyroscope_x,p_gyroscope_y,p_gyroscope_z,participant_uuid,w_accelerometer_time,w_accelerometer_x,w_accelerometer_y,w_accelerometer_z,w_gyroscope_time,w_gyroscope_x,w_gyroscope_y,w_gyroscope_z
49fe975b-b908-45f5-b322-41cf5212ad09,19e9jacket2,2023-04-08 17:00:32.534,10.183623,0.68018556,-1.0873389,2023-04-08 17:00:32.537,-0.14141901,0.031281568,0.037653785,19e9829a-249f-45f8-87cf-de996e7f8241,2023-04-08 17:00:32.528,5.9988065,-2.9240294,6.2931237,2023-04-08 17:00:32.817,-0.1526389,0.15141778,-0.037854444
,,2023-04-08 17:00:32.554,10.437495,0.53169435,-1.5423926,2023-04-08 17:00:32.556,-0.0982758,0.039803684,0.056295913,,2023-04-08 17:00:32.817,5.2666025,-3.4887354,6.3050876,2023-04-08 17:00:32.817,-0.46646446,0.18316667,-0.017095556
,,2023-04-08 17:00:32.573,10.370435,0.28261232,-1.2741505,2023-04-08 17:00:32.574,-0.12757057,0.017433127,0.062154863,,2023-04-08 17:00:32.817,5.663811,-4.3070807,5.7140603,2023-04-08 17:00:32.817,-0.5739222,0.1856089,-0.007326667
,,2023-04-08 17:00:32.592,10.308165,-0.0047900393,-1.0154883,2023-04-08 17:00:32.593,-0.11958109,0.03394473,0.049904324,,2023-04-08 17:00:32.817,5.8480587,-4.666004,5.5633125,2023-04-08 17:00:32.817,-0.46402225,0.24300112,0.02075889
,,2023-04-08 17:00:32.612,10.442286,-0.29698244,-1.2502003,2023-04-08 17:00:32.613,-0.10573265,0.03873842,0.035523254,,2023-04-08 17:00:32.817,6.108876,-4.510471,5.814559,2023-04-08 17:00:32.817,-0.31871,0.33580557,0.007326667
,,2023-04-08 17:00:32.632,10.552457,-0.53169435,-1.336421,2023-04-08 17:00:32.632,-0.1760401,-0.001209,0.027533771,,2023-04-08 17:00:32.817,5.9700923,-4.503292,6.5108705,2023-04-08 17:00:32.817,-0.21613668,0.40540892,0.028085556
,,2023-04-08 17:00:32.653,10.600357,-0.613125,-1.4992822,2023-04-08 17:00:32.653,-0.28682762,-0.043819577,0.021674817,,2023-04-08 17:00:32.817,5.869594,-5.0919266,6.7166533,2023-04-08 17:00:32.817,-0.1526389,0.44204223,0.070824444
,,2023-04-08 17:00:32.676,10.389595,-0.5748047,-1.5519727,2023-04-08 17:00:32.676,-0.4269099,-0.070451185,0.005695851,,2023-04-08 17:00:32.817,5.7427745,-5.3982077,7.1186476,2023-04-08 17:00:32.817,-0.21247335,0.48356003,0.058613338
,,2023-04-08 17:00:32.69,10.346485,-0.3544629,-1.3939015,2023-04-08 17:00:32.691,-0.55048054,-0.06832066,-0.0076199546,,2023-04-08 17:00:32.817,5.072784,-3.1322048,8.7266245,2023-04-08 17:00:32.817,-0.24422224,0.5006556,-0.02198
,,2023-04-08 17:00:32.711,10.427916,-0.1341211,-1.0298585,2023-04-08 17:00:32.711,-0.60001534,-0.07524488,-0.023598922,,2023-04-08 17:00:32.818,4.962714,-4.2281175,8.128419,2023-04-08 17:00:32.817,-0.23079,0.48966557,-0.07570889
,,2023-04-08 17:00:32.731,10.514136,-0.05748047,-0.8861573,2023-04-08 17:00:32.732,-0.5691227,-0.086430155,-0.049165267,,2023-04-08 17:00:32.839,4.465007,-3.6011982,7.192825,2023-04-08 17:00:32.817,-0.15996556,0.5140878,-0.14653334
,,2023-04-08 17:00:32.752,10.399176,-0.16765137,-1.3220508,2023-04-08 17:00:32.752,-0.52171844,-0.13276917,-0.068340026,,2023-04-08 17:00:32.84,4.4147577,-4.493721,7.1282187,2023-04-08 17:00:32.817,-0.10501556,0.4481478,-0.11844778
,,2023-04-08 17:00:32.771,10.150093,-0.033530276,-1.8489552,2023-04-08 17:00:32.771,-0.57604694,-0.15940078,-0.07366635,,2023-04-08 17:00:32.885,3.871587,-4.208975,7.02772,2023-04-08 17:00:32.818,-0.23079,0.36389112,0.0012211112
,,2023-04-08 17:00:32.792,10.030342,0.3065625,-1.3124708,2023-04-08 17:00:32.792,-0.67085546,-0.11146387,-0.06887266,,2023-04-08 17:00:32.887,4.220939,-5.209175,6.606583,2023-04-08 17:00:32.818,-0.03052778,0.33336335,0.08792
,,2023-04-08 17:00:32.813,10.121353,0.3544629,-1.0250684,2023-04-08 17:00:32.814,-0.62078804,-0.048080634,-0.05875265,,2023-04-08 17:00:32.931,4.8933225,-6.5228343,6.2117677,2023-04-08 17:00:32.818,0.22102112,0.32237336,0.25277
,,2023-04-08 17:00:32.832,10.442286,0.14370118,-1.4034815,2023-04-08 17:00:32.832,-0.52171844,-0.06299434,-0.045969475,,2023-04-08 17:00:32.974,4.101298,-4.007978,7.243074,2023-04-08 17:00:32.839,0.51775116,0.36877558,0.5580478
,,2023-04-08 17:00:32.853,10.293795,-0.15328126,-1.3603711,2023-04-08 17:00:32.854,-0.49561945,-0.10773545,-0.02785998,,2023-04-08 17:00:32.974,2.2660031,-2.1272194,9.530613,2023-04-08 17:00:32.84,0.7167922,0.4493689,0.7534256
,,2023-04-08 17:00:32.873,9.996812,-0.21555176,-1.3795313,2023-04-08 17:00:32.873,-0.48603207,-0.083767,-0.0070873224,,2023-04-08 17:00:33.018,3.8644085,-5.1924253,6.8985076,2023-04-08 17:00:32.84,0.6655056,0.5092034,0.59468114
,,2023-04-08 17:00:32.889,9.666299,-0.244292,-1.4705421,2023-04-08 17:00:32.89,-0.45567203,-0.036362726,0.016348496,,2023-04-08 17:00:33.069,4.206582,-5.474778,6.7764735,2023-04-08 17:00:32.886,0.44082114,0.5226356,0.3834289
,,2023-04-08 17:00:32.914,9.311836,-0.39757326,-1.6286134,2023-04-08 17:00:32.914,-0.4317036,0.03447736,0.076003306,,2023-04-08 17:00:33.07,5.168497,-6.1567326,7.690532,2023-04-08 17:00:32.887,0.21003112,0.5324045,0.19293556
,,2023-04-08 17:00:32.931,9.168135,-0.37362307,-1.6669337,2023-04-08 17:00:32.931,-0.42637727,0.123426944,0.14471287,,2023-04-08 17:00:33.108,5.3718867,-6.946364,8.126026,2023-04-08 17:00:32.93,0.16851334,0.53484666,-0.0061055557
,,2023-04-08 17:00:32.953,9.144185,-0.28740236,-2.1076174,2023-04-08 17:00:32.953,-0.42744252,0.12662272,0.21075925,,2023-04-08 17:00:33.155,5.8217373,-8.3174515,7.999206,2023-04-08 17:00:32.931,0.21613668,0.6337567,-0.14287001
,,2023-04-08 17:00:32.975,9.388477,-0.2682422,-2.7686427,2023-04-08 17:00:32.976,-0.46366152,0.0302163,0.24271719,,2023-04-08 17:00:33.156,4.3070807,-7.2789664,7.5254273,2023-04-08 17:00:32.931,0.14775445,0.71435004,-0.089141116
,,2023-04-08 17:00:32.991,9.891431,0.05269043,-3.4679885,2023-04-08 17:00:32.992,-0.55048054,-0.16898815,0.22780348,,2023-04-08 17:00:33.2,4.101298,-6.4343,8.111669,2023-04-08 17:00:32.974,-0.12577444,0.6191034,0.10867889
,,2023-04-08 17:00:33.012,9.982442,0.8430469,-4.0811133,2023-04-08 17:00:33.018,-0.68417126,-0.3916284,0.18679081,,2023-04-08 17:00:33.201,5.103891,-8.662018,6.326623,2023-04-08 17:00:32.975,-0.62154555,0.31871,0.15874445
,,2023-04-08 17:00:33.031,10.063872,1.6860938,-4.3397756,2023-04-08 17:00:33.032,-0.77471876,-0.4012158,0.163355,,2023-04-08 17:00:33.245,4.249653,-6.0514483,9.334401,2023-04-08 17:00:33.018,-0.59346,0.33214223,0.17584
,,2023-04-08 17:00:33.052,10.638678,1.8106349,-4.502637,2023-04-08 17:00:33.053,-0.77471876,-0.2643293,0.15909393,,2023-04-08 17:00:33.29,5.2642097,-8.403593,9.480363,2023-04-08 17:00:33.019,-0.3809867,0.44570556,0.25521225
,,2023-04-08 17:00:33.069,11.060201,1.9160157,-4.176914,2023-04-08 17:00:33.07,-0.74702185,-0.018253231,0.12234231,,2023-04-08 17:00:33.292,-32.487354,18.750158,-0.6221339,2023-04-08 17:00:33.069,-0.23445335,0.45425335,0.27108666
,,2023-04-08 17:00:33.093,10.950029,2.4141798,-3.0033545,2023-04-08 17:00:33.093,-0.646887,0.1692333,0.09464543,,2023-04-08 17:00:33.334,10.107283,-4.26401,10.097712,2023-04-08 17:00:33.069,-0.11478445,0.48111778,0.2955089
,,2023-04-08 17:00:33.108,10.049502,2.548301,-2.7686427,2023-04-08 17:00:33.109,-0.28256655,0.18840806,0.10529808,,2023-04-08 17:00:33.379,8.60459,-5.245067,8.829515,2023-04-08 17:00:33.07,-0.15141778,0.5482789,0.3394689
,,2023-04-08 17:00:33.133,9.580078,2.078877,-4.148174,2023-04-08 17:00:33.133,0.054589648,0.15538487,0.15270235,,2023-04-08 17:00:33.423,7.3579297,-4.9579287,8.114061,2023-04-08 17:00:33.154,-0.16362889,0.5360678,0.31382558
,,2023-04-08 17:00:33.151,9.125025,2.179468,-4.478687,2023-04-08 17:00:33.152,-0.041816786,0.21503969,0.13991916,,2023-04-08 17:00:33.654,5.9964137,-3.9098723,8.760123,2023-04-08 17:00:33.155,-0.07204556,0.59346,0.25399113
,,2023-04-08 17:00:33.17,8.689131,2.7207422,-3.3051271,2023-04-08 17:00:33.171,-0.2223791,0.39347148,0.11328756,,2023-04-08 17:00:33.656,7.1808605,-4.517649,8.750552,2023-04-08 17:00:33.156,0.035412222,0.7021389,0.26498112
,,2023-04-08 17:00:33.191,9.091495,1.7387843,-1.6813037,2023-04-08 17:00:33.191,-0.2255749,0.51704216,0.13832127,,2023-04-08 17:00:33.657,7.446464,-4.24726,8.977871,2023-04-08 17:00:33.157,0.091583334,0.72778225,0.29673
,,2023-04-08 17:00:33.205,10.815908,0.047900394,-1.0633887,2023-04-08 17:00:33.206,-0.107330546,0.53515166,0.14684339,,2023-04-08 17:00:33.658,-1.0432707,-4.6325045,6.867401,2023-04-08 17:00:33.159,-0.0012211112,0.65451556,0.31260446
,,2023-04-08 17:00:33.229,13.230088,-0.34967285,-0.5987549,2023-04-08 17:00:33.23,0.09613496,0.4153094,0.09251491,,2023-04-08 17:00:33.659,2.2061825,-3.0652058,8.082955,2023-04-08 17:00:33.2,-0.18927222,0.5470578,0.38831335
,,2023-04-08 17:00:33.247,12.21939,0.13891114,-0.47900394,2023-04-08 17:00:33.247,0.1941393,0.016900497,0.035523254,,2023-04-08 17:00:33.66,2.024328,-2.7828526,8.01117,2023-04-08 17:00:33.202,-0.12943779,0.6887067,0.24300112
,,2023-04-08 17:00:33.269,10.001602,0.1820215,-2.5866213,2023-04-08 17:00:33.269,0.27456674,-0.31599465,0.03658852,,2023-04-08 17:00:33.66,2.012364,-3.1274192,7.850851,2023-04-08 17:00:33.244,-0.22590557,0.5482789,0.042738892
,,2023-04-08 17:00:33.292,9.081915,0.19160157,-3.894302,2023-04-08 17:00:33.294,0.27563202,-0.37724733,0.0009021611,,2023-04-08 17:00:33.66,2.0338993,-3.2733815,7.7001033,2023-04-08 17:00:33.245,-0.20881,0.30894113,-0.17950334
,,2023-04-08 17:00:33.309,8.698711,0.1580713,-3.2141163,2023-04-08 17:00:33.31,0.030621197,-0.3564747,-0.06514423,,2023-04-08 17:00:33.743,2.1176481,-2.9766715,7.4153576,2023-04-08 17:00:33.291,0.13676445,0.14164889,-0.23567446
,,2023-04-08 17:00:33.335,8.598121,0.3065625,-1.6860938,2023-04-08 17:00:33.336,-0.13609268,-0.2094682,-0.16155067,,2023-04-08 17:00:33.744,2.225325,-2.6488547,7.350751,2023-04-08 17:00:33.291,-0.081814446,-3.350729,-0.4481478
,,2023-04-08 17:00:33.348,9.0148535,0.4981641,-0.30177248,2023-04-08 17:00:33.348,-0.002402,-0.016122703,-0.20469388,,2023-04-08 17:00:33.745,2.1870399,-2.4382863,7.365108,2023-04-08 17:00:33.334,0.007326667,-5.39609,-0.46035892
,,2023-04-08 17:00:33.367,10.653048,0.9963282,-1.2789404,2023-04-08 17:00:33.368,0.3065247,0.12662272,-0.14024538,,2023-04-08 17:00:33.783,2.1224337,-2.2301106,7.2502527,2023-04-08 17:00:33.334,0.1856089,-2.9343302,-0.3284789
,,2023-04-08 17:00:33.383,11.821816,1.6286134,-2.6105714,2023-04-08 17:00:33.384,0.40399638,0.03873842,-0.12426641,,2023-04-08 17:00:33.785,2.143969,-2.065006,7.2023964,2023-04-08 17:00:33.335,0.7302245,-0.62643003,-0.59468114
,,2023-04-08 17:00:33.408,11.05541,2.1698878,-1.705254,2023-04-08 17:00:33.408,0.2953394,-0.14022602,-0.18764965,,2023-04-08 17:00:33.787,2.3162522,-1.9645073,7.1425757,2023-04-08 17:00:33.38,1.1551712,0.15141778,-0.6020078
,,2023-04-08 17:00:33.425,9.70941,2.327959,-0.6322852,2023-04-08 17:00:33.425,0.37150583,-0.12051862,-0.22227074,,2023-04-08 17:00:33.789,2.4717858,-1.9094725,7.164111,2023-04-08 17:00:33.604,1.2443123,0.35412225,-0.32970002
