DataCollection,,,,,,,,,,,,,,,,,,
collect_uuid,label,p_accelerometer_time,p_accelerometer_x,p_accelerometer_y,p_accelerometer_z,p_gyroscope_time,p_gyroscope_x,p_gyroscope_y,p_gyroscope_z,participant_uuid,w_accelerometer_time,w_accelerometer_x,w_accelerometer_y,w_accelerometer_z,w_gyroscope_time,w_gyroscope_x,w_gyroscope_y,w_gyroscope_z
1925f515-ced2-44e9-9349-9236f53e655d,19e9sweep,2023-04-08 16:53:19.634,10.140513,2.3519094,0.8095166,2023-04-08 16:53:19.635,-0.08282947,0.0153025985,0.0019674255,19e9829a-249f-45f8-87cf-de996e7f8241,2023-04-08 16:53:19.623,0.62931234,-4.941179,8.886943,2023-04-08 16:53:19.832,0.023201112,-0.039075557,0.029306669
,,2023-04-08 16:53:19.651,10.174044,2.3998096,0.68018556,2023-04-08 16:53:19.651,-0.08868842,0.0030520577,0.0014347933,,2023-04-08 16:53:19.832,0.63170516,-4.8526444,8.863015,2023-04-08 16:53:19.832,0.02198,-0.059834447,0.07326667
,,2023-04-08 16:53:19.672,10.145303,2.4093897,0.68976563,2023-04-08 16:53:19.672,-0.10679792,-0.00014373555,0.0025000577,,2023-04-08 16:53:19.832,0.7106683,-4.881358,8.79123,2023-04-08 16:53:19.833,-0.018316668,-0.06349778,0.09036223
,,2023-04-08 16:53:19.697,10.111773,2.4045997,0.7424561,2023-04-08 16:53:19.697,-0.10040633,0.012106806,0.0035653221,,2023-04-08 16:53:19.832,0.7322037,-4.847859,8.724232,2023-04-08 16:53:19.833,-0.048844445,-0.07326667,0.12089001
,,2023-04-08 16:53:19.711,10.154883,2.4093897,0.7089258,2023-04-08 16:53:19.712,-0.09508001,0.015835231,0.0046305866,,2023-04-08 16:53:19.833,0.7369894,-4.8239303,8.673982,2023-04-08 16:53:19.833,-0.16973445,-0.30161446,0.048844445
,,2023-04-08 16:53:19.732,10.178833,2.3758595,0.6610254,2023-04-08 16:53:19.732,-0.1131895,0.020096289,0.0035653221,,2023-04-08 16:53:19.833,0.7465607,-4.725825,8.669196,2023-04-08 16:53:19.833,-0.04029667,-0.034191113,0.15019667
,,2023-04-08 16:53:19.752,10.140513,2.3423293,0.76161623,2023-04-08 16:53:19.752,-0.12863582,0.023292081,-0.00016310334,,2023-04-08 16:53:19.833,0.7848458,-4.642076,8.673982,2023-04-08 16:53:19.833,-0.02075889,0.15874445,0.20514667
,,2023-04-08 16:53:19.77,10.126143,2.2656887,0.8669971,2023-04-08 16:53:19.771,-0.11798319,0.02488998,0.0003695289,,2023-04-08 16:53:19.833,0.85902333,-4.666004,8.666803,2023-04-08 16:53:19.833,-0.08059334,0.22468445,0.23811668
,,2023-04-08 16:53:19.791,10.164463,2.1698878,0.8286768,2023-04-08 16:53:19.791,-0.093482114,0.012639438,-0.00016310334,,2023-04-08 16:53:19.833,0.8781659,-4.7114677,8.645268,2023-04-08 16:53:19.848,-0.5421733,0.11600556,0.23445335
,,2023-04-08 16:53:19.812,10.159674,2.1219873,0.7759864,2023-04-08 16:53:19.812,-0.07324208,0.01796576,-0.0012283678,,2023-04-08 16:53:19.833,0.863809,-4.699504,8.671589,2023-04-08 16:53:19.851,-0.86088336,-0.31871,-0.11234222
,,2023-04-08 16:53:19.83,10.178833,2.1028273,0.74724615,2023-04-08 16:53:19.831,-0.060991544,0.02488998,-0.00069573557,,2023-04-08 16:53:19.833,-0.55752766,-3.7160535,8.851051,2023-04-08 16:53:19.851,-0.21369445,-0.20881,0.039075557
,,2023-04-08 16:53:19.85,10.145303,2.078877,0.81909674,2023-04-08 16:53:19.85,-0.056197856,0.035542626,0.0014347933,,2023-04-08 16:53:19.833,0.8877372,-4.8526444,8.58784,2023-04-08 16:53:19.853,0.20270446,-0.2185789,0.09768889
,,2023-04-08 16:53:19.874,10.102193,1.9782863,0.9196875,2023-04-08 16:53:19.874,-0.023174657,0.02275945,0.00303269,,2023-04-08 16:53:19.833,1.4787644,-4.3525443,8.30788,2023-04-08 16:53:19.854,0.2625389,-0.23079,0.06594
,,2023-04-08 16:53:19.892,10.111773,1.9399658,0.76161623,2023-04-08 16:53:19.893,0.030621197,0.01796576,0.0009021611,,2023-04-08 16:53:19.833,1.4117653,-4.2951164,8.207381,2023-04-08 16:53:19.854,0.13920668,-0.16729222,0.10379445
,,2023-04-08 16:53:19.915,10.135723,1.9782863,0.7089258,2023-04-08 16:53:19.915,0.02636014,0.009976277,0.0009021611,,2023-04-08 16:53:19.833,1.4763715,-4.6037908,8.16431,2023-04-08 16:53:19.894,0.039075557,-0.07204556,0.14042778
,,2023-04-08 16:53:19.933,10.159674,1.9591261,0.9244776,2023-04-08 16:53:19.933,0.014642231,0.006780483,0.0014347933,,2023-04-08 16:53:19.833,1.4524434,-4.7569313,8.262417,2023-04-08 16:53:19.94,0.024422223,-0.019537779,0.13310112
,,2023-04-08 16:53:19.953,10.116563,1.9926564,0.9244776,2023-04-08 16:53:19.953,0.06684019,0.016900497,0.00303269,,2023-04-08 16:53:19.833,1.3495519,-4.974678,8.396415,2023-04-08 16:53:19.94,0.057392225,-0.0012211112,0.10745778
,,2023-04-08 16:53:19.973,10.111773,2.059717,0.64186525,2023-04-08 16:53:19.973,0.1099834,0.009443644,0.005163219,,2023-04-08 16:53:19.847,1.0695918,-4.974678,8.695518,2023-04-08 16:53:20.028,0.09646778,0.0061055557,0.064718895
,,2023-04-08 16:53:19.99,10.111773,2.1267774,0.6945557,2023-04-08 16:53:19.991,0.087612845,-0.00014373555,0.00782638,,2023-04-08 16:53:19.849,0.6963114,-4.924429,9.025727,2023-04-08 16:53:20.034,0.09646778,0.012211111,0.026864445
,,2023-04-08 16:53:20.011,10.130933,2.1459377,0.82388675,2023-04-08 16:53:20.012,0.079623364,-0.012926909,0.007293748,,2023-04-08 16:53:19.849,0.124426775,-4.8358946,9.329616,2023-04-08 16:53:20.034,0.07570889,0.029306669,0.0061055557
,,2023-04-08 16:53:20.03,10.140513,2.198628,0.6945557,2023-04-08 16:53:20.03,0.11104866,-0.012394277,0.005695851,,2023-04-08 16:53:19.849,-0.634098,-4.7832522,9.456435,2023-04-08 16:53:20.073,0.07326667,0.048844445,-0.02198
,,2023-04-08 16:53:20.052,10.174044,2.2369483,0.52690434,2023-04-08 16:53:20.052,0.10785287,-0.014524806,0.0046305866,,2023-04-08 16:53:19.851,-0.7393822,-5.3336015,9.492328,2023-04-08 16:53:20.117,0.070824444,0.06105556,-0.028085556
,,2023-04-08 16:53:20.073,10.188414,2.2273684,0.5748047,2023-04-08 16:53:20.074,0.06630756,-0.009731116,0.0046305866,,2023-04-08 16:53:19.852,1.1557333,-6.7645097,9.466006,2023-04-08 16:53:20.118,0.05250778,0.05250778,-0.03297
,,2023-04-08 16:53:20.092,10.145303,2.208208,0.76161623,2023-04-08 16:53:20.092,0.051393855,-0.005470058,0.0035653221,,2023-04-08 16:53:19.853,1.7922242,-6.946364,9.303294,2023-04-08 16:53:20.166,0.06716111,0.05617111,-0.023201112
,,2023-04-08 16:53:20.118,10.140513,2.2177882,0.6993457,2023-04-08 16:53:20.119,0.0604486,-0.008665851,0.0040979544,,2023-04-08 16:53:19.853,1.2323036,-6.1567326,9.233903,2023-04-08 16:53:20.167,0.10013112,0.04029667,-0.02198
,,2023-04-08 16:53:20.132,10.150093,2.2225783,0.6849756,2023-04-08 16:53:20.132,0.06737282,-0.00600269,0.0067611155,,2023-04-08 16:53:19.854,0.9403793,-5.599205,9.272188,2023-04-08 16:53:20.168,0.07204556,0.034191113,-0.035412222
,,2023-04-08 16:53:20.152,10.178833,2.2656887,0.6179151,2023-04-08 16:53:20.152,0.072699144,-0.001209,0.00782638,,2023-04-08 16:53:19.854,1.146162,-5.4317074,9.183653,2023-04-08 16:53:20.212,0.048844445,0.045181114,-0.04396
1925f515-ced2-44e9-9349-9236f53e655d,19e9sweep,2023-04-08 16:52:23.541,9.800421,2.208208,1.8585353,2023-04-08 16:52:23.799,0.56059027,-0.06832066,-0.013478909,19e9829a-249f-45f8-87cf-de996e7f8241,2023-04-08 16:52:23.552,4.101298,-9.176475,0.02871387,2023-04-08 16:52:23.598,-0.37732336,-0.8034911,-0.29673
,,2023-04-08 16:52:23.8,10.063872,2.4045997,1.6908839,2023-04-08 16:52:23.8,0.6628556,-0.046482738,0.0040979544,,2023-04-08 16:52:23.601,3.8261235,-9.322437,-0.40917268,2023-04-08 16:52:23.6,-0.28329778,-0.75831,-0.24300112
,,2023-04-08 16:52:23.8,10.241104,2.6441016,1.4465919,2023-04-08 16:52:23.8,0.75074,-0.0022742646,0.013152703,,2023-04-08 16:52:23.602,3.7710886,-8.755338,-0.6963114,2023-04-08 16:52:23.601,-0.25521225,-0.72778225,-0.18438779
,,2023-04-08 16:52:23.8,10.154883,2.8500733,1.1352394,2023-04-08 16:52:23.8,0.7613926,0.064837396,0.005695851,,2023-04-08 16:52:23.649,3.76391,-8.350951,-1.0815558,2023-04-08 16:52:23.602,-0.26009667,-0.6887067,-0.123332225
,,2023-04-08 16:52:23.8,10.049502,2.9410841,0.74724615,2023-04-08 16:52:23.8,0.6532683,0.04406474,-0.009217851,,2023-04-08 16:52:23.685,3.591627,-7.84128,-1.538585,2023-04-08 16:52:23.645,-0.2185789,-0.61788225,0
,,2023-04-08 16:52:23.8,10.150093,2.9458742,0.8334668,2023-04-08 16:52:23.8,0.4439438,-0.05393959,-0.031588405,,2023-04-08 16:52:23.686,3.842873,-8.085348,-1.9501505,2023-04-08 16:52:23.651,-0.21369445,-0.5421733,0.10867889
,,2023-04-08 16:52:23.8,10.159674,2.907554,0.8143067,2023-04-08 16:52:23.8,0.24793516,-0.13596496,-0.06887266,,2023-04-08 16:52:23.73,4.338187,-9.006584,-2.1822543,2023-04-08 16:52:23.685,-0.25643334,-0.5104245,0.22102112
,,2023-04-08 16:52:23.8,10.035132,2.8692336,0.8143067,2023-04-08 16:52:23.8,0.06630756,-0.1796408,-0.10296112,,2023-04-08 16:52:23.731,4.914858,-11.119447,-1.4907285,2023-04-08 16:52:23.685,-0.29306668,-0.37854445,0.32481557
,,2023-04-08 16:52:23.8,10.063872,2.6536818,1.2645704,2023-04-08 16:52:23.8,-0.06418734,-0.23769772,-0.12426641,,2023-04-08 16:52:23.776,5.1014977,-11.947364,-0.863809,2023-04-08 16:52:23.686,-0.31260446,-0.2955089,0.35290113
,,2023-04-08 16:52:23.8,10.212363,2.4333398,1.5232325,2023-04-08 16:52:23.8,-0.0034672644,-0.21639243,-0.12266851,,2023-04-08 16:52:23.821,4.5942197,-9.552148,-0.3062813,2023-04-08 16:52:23.731,-0.37854445,-0.19537778,0.2625389
,,2023-04-08 16:52:23.8,10.135723,2.3710694,1.1735597,2023-04-08 16:52:23.801,0.11957078,-0.123181775,-0.10722218,,2023-04-08 16:52:23.822,4.017549,-9.487542,-0.39720857,2023-04-08 16:52:23.731,-0.3174889,-0.036633335,0.16485001
