DataCollection,,,,,,,,,,,,,,,,,,
collect_uuid,label,p_accelerometer_time,p_accelerometer_x,p_accelerometer_y,p_accelerometer_z,p_gyroscope_time,p_gyroscope_x,p_gyroscope_y,p_gyroscope_z,participant_uuid,w_accelerometer_time,w_accelerometer_x,w_accelerometer_y,w_accelerometer_z,w_gyroscope_time,w_gyroscope_x,w_gyroscope_y,w_gyroscope_z
0d7a7f63-dfb0-4780-ad54-8f188c4e8299,2e2aputonoff,2023-04-29 12:26:41.068,9.72857,2.8309133,1.7771046,2023-04-29 12:26:41.068,0.024935493,-0.0042988462,-0.013269678,2e2ac25e-545d-4830-b9cd-d301e440dc18,2023-04-29 12:26:41.493,-0.59581286,-2.0937197,9.236296,2023-04-29 12:26:41.055,-0.06227667,0.0036633336,0.013432222
,,2023-04-29 12:26:41.084,9.69504,2.8644435,1.8154249,2023-04-29 12:26:41.085,0.014282849,-0.003233582,-0.013269678,,2023-04-29 12:26:41.493,-0.55513483,-2.1894326,9.255438,2023-04-29 12:26:41.494,-0.009768889,0.03052778,0.012211111
,,2023-04-29 12:26:41.103,9.70941,2.907554,1.8345851,2023-04-29 12:26:41.104,0.01694601,-0.009092537,-0.011139149,,2023-04-29 12:26:41.494,-0.5024927,-2.2851455,9.267402,2023-04-29 12:26:41.494,-0.015874445,0.037854444,0.008547778
,,2023-04-29 12:26:41.126,9.7621,2.9171338,1.8010547,2023-04-29 12:26:41.128,0.025468126,-0.012820962,-0.012204414,,2023-04-29 12:26:41.494,-0.4642076,-2.2468605,9.281759,2023-04-29 12:26:41.494,0.01099,0.04151778,-0.0012211112
,,2023-04-29 12:26:41.147,9.79084,2.8931837,1.7387843,2023-04-29 12:26:41.147,0.023870228,-0.0101578,-0.012737045,,2023-04-29 12:26:41.494,-0.45942193,-2.160719,9.265009,2023-04-29 12:26:41.494,0.034191113,0.037854444,-0.007326667
,,2023-04-29 12:26:41.17,9.75731,2.8500733,1.7579445,2023-04-29 12:26:41.17,0.010554424,-0.004831479,-0.014867576,,2023-04-29 12:26:41.494,-0.38285163,-2.1224337,9.286545,2023-04-29 12:26:41.494,0.009768889,0.023201112,-0.0048844446
,,2023-04-29 12:26:41.184,9.68067,2.8404932,1.7914747,2023-04-29 12:26:41.185,-0.0016961182,-0.006429375,-0.018063368,,2023-04-29 12:26:41.494,-0.30149564,-2.1343977,9.303294,2023-04-29 12:26:41.495,0.0024422223,0.014653334,-0.0012211112
,,2023-04-29 12:26:41.211,9.6758795,2.8692336,1.8681153,2023-04-29 12:26:41.211,0.0020323074,-0.013886225,-0.016998103,,2023-04-29 12:26:41.494,-0.31585258,-2.1511476,9.343972,2023-04-29 12:26:41.495,-0.0024422223,0.01099,0.012211111
,,2023-04-29 12:26:41.226,9.74773,2.8644435,1.8250049,2023-04-29 12:26:41.227,0.030261815,-0.011223066,-0.018063368,,2023-04-29 12:26:41.494,-0.33738798,-2.0889342,9.35833,2023-04-29 12:26:41.495,0,0.01099,0.01099
,,2023-04-29 12:26:41.249,9.800421,2.8788135,1.7292042,2023-04-29 12:26:41.25,0.04570815,-0.004831479,-0.022857059,,2023-04-29 12:26:41.495,-0.36131623,-1.9501505,9.365508,2023-04-29 12:26:41.496,0.024422223,0.028085556,0.01099
,,2023-04-29 12:26:41.267,9.74294,2.926714,1.7339942,2023-04-29 12:26:41.268,0.027066022,-0.0096251685,-0.025520219,,2023-04-29 12:26:41.495,-0.37567315,-1.8568304,9.341579,2023-04-29 12:26:41.496,0.034191113,0.04029667,0.007326667
,,2023-04-29 12:26:41.297,9.68067,2.926714,1.7483643,2023-04-29 12:26:41.297,0.0041628364,-0.014418858,-0.022857059,,2023-04-29 12:26:41.495,-0.41635114,-1.9262222,9.365508,2023-04-29 12:26:41.496,0.0024422223,0.03174889,0.01099
0d7a7f63-dfb0-4780-ad54-8f188c4e8299,2e2aputonoff,2023-04-29 12:23:07.379,9.536968,3.9278321,1.2837305,2023-04-29 12:23:07.38,-0.059207108,0.009019041,0.025625449,2e2ac25e-545d-4830-b9cd-d301e440dc18,2023-04-29 12:25:42.725,-1.8113668,0.0741775,9.245867,2023-04-29 12:25:42.682,0.04151778,0.048844445,-0.023201112
,,2023-04-29 12:25:42.614,9.704619,2.1698878,2.4860303,2023-04-29 12:25:42.695,-0.019538518,0.01643222,0.023222808,,2023-04-29 12:25:42.726,-1.7300107,0.10767702,9.327223,2023-04-29 12:25:42.728,0.042738892,0.058613338,-0.03052778
,,2023-04-29 12:25:42.667,9.690249,2.1507277,2.4525,2023-04-29 12:25:42.715,-0.025930103,0.015899587,0.022157544,,2023-04-29 12:25:42.728,-1.6821543,0.11964113,9.346365,2023-04-29 12:25:42.772,0.03174889,0.046402223,-0.014653334
,,2023-04-29 12:25:42.668,9.72378,2.1363575,2.4141798,2023-04-29 12:25:42.738,-0.018473253,0.010573266,0.02109228,,2023-04-29 12:25:42.729,-1.6630118,0.1363909,9.360723,2023-04-29 12:25:42.773,-0.0024422223,0.02075889,0.0012211112
