DataCollection,,,,,,,,,,,,,,,,,,
collect_uuid,label,p_accelerometer_time,p_accelerometer_x,p_accelerometer_y,p_accelerometer_z,p_gyroscope_time,p_gyroscope_x,p_gyroscope_y,p_gyroscope_z,participant_uuid,w_accelerometer_time,w_accelerometer_x,w_accelerometer_y,w_accelerometer_z,w_gyroscope_time,w_gyroscope_x,w_gyroscope_y,w_gyroscope_z
42953b30-e545-4a23-8d83-cbbfa5a2123b,2e2aputonoff1,2023-04-29 12:26:47.164,9.929751,2.1124072,1.9878663,2023-04-29 12:26:47.167,-0.05014831,-0.005361394,0.0107157,2e2ac25e-545d-4830-b9cd-d301e440dc18,2023-04-29 12:26:47.541,-1.7156538,-1.5625132,9.891929,2023-04-29 12:26:47.541,0.054950003,-0.11356334,0.05250778
,,2023-04-29 12:28:41.025,9.64714,1.695674,2.6536818,2023-04-29 12:28:41.105,-0.16224246,0.008449237,-0.02201043,,2023-04-29 12:26:47.541,-1.6917256,-1.5361922,9.741181,2023-04-29 12:26:47.541,0.007326667,-0.06349778,0.05006556
,,2023-04-29 12:28:41.078,9.560919,1.6525636,3.271597,2023-04-29 12:28:41.134,-0.15372033,0.0047208117,-0.01668411,,2023-04-29 12:26:47.541,-1.5768701,-1.3112668,9.631111,2023-04-29 12:28:41.106,0.029306669,0.013432222,-0.02198
,,2023-04-29 12:28:41.079,9.513018,1.6286134,3.295547,2023-04-29 12:28:41.148,-0.110044494,-0.00752973,-0.015618844,,2023-04-29 12:26:47.541,-1.4763715,-1.0887343,9.5353985,2023-04-29 12:28:41.152,0.0012211112,0.029306669,-0.034191113
,,2023-04-29 12:28:41.104,9.560919,1.6525636,3.0225148,2023-04-29 12:28:41.176,-0.06636865,-0.010192891,-0.016151477,,2023-04-29 12:26:47.541,-1.3519448,-1.0025927,9.489935,2023-04-29 12:28:41.154,-0.06105556,0.017095556,-0.048844445
,,2023-04-29 12:28:41.105,9.632769,1.6765138,2.8692336,2023-04-29 12:28:41.194,-0.06849918,0.0009923859,-0.019347271,,2023-04-29 12:28:41.106,0.9284152,-2.053042,8.975478,2023-04-29 12:28:41.199,-0.018316668,0.039075557,-0.06716111
,,2023-04-29 12:28:41.133,9.627979,1.6669337,2.955454,2023-04-29 12:28:41.21,-0.08234762,0.006318708,-0.029999914,,2023-04-29 12:28:41.107,0.8853444,-2.115255,8.953942,2023-04-29 12:28:41.201,0.007326667,0.047623336,-0.06594
,,2023-04-29 12:28:41.147,9.68067,1.6334034,2.9458742,2023-04-29 12:28:41.228,-0.09300026,0.008449237,-0.03692413,,2023-04-29 12:28:41.15,0.86859465,-2.120041,8.961121,2023-04-29 12:28:41.241,-0.05250778,0.028085556,-0.054950003
,,2023-04-29 12:28:41.176,9.69504,1.6094532,2.8261232,2023-04-29 12:28:41.26,-0.09939185,0.027091365,-0.037456762,,2023-04-29 12:28:41.152,0.8877372,-2.036292,9.083155,2023-04-29 12:28:41.242,-0.042738892,0.025643334,-0.03052778
,,2023-04-29 12:28:41.193,9.704619,1.6238233,2.7782228,2023-04-29 12:28:41.277,-0.105250806,0.051592447,-0.035858866,,2023-04-29 12:28:41.153,0.8997013,-1.9214365,9.138189,2023-04-29 12:28:41.287,-0.034191113,0.024422223,-0.013432222
,,2023-04-29 12:28:41.21,9.69504,1.6238233,2.7734327,2023-04-29 12:28:41.292,-0.1068487,0.05691877,-0.035858866,,2023-04-29 12:28:41.153,0.91166544,-1.8951155,9.188439,2023-04-29 12:28:41.287,-0.059834447,0.015874445,-0.0024422223
,,2023-04-29 12:28:41.227,9.685459,1.6286134,2.806963,2023-04-29 12:28:41.319,-0.10045711,0.05425561,-0.03692413,,2023-04-29 12:28:41.199,0.95712906,-1.9884356,9.186047,2023-04-29 12:28:41.33,-0.05617111,0.01099,0.0012211112
,,2023-04-29 12:28:41.259,9.68067,1.6286134,2.7973828,2023-04-29 12:28:41.328,-0.09246763,0.04786402,-0.037989397,,2023-04-29 12:28:41.2,0.96909314,-2.0482562,9.190832,2023-04-29 12:28:41.333,-0.028085556,0.02198,-0.0036633336
,,2023-04-29 12:28:41.277,9.704619,1.6334034,2.8500733,2023-04-29 12:28:41.362,-0.08288025,0.044135597,-0.038522027,,2023-04-29 12:28:41.201,0.93320084,-2.0267208,9.152547,2023-04-29 12:28:41.376,-0.028085556,0.025643334,0.0024422223
,,2023-04-29 12:28:41.292,9.68067,1.6094532,2.8836036,2023-04-29 12:28:41.377,-0.053052846,0.03348295,-0.038522027,,2023-04-29 12:28:41.201,0.87338024,-1.9525433,9.128618,2023-04-29 12:28:41.376,-0.04151778,0.02075889,0.01099
,,2023-04-29 12:28:41.319,9.690249,1.5567628,2.9458742,2023-04-29 12:28:41.394,-0.019497018,0.02549347,-0.037989397,,2023-04-29 12:28:41.24,0.8255238,-1.7754744,9.193225,2023-04-29 12:28:41.42,-0.06960334,-0.0024422223,0.018316668
,,2023-04-29 12:28:41.327,9.671089,1.5711329,2.926714,2023-04-29 12:28:41.411,-0.0003222567,0.015373456,-0.039054662,,2023-04-29 12:28:41.24,0.8422736,-1.6606189,9.288938,2023-04-29 12:28:41.464,-0.098910004,-0.019537779,0.023201112
,,2023-04-29 12:28:41.361,9.618399,1.6573536,2.9458742,2023-04-29 12:28:41.442,0.009265123,-0.0043339366,-0.038522027,,2023-04-29 12:28:41.242,0.863809,-1.7228323,9.3511505,2023-04-29 12:28:41.465,-0.12211112,-0.039075557,0.029306669
,,2023-04-29 12:28:41.377,9.642349,1.6813037,3.0081446,2023-04-29 12:28:41.459,0.019917767,-0.027237121,-0.037989397,,2023-04-29 12:28:41.242,0.8925229,-1.8185452,9.396614,2023-04-29 12:28:41.511,-0.089141116,-0.017095556,0.03297
,,2023-04-29 12:28:41.394,9.632769,1.695674,2.9889846,2023-04-29 12:28:41.479,0.038559895,-0.035226606,-0.039054662,,2023-04-29 12:28:41.286,0.8805587,-1.8113668,9.410972,2023-04-29 12:28:41.6,-0.045181114,0.013432222,0.037854444
,,2023-04-29 12:28:41.41,9.627979,1.7435743,2.9841945,2023-04-29 12:28:41.498,0.0534736,-0.03629187,-0.041717824,,2023-04-29 12:28:41.287,0.8709874,-1.7443677,9.379865,2023-04-29 12:28:41.645,-0.08059334,0.017095556,0.035412222
,,2023-04-29 12:28:41.442,9.632769,1.7531544,2.9698243,2023-04-29 12:28:41.515,0.059865184,-0.039487664,-0.045978878,,2023-04-29 12:28:41.287,0.87338024,-1.6845472,9.399008,2023-04-29 12:28:41.648,-0.10135223,0.02198,0.03052778
,,2023-04-29 12:28:41.459,9.64714,1.7627344,2.9650342,2023-04-29 12:28:41.53,0.052940965,-0.03629187,-0.0513052,,2023-04-29 12:28:41.287,0.8327023,-1.6893328,9.41815,2023-04-29 12:28:41.691,-0.05372889,0.05372889,0.017095556
,,2023-04-29 12:28:41.478,9.666299,1.8106349,2.931504,2023-04-29 12:28:41.551,0.038559895,-0.026704488,-0.05343573,,2023-04-29 12:28:41.33,0.849452,-1.7682959,9.446864,2023-04-29 12:28:41.734,-0.008547778,0.068382226,-0.0024422223
,,2023-04-29 12:28:41.498,9.64714,1.839375,2.907554,2023-04-29 12:28:41.576,0.036429368,-0.023508696,-0.0513052,,2023-04-29 12:28:41.332,0.8709874,-1.861616,9.456435,2023-04-29 12:28:41.828,0.025643334,0.07693,-0.012211111
,,2023-04-29 12:28:41.515,9.623189,1.8441651,2.9219239,2023-04-29 12:28:41.594,0.042288322,-0.026171857,-0.046511512,,2023-04-29 12:28:41.333,0.9499506,-1.9669002,9.454042,2023-04-29 12:28:41.829,0.042738892,0.064718895,-0.014653334
,,2023-04-29 12:28:41.53,9.6615095,1.8345851,2.8883936,2023-04-29 12:28:41.625,0.042829543,-0.026170513,-0.03265469,,2023-04-29 12:28:41.333,0.9834501,-2.0075781,9.461221,2023-04-29 12:28:41.83,0.034191113,0.04151778,-0.0024422223
,,2023-04-29 12:28:41.55,9.6615095,1.829795,2.8979738,2023-04-29 12:28:41.632,0.0337748,-0.02084419,-0.021469412,,2023-04-29 12:28:41.375,1.0025927,-2.0027926,9.4229355,2023-04-29 12:28:41.874,0.034191113,0.02198,-0.0012211112
