DataCollection,,,,,,,,,,,,,,,,,,
collect_uuid,label,p_accelerometer_time,p_accelerometer_x,p_accelerometer_y,p_accelerometer_z,p_gyroscope_time,p_gyroscope_x,p_gyroscope_y,p_gyroscope_z,participant_uuid,w_accelerometer_time,w_accelerometer_x,w_accelerometer_y,w_accelerometer_z,w_gyroscope_time,w_gyroscope_x,w_gyroscope_y,w_gyroscope_z
e31ed22f-bfcd-4345-bd0c-65b7f2393931,2e2awash,2023-04-29 12:32:18.368,9.354947,4.272715,1.8202149,2023-04-29 12:32:18.372,-0.04643139,-0.0682138,-0.018057672,2e2ac25e-545d-4830-b9cd-d301e440dc18,2023-04-29 12:32:18.364,-0.086141616,-8.006385,3.4169507,2023-04-29 12:32:18.654,3.1455824,0.40907225,-0.15874445
,,2023-04-29 12:32:18.384,9.436378,4.1721244,1.6573536,2023-04-29 12:32:18.385,-0.09010723,-0.06448537,-0.011133454,,2023-04-29 12:32:18.655,-0.526421,-6.6448684,5.515456,2023-04-29 12:32:18.655,2.8146613,0.2185789,0.07448778
,,2023-04-29 12:32:18.404,9.436378,4.018843,1.839375,2023-04-29 12:32:18.406,-0.12739149,-0.04637588,-0.009002925,,2023-04-29 12:32:18.655,0.22013968,-7.8436728,5.1924253,2023-04-29 12:32:18.655,3.1883214,0.18072446,0.32725778
,,2023-04-29 12:32:18.425,9.422008,3.923042,1.9734962,2023-04-29 12:32:18.425,-0.104488306,-0.022407427,-0.009002925,,2023-04-29 12:32:18.655,1.2251252,-6.587441,7.7312098,2023-04-29 12:32:18.655,3.8562691,0.27963445,0.37610224
,,2023-04-29 12:32:18.442,9.469908,3.8703518,1.9734962,2023-04-29 12:32:18.443,-0.065595776,-0.0101552615,-0.010590697,,2023-04-29 12:32:18.655,1.2705889,-6.0083776,5.953343,2023-04-29 12:32:18.655,3.6328056,0.40052447,0.28574002
,,2023-04-29 12:32:18.463,9.465117,3.8224514,1.949546,2023-04-29 12:32:18.464,-0.042692587,-0.0042963075,-0.013253857,,2023-04-29 12:32:18.655,1.4141582,-4.3812585,9.52822,2023-04-29 12:32:18.655,2.4959512,0.24666445,0.36633334
,,2023-04-29 12:32:18.494,9.383687,3.8464015,1.9830762,2023-04-29 12:32:18.495,-0.019256772,0.009019498,-0.014851755,,2023-04-29 12:32:18.656,1.7898313,-3.0819557,6.9128647,2023-04-29 12:32:18.655,1.3749712,-0.26376,0.29062447
,,2023-04-29 12:32:18.502,9.335787,3.8847218,1.9447559,2023-04-29 12:32:18.503,-0.010202023,0.005823705,-0.0111233285,,2023-04-29 12:32:18.656,1.0313065,-4.3238306,5.3503513,2023-04-29 12:32:18.655,-0.05617111,-0.27108666,0.48600224
,,2023-04-29 12:32:18.523,9.350157,3.903882,1.9734962,2023-04-29 12:32:18.523,-0.022452565,-0.01654685,-0.005797007,,2023-04-29 12:32:18.656,0.11006984,-7.1688967,6.6927247,2023-04-29 12:32:18.655,-1.1417389,-0.42861003,0.6972545
,,2023-04-29 12:32:18.544,9.436378,3.9182522,1.9639161,2023-04-29 12:32:18.545,-0.0096693905,-0.01707948,-0.0031338455,,2023-04-29 12:32:18.656,0.85902333,-8.303095,2.565106,2023-04-29 12:32:18.656,-3.25304,-0.78273225,0.7265611
,,2023-04-29 12:32:18.562,9.436378,4.018843,1.9160157,2023-04-29 12:32:18.563,0.020690646,0.0047584404,-0.0073949033,,2023-04-29 12:32:18.656,1.0169497,-9.150154,-0.5886344,2023-04-29 12:32:18.656,-5.292296,-1.4018356,0.8755367
,,2023-04-29 12:32:18.583,9.335787,4.1146436,1.839375,2023-04-29 12:32:18.584,0.03347382,0.025531098,-0.0111233285,,2023-04-29 12:32:18.678,0.38763726,-7.085148,-2.6488547,2023-04-29 12:32:18.656,-5.966349,-1.8548678,1.1392968
,,2023-04-29 12:32:18.604,9.359736,4.1050634,1.8010547,2023-04-29 12:32:18.605,0.014831692,0.020204775,-0.0047317417,,2023-04-29 12:32:18.724,-0.7585248,-8.310273,-6.1304116,2023-04-29 12:32:18.656,-5.524307,-1.5642434,1.1576134
,,2023-04-29 12:32:18.624,9.536968,3.9901028,1.7962648,2023-04-29 12:32:18.625,-0.0075388616,0.020737406,0.0021924768,,2023-04-29 12:32:18.725,-0.19860429,-11.600404,-8.255239,2023-04-29 12:32:18.656,-4.8612437,-1.0635878,1.0721356
,,2023-04-29 12:32:18.645,9.560919,3.8847218,1.8729054,2023-04-29 12:32:18.646,-0.0048757,0.05109744,0.0059209024,,2023-04-29 12:32:18.772,1.4548361,-10.671989,-8.056634,2023-04-29 12:32:18.656,-4.93451,-0.71435004,0.91583335
