DataCollection,,,,,,,,,,,,,,,,,,
collect_uuid,label,p_accelerometer_time,p_accelerometer_x,p_accelerometer_y,p_accelerometer_z,p_gyroscope_time,p_gyroscope_x,p_gyroscope_y,p_gyroscope_z,participant_uuid,w_accelerometer_time,w_accelerometer_x,w_accelerometer_y,w_accelerometer_z,w_gyroscope_time,w_gyroscope_x,w_gyroscope_y,w_gyroscope_z
3a3b6779-03b1-4982-8627-048fe9e43a8e,2e2awatchst,2023-04-29 12:08:13.092,9.963282,1.6860938,1.6717237,2023-04-29 12:08:13.326,0.014947054,0.012149936,0.004981055,2e2ac25e-545d-4830-b9cd-d301e440dc18,2023-04-29 12:08:13.108,1.7180467,-0.25603202,9.468399,2023-04-29 12:08:13.107,-0.03052778,-0.0024422223,0.012211111
,,2023-04-29 12:08:13.342,9.944121,1.7148341,1.6573536,2023-04-29 12:08:13.343,0.017075637,0.015878057,0.006044421,,2023-04-29 12:08:13.152,1.6965113,-0.2632105,9.475577,2023-04-29 12:08:13.107,-0.018316668,-0.0036633336,0.013432222
,,2023-04-29 12:08:13.343,9.963282,1.710044,1.6477735,2023-04-29 12:08:13.343,0.013347212,0.01641069,0.0071096853,,2023-04-29 12:08:13.153,1.6821543,-0.2943172,9.430114,2023-04-29 12:08:13.108,-0.0012211112,-0.0048844446,0.01099
,,2023-04-29 12:08:13.343,10.011182,1.6765138,1.6717237,2023-04-29 12:08:13.343,0.0064229937,0.014812793,0.010305479,,2023-04-29 12:08:13.198,1.6917256,-0.2536392,9.470792,2023-04-29 12:08:13.152,0.0061055557,-0.0012211112,0.008547778
,,2023-04-29 12:08:13.343,10.015972,1.6765138,1.6621436,2023-04-29 12:08:13.344,0.009086154,0.01428016,0.011370743,,2023-04-29 12:08:13.242,1.6965113,-0.2943172,9.432507,2023-04-29 12:08:13.152,0.013432222,0.0012211112,0.008547778
,,2023-04-29 12:08:13.344,9.996812,1.6908839,1.6477735,2023-04-29 12:08:13.344,0.017075637,0.0110843675,0.0097728465,,2023-04-29 12:08:13.243,1.6845472,-0.29192436,9.427721,2023-04-29 12:08:13.198,0.0012211112,0.0012211112,0.009768889
,,2023-04-29 12:08:13.344,9.972861,1.710044,1.6381935,2023-04-29 12:08:13.344,0.019206166,0.012149631,0.0076423176,,2023-04-29 12:08:13.287,1.68694,-0.24646074,9.410972,2023-04-29 12:08:13.198,-0.007326667,-0.0024422223,0.015874445
,,2023-04-29 12:08:13.344,9.972861,1.7339942,1.6717237,2023-04-29 12:08:13.344,0.018673534,0.015878057,0.0076423176,,2023-04-29 12:08:13.333,1.7180467,-0.28953153,9.396614,2023-04-29 12:08:13.242,-0.0036633336,-0.0024422223,0.025643334
,,2023-04-29 12:08:13.344,9.977652,1.695674,1.6381935,2023-04-29 12:08:13.344,0.006955626,0.015345425,0.0071096853,,2023-04-29 12:08:13.377,1.6965113,-0.3900301,9.485149,2023-04-29 12:08:13.243,0.0048844446,-0.007326667,0.02198
,,2023-04-29 12:08:13.344,9.982442,1.6525636,1.6908839,2023-04-29 12:08:13.344,-0.0031643864,0.006290677,0.0055117887,,2023-04-29 12:08:13.378,1.7180467,-0.26081768,9.413364,2023-04-29 12:08:13.244,0.0024422223,-0.012211111,0.02075889
,,2023-04-29 12:08:13.344,9.992022,1.6765138,1.6908839,2023-04-29 12:08:13.344,0.0058903615,-0.00010090973,0.0055117887,,2023-04-29 12:08:13.424,1.713261,-0.27517462,9.437292,2023-04-29 12:08:13.287,-0.012211111,-0.007326667,0.024422223
,,2023-04-29 12:08:13.344,9.987232,1.6813037,1.6621436,2023-04-29 12:08:13.344,0.01015142,0.006290677,0.00817495,,2023-04-29 12:08:13.424,1.7108682,-0.29910284,9.391829,2023-04-29 12:08:13.288,-0.018316668,-0.009768889,0.025643334
,,2023-04-29 12:08:13.344,10.001602,1.6908839,1.6813037,2023-04-29 12:08:13.344,0.0058903615,0.004160148,0.01083811,,2023-04-29 12:08:13.468,1.6893328,-0.31585258,9.394221,2023-04-29 12:08:13.333,-0.019537779,-0.01099,0.02198
,,2023-04-29 12:08:13.371,9.972861,1.6860938,1.6286134,2023-04-29 12:08:13.371,0.007488258,-0.0016988064,0.0097728465,,2023-04-29 12:08:13.512,1.7108682,-0.32542387,9.403793,2023-04-29 12:08:13.333,0,-0.0061055557,0.02075889
,,2023-04-29 12:08:13.39,9.948912,1.6765138,1.6429834,2023-04-29 12:08:13.396,0.0053577293,0.0009643547,0.00817495,,2023-04-29 12:08:13.513,1.7228323,-0.2847459,9.446864,2023-04-29 12:08:13.377,0.025643334,0,0.012211111
,,2023-04-29 12:08:13.413,9.972861,1.6381935,1.6860938,2023-04-29 12:08:13.413,0.0032272004,0.001496987,0.0076423176,,2023-04-29 12:08:13.557,1.7036897,-0.27038896,9.449257,2023-04-29 12:08:13.38,0.017095556,0,0.012211111
,,2023-04-29 12:08:13.424,9.977652,1.6621436,1.6621436,2023-04-29 12:08:13.425,0.0032272004,0.0025622514,0.003913892,,2023-04-29 12:08:13.602,1.7371893,-0.28953153,9.473185,2023-04-29 12:08:13.381,0.008547778,-0.0061055557,0.01099
,,2023-04-29 12:08:13.442,9.972861,1.6717237,1.6429834,2023-04-29 12:08:13.442,0.0005640392,0.006290677,0.0049791564,,2023-04-29 12:08:13.604,1.7156538,-0.30149564,9.49472,2023-04-29 12:08:13.424,0.01099,-0.0048844446,0.015874445
,,2023-04-29 12:08:13.458,9.982442,1.6477735,1.6573536,2023-04-29 12:08:13.459,-0.00636018,0.0004317225,0.008707582,,2023-04-29 12:08:13.648,1.713261,-0.30388847,9.45165,2023-04-29 12:08:13.424,0.0036633336,-0.0036633336,0.018316668
,,2023-04-29 12:08:13.477,9.968072,1.6286134,1.6573536,2023-04-29 12:08:13.478,-0.010088606,-0.0064924965,0.01083811,,2023-04-29 12:08:13.692,1.713261,-0.27996024,9.45165,2023-04-29 12:08:13.467,-0.013432222,-0.0048844446,0.018316668
,,2023-04-29 12:08:13.501,10.020762,1.6334034,1.6621436,2023-04-29 12:08:13.501,-0.006892812,-0.005959864,0.0097728465,,2023-04-29 12:08:13.694,1.6941184,-0.33020952,9.396614,2023-04-29 12:08:13.468,-0.028085556,-0.01099,0.025643334
,,2023-04-29 12:08:13.529,10.015972,1.6429834,1.6525636,2023-04-29 12:08:13.529,-0.004762283,0.006290677,0.008707582,,2023-04-29 12:08:13.737,1.6821543,-0.29192436,9.415757,2023-04-29 12:08:13.512,-0.03174889,-0.01099,0.026864445
,,2023-04-29 12:08:13.541,9.972861,1.6621436,1.6860938,2023-04-29 12:08:13.542,-0.0036970186,0.014812793,0.00817495,,2023-04-29 12:08:13.783,1.7491534,-0.21774685,9.468399,2023-04-29 12:08:13.513,-0.02198,-0.007326667,0.02198
,,2023-04-29 12:08:13.573,9.992022,1.6813037,1.7004639,2023-04-29 12:08:13.574,0.0053577293,0.007888574,0.01083811,,2023-04-29 12:08:13.784,1.727618,-0.28235307,9.439685,2023-04-29 12:08:13.557,-0.0048844446,-0.0048844446,0.01099
