DataCollection,,,,,,,,,,,,,,,,,,
collect_uuid,label,p_accelerometer_time,p_accelerometer_x,p_accelerometer_y,p_accelerometer_z,p_gyroscope_time,p_gyroscope_x,p_gyroscope_y,p_gyroscope_z,participant_uuid,w_accelerometer_time,w_accelerometer_x,w_accelerometer_y,w_accelerometer_z,w_gyroscope_time,w_gyroscope_x,w_gyroscope_y,w_gyroscope_z
80435064-c03e-4590-8f3f-0ae58864452f,2e2awave1,2023-04-29 12:37:37.025,10.068663,0.85741705,1.3795313,2023-04-29 12:37:37.025,0.071289085,-0.0032312968,-0.024440717,2e2ac25e-545d-4830-b9cd-d301e440dc18,2023-04-29 12:37:37.356,-0.7704889,1.3639089,3.4360933,2023-04-29 12:37:37.009,-2.845189,-0.59834445,4.394779
,,2023-04-29 12:37:37.041,10.063872,0.9484278,1.1591895,2023-04-29 12:37:37.042,0.0648975,-0.003763929,-0.016451234,,2023-04-29 12:37:37.357,-0.14356937,-0.634098,3.2422748,2023-04-29 12:37:37.356,-3.6547856,-0.88408446,4.45095
,,2023-04-29 12:37:37.06,10.126143,0.93405765,1.2933106,2023-04-29 12:37:37.061,0.016427968,0.00795398,0.0064519523,,2023-04-29 12:37:37.357,-0.45702913,-2.672783,2.8833513,2023-04-29 12:37:37.357,-4.43996,-1.1624979,4.559629
,,2023-04-29 12:37:37.08,10.097403,0.82388675,1.4322218,2023-04-29 12:37:37.081,-0.015529966,0.010617141,0.017637229,,2023-04-29 12:37:37.357,-0.23688944,-5.3790655,-0.7728817,2023-04-29 12:37:37.357,-4.8966556,-1.5019667,4.8172836
,,2023-04-29 12:37:37.101,9.944121,0.7424561,1.456172,2023-04-29 12:37:37.101,-0.024584714,-0.014416574,0.002723527,,2023-04-29 12:37:37.357,1.8903298,-11.97847,-3.4528432,2023-04-29 12:37:37.357,-5.381437,-1.7816012,4.8734546
,,2023-04-29 12:37:37.122,10.015972,0.6849756,1.0825489,2023-04-29 12:37:37.123,-0.06186897,-0.07673454,-0.023375453,,2023-04-29 12:37:37.357,2.024328,-11.358729,-7.62114,2023-04-29 12:37:37.357,-6.305818,-2.196779,4.4949102
,,2023-04-29 12:37:37.143,10.212363,0.9053174,0.75203615,2023-04-29 12:37:37.143,-0.15614487,-0.13159566,-0.05639865,,2023-04-29 12:37:37.358,7.585248,-15.404992,-13.684553,2023-04-29 12:37:37.357,-7.393828,-2.8915913,4.411875
,,2023-04-29 12:37:37.164,10.245894,1.2310401,1.0059083,2023-04-29 12:37:37.165,-0.19715755,-0.073006116,-0.06438813,,2023-04-29 12:37:37.358,8.152347,-11.614761,-15.47917,2023-04-29 12:37:37.357,-7.909137,-3.3348546,4.4521713
,,2023-04-29 12:37:37.187,10.068663,1.3507911,1.5280225,2023-04-29 12:37:37.187,-0.09063111,0.011149773,-0.047343902,,2023-04-29 12:37:37.358,5.9557357,-10.255638,-20.322243,2023-04-29 12:37:37.357,-9.003253,-3.4069002,3.6718812
,,2023-04-29 12:37:37.209,9.968072,1.22146,1.1783496,2023-04-29 12:37:37.21,0.05690802,-0.0053618257,-0.019647026,,2023-04-29 12:37:37.358,7.647461,-10.535598,-22.138395,2023-04-29 12:37:37.358,-11.211021,-4.063858,2.0600145
,,2023-04-29 12:37:37.224,10.054293,1.0106983,0.81909674,2023-04-29 12:37:37.229,0.080343835,0.0063560833,0.0064519523,,2023-04-29 12:37:37.358,7.499106,-8.2456665,-20.530418,2023-04-29 12:37:37.358,-10.248786,-4.6158004,0.7131289
,,2023-04-29 12:37:37.243,10.217154,0.977168,1.2070899,2023-04-29 12:37:37.243,0.014830071,0.03937928,0.02722461,,2023-04-29 12:37:37.367,6.448657,-7.0803623,-17.544176,2023-04-29 12:37:37.358,-5.7062526,-3.778118,-0.35412225
,,2023-04-29 12:37:37.264,10.154883,1.0202783,1.3891114,2023-04-29 12:37:37.284,-0.01605806,-0.00003479258,0.035751157,,2023-04-29 12:37:37.371,3.8213377,-5.9844494,-15.603597,2023-04-29 12:37:37.358,-2.3640711,-2.779249,-0.7265611
