,w_gyroscope_time,w_gyroscope_x,w_gyroscope_y,w_gyroscope_z
0,p_accelerometer_y,p_accelerometer_z,p_gyroscope_time,participant_uuid
1,1.0298585,0.52690434,2023-05-25 12:49:04.051000,
2,-0.42152345,-0.613125,2023-05-25 12:49:04.070000,
3,0.5939649,-0.8765772,2023-05-25 12:49:04.095000,
4,1.6190332,-0.5125342,2023-05-25 12:49:04.112000,
5,3.276387,-1.8202149,2023-05-25 12:49:04.149000,
6,2.3471193,-5.3313136,2023-05-25 12:49:04.187000,
7,-0.6466553,-2.543511,2023-05-25 12:49:04.229000,
8,-1.2693604,-1.0106983,2023-05-25 12:49:04.271000,
9,-0.9388477,1.1975098,2023-05-25 12:49:04.314000,
10,0.21555176,-3.2093263,2023-05-25 12:49:04.352000,
11,0.5987549,-1.5328126,2023-05-25 12:49:04.390000,
12,-0.16286133,-0.8765772,2023-05-25 12:49:04.431000,
13,1.7531544,-1.1687696,2023-05-25 12:49:04.471000,
14,3.0129347,-2.6584718,2023-05-25 12:49:04.504000,
15,3.180586,-2.203418,2023-05-25 12:49:04.545000,
16,3.0799952,-1.2406201,2023-05-25 12:49:04.588000,
17,1.585503,-2.323169,2023-05-25 12:49:04.632000,
18,-0.09580079,-2.7351124,2023-05-25 12:49:04.647000,
19,0.4981641,0.8047266,2023-05-25 12:49:04.709000,
20,0.05269043,-0.79993653,2023-05-25 12:49:04.750000,
21,-1.1208692,0.7759864,2023-05-25 12:49:04.788000,
22,-0.6466553,0.5364844,2023-05-25 12:49:04.828000,
23,-0.45984375,-1.5567628,2023-05-25 12:49:04.867000,
24,0.028740235,-1.9830762,2023-05-25 12:49:04.887000,
25,1.1352394,-1.5184424,2023-05-25 12:49:04.930000,
26,3.3721876,-5.1061816,2023-05-25 12:49:04.971000,
27,4.646338,-5.4031644,2023-05-25 12:49:05.006000,
28,3.7314405,-2.3423293,2023-05-25 12:49:05.044000,
29,1.9639161,-4.267925,2023-05-25 12:49:05.086000,
30,1.949546,-3.5254688,2023-05-25 12:49:05.129000,
31,2.6345215,-5.0439115,2023-05-25 12:49:05.173000,
32,1.7627344,-5.4510646,2023-05-25 12:49:05.209000,
33,-0.06227051,-3.7697608,2023-05-25 12:49:05.249000,
34,-0.09580079,-2.7063723,2023-05-25 12:49:05.287000,
35,0.8047266,-3.6931202,2023-05-25 12:49:05.308000,
36,0.9867481,-4.430786,2023-05-25 12:49:05.353000,
37,1.0777588,-3.5015187,2023-05-25 12:49:05.387000,
38,0.68018556,-4.727769,2023-05-25 12:49:05.429000,
39,-0.22513184,-3.8847218,2023-05-25 12:49:05.444000,
40,-2.6057813,-0.45505372,2023-05-25 12:49:05.488000,
41,-4.0859036,0.3305127,2023-05-25 12:49:05.511000,
42,-2.318379,0.9148975,2023-05-25 12:49:05.547000,
43,-0.4167334,-0.29698244,2023-05-25 12:49:05.583000,
44,0.78556645,-0.14370118,2023-05-25 12:49:05.627000,
45,1.3268409,-1.3651612,2023-05-25 12:49:05.668000,
46,1.0106983,-1.456172,2023-05-25 12:49:05.748000,
47,2.0213966,-0.1820215,2023-05-25 12:49:05.787000,
48,1.8968556,-0.67539555,2023-05-25 12:49:05.827000,
49,2.5339308,-2.787803,2023-05-25 12:49:05.867000,
50,0.6514453,-3.396138,2023-05-25 12:49:05.901000,
51,2.0453467,-1.5663428,2023-05-25 12:49:05.942000,
52,2.1411476,-1.1160791,2023-05-25 12:49:05.984000,
53,1.9734962,-1.9351759,2023-05-25 12:49:06.029000,
54,1.6429834,-0.33530274,2023-05-25 12:49:06.068000,
55,2.3423293,-1.2454102,2023-05-25 12:49:06.107000,
56,3.396138,-1.829795,2023-05-25 12:49:06.147000,
57,3.67875,-1.829795,2023-05-25 12:49:06.185000,
58,4.1721244,-2.2896388,2023-05-25 12:49:06.223000,
59,4.0523734,-1.7866846,2023-05-25 12:49:06.270000,
60,3.7027004,-1.1831397,2023-05-25 12:49:06.303000,
61,3.530259,-1.1831397,2023-05-25 12:49:06.343000,
62,4.157754,-0.97237796,2023-05-25 12:49:06.389000,
63,4.4355764,-0.7232959,2023-05-25 12:49:06.428000,
64,3.3769777,-0.27303225,2023-05-25 12:49:06.466000,
65,2.7686427,-0.081430666,2023-05-25 12:49:06.503000,
66,2.0549269,0.51732427,2023-05-25 12:49:06.538000,
67,1.4705421,-0.85741705,2023-05-25 12:49:06.577000,
68,0.93405765,-0.086220704,2023-05-25 12:49:06.617000,
69,0.7568262,-0.23950197,2023-05-25 12:49:06.659000,
70,-0.53169435,0.038320314,2023-05-25 12:49:06.702000,
71,-0.19160157,0.16286133,2023-05-25 12:49:06.746000,
72,0.1820215,0.13891114,2023-05-25 12:49:06.786000,
73,0.05748047,-0.19639161,2023-05-25 12:49:06.823000,
74,-0.3305127,-0.21555176,2023-05-25 12:49:06.863000,
75,-0.7232959,-0.26345217,2023-05-25 12:49:06.902000,
76,-1.575923,0.019160157,2023-05-25 12:49:06.941000,
77,-2.0980372,0.53169435,2023-05-25 12:49:06.978000,
78,-2.2273684,0.52690434,2023-05-25 12:49:07.021000,
79,-2.39502,1.2358302,2023-05-25 12:49:07.064000,
80,-2.088457,1.465752,2023-05-25 12:49:07.103000,
81,-1.8154249,0.7664063,2023-05-25 12:49:07.143000,
82,-2.198628,0.8047266,2023-05-25 12:49:07.184000,
83,-2.2561085,1.1064991,2023-05-25 12:49:07.225000,
84,-2.083667,0.4742139,2023-05-25 12:49:07.264000,
85,-2.3998096,0.53169435,2023-05-25 12:49:07.300000,
86,-2.572251,0.6562354,2023-05-25 12:48:56.194000,
87,-2.4908204,0.79993653,2023-05-25 12:48:56.233000,
88,-2.2656887,0.7807764,2023-05-25 12:48:56.271000,
89,-2.189048,0.6993457,2023-05-25 12:48:56.311000,
90,-2.2561085,0.82388675,2023-05-25 12:48:56.352000,
91,-2.3327491,0.8334668,2023-05-25 12:48:56.392000,
92,-2.3519094,1.0154883,2023-05-25 12:48:56.434000,
93,-2.6393116,0.9867481,2023-05-25 12:48:56.473000,
94,-2.7063723,0.79035646,2023-05-25 12:48:56.512000,
95,-2.8692336,0.7424561,2023-05-25 12:48:56.554000,
96,-2.3710694,0.12454102,2023-05-25 12:48:56.577000,
97,-2.3566992,0.119750984,2023-05-25 12:48:56.612000,
98,-2.3519094,0.1580713,2023-05-25 12:48:56.893000,
99,-2.3327491,0.119750984,2023-05-25 12:48:56.972000,
100,-2.323169,0.081430666,2023-05-25 12:48:57.012000,
101,-2.3566992,0.033530276,2023-05-25 12:48:57.053000,
102,-2.3662794,0.09101075,2023-05-25 12:48:57.094000,
103,-2.3806496,0.1101709,2023-05-25 12:48:57.129000,
104,-2.3662794,0.05748047,2023-05-25 12:48:57.170000,
105,-2.3662794,0.1341211,2023-05-25 12:48:57.229000,
106,-2.3614893,0.09101075,2023-05-25 12:48:57.266000,
107,-2.371069,0.06706055,2023-05-25 12:48:57.304000,
108,-2.3710694,0.09101075,2023-05-25 12:48:57.342000,
109,-2.3710694,0.10538086,2023-05-25 12:48:57.383000,
110,-2.3662794,0.081430666,2023-05-25 12:48:57.425000,
111,-2.3806496,0.07664063,2023-05-25 12:48:57.465000,
